START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: PC1PM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 243694
NAME: Peter Mulder
OPERATORS: PC1PM
CLUB:
CREATED-BY: N1MM Logger+ 1.0.8014.0
QSO: 14004 CW 2019-11-23 0829 PC1PM         599 14     YT1A          599 15
QSO: 14008 CW 2019-11-23 0852 PC1PM         599 14     UW2M          599 16
QSO: 14009 CW 2019-11-23 0853 PC1PM         599 14     JE6RPM        599 25
QSO: 14010 CW 2019-11-23 0855 PC1PM         599 14     RT8U          599 18
QSO: 14012 CW 2019-11-23 0858 PC1PM         599 14     UR3GU         599 16
QSO: 14014 CW 2019-11-23 0859 PC1PM         599 14     ED5O          599 14
QSO: 14015 CW 2019-11-23 0902 PC1PM         599 14     JT5DX         599 23
QSO: 14015 CW 2019-11-23 0902 PC1PM         599 14     RK3T          599 16
QSO: 14019 CW 2019-11-23 0907 PC1PM         599 14     LZ5R          599 20
QSO: 14020 CW 2019-11-23 0909 PC1PM         599 14     EW8W          599 16
QSO: 14020 CW 2019-11-23 0910 PC1PM         599 14     R4RE          599 16
QSO: 14022 CW 2019-11-23 0913 PC1PM         599 14     R3ZV          599 16
QSO: 14024 CW 2019-11-23 0913 PC1PM         599 14     EM2Q          599 16
QSO: 14025 CW 2019-11-23 0913 PC1PM         599 14     UT5C          599 16
QSO: 14027 CW 2019-11-23 0920 PC1PM         599 14     RN9T          599 16
QSO: 14083 CW 2019-11-23 0922 PC1PM         599 14     GJ4YOX        599 14
QSO: 14029 CW 2019-11-23 0923 PC1PM         599 14     ED5R          599 14
QSO: 14030 CW 2019-11-23 0924 PC1PM         599 14     TC0F          599 20
QSO: 14031 CW 2019-11-23 0925 PC1PM         599 14     R7AB          599 16
QSO: 14032 CW 2019-11-23 0926 PC1PM         599 14     YT3X          599 15
QSO: 14032 CW 2019-11-23 0927 PC1PM         599 14     R3XA          599 16
QSO: 14034 CW 2019-11-23 0928 PC1PM         599 14     UN0LM         599 17
QSO: 14035 CW 2019-11-23 0931 PC1PM         599 14     RT6A          599 16
QSO: 14041 CW 2019-11-23 0936 PC1PM         599 14     LZ9W          599 20
QSO: 14041 CW 2019-11-23 0939 PC1PM         599 14     PX2C          599 11
QSO: 14043 CW 2019-11-23 0940 PC1PM         599 14     RC9J          599 17
QSO: 14045 CW 2019-11-23 0942 PC1PM         599 14     UA9BA         599 17
QSO: 14049 CW 2019-11-23 0948 PC1PM         599 14     CS2C          599 14
QSO: 14050 CW 2019-11-23 0949 PC1PM         599 14     R3FA          599 16
QSO: 21001 CW 2019-11-23 0957 PC1PM         599 14     UB7K          599 16
QSO: 21006 CW 2019-11-23 0958 PC1PM         599 14     EF8R          599 33
QSO: 21008 CW 2019-11-23 0959 PC1PM         599 14     P33W          599 20
QSO: 21013 CW 2019-11-23 1001 PC1PM         599 14     RM9A          599 17
QSO: 21018 CW 2019-11-23 1003 PC1PM         599 14     US8IM         599 16
QSO: 21021 CW 2019-11-23 1004 PC1PM         599 14     RM7C          599 16
QSO: 21022 CW 2019-11-23 1007 PC1PM         599 14     TM6M          599 14
QSO: 21025 CW 2019-11-23 1008 PC1PM         599 14     CN3A          599 33
QSO: 21030 CW 2019-11-23 1009 PC1PM         599 14     4X2M          599 20
QSO: 21035 CW 2019-11-23 1010 PC1PM         599 14     R7CD          599 16
QSO: 21038 CW 2019-11-23 1011 PC1PM         599 14     CR2X          599 14
QSO: 21041 CW 2019-11-23 1012 PC1PM         599 14     RC6U          599 16
QSO: 14050 CW 2019-11-23 1015 PC1PM         599 14     HG5A          599 15
QSO: 14073 CW 2019-11-23 1018 PC1PM         599 14     UA9MA         599 17
QSO: 14001 CW 2019-11-23 1020 PC1PM         599 14     R2AA          599 16
QSO: 14002 CW 2019-11-23 1021 PC1PM         599 14     CR3DX         599 33
QSO: 14005 CW 2019-11-23 1023 PC1PM         599 14     S51J          599 15
QSO: 14006 CW 2019-11-23 1024 PC1PM         599 14     IO6A          599 15
QSO: 14007 CW 2019-11-23 1026 PC1PM         599 14     A44A          599 21
QSO: 14009 CW 2019-11-23 1027 PC1PM         599 14     HA3MQ         599 15
QSO: 14009 CW 2019-11-23 1029 PC1PM         599 14     YT4W          599 15
QSO: 14011 CW 2019-11-23 1033 PC1PM         599 14     HG7T          599 15
QSO: 14011 CW 2019-11-23 1036 PC1PM         599 14     P40W          599 09
QSO: 14025 CW 2019-11-23 1042 PC1PM         599 14     RM9A          599 17
QSO: 14027 CW 2019-11-23 1044 PC1PM         599 14     YT6W          599 15
QSO: 14028 CW 2019-11-23 1044 PC1PM         599 14     9A1A          599 15
QSO: 14032 CW 2019-11-23 1046 PC1PM         599 14     UA3QGT        599 16
QSO: 14034 CW 2019-11-23 1047 PC1PM         599 14     9A3XV         599 15
QSO: 14034 CW 2019-11-23 1048 PC1PM         599 14     UA3EDQ        599 16
QSO: 14035 CW 2019-11-23 1049 PC1PM         599 14     ED1R          599 14
QSO: 14036 CW 2019-11-23 1049 PC1PM         599 14     RZ3DJ         599 16
QSO: 14038 CW 2019-11-23 1054 PC1PM         599 14     E7DX          599 15
QSO: 14040 CW 2019-11-23 1055 PC1PM         599 14     UX0LL         599 16
QSO: 14041 CW 2019-11-23 1055 PC1PM         599 14     RV3YR         599 16
QSO: 14044 CW 2019-11-23 1056 PC1PM         599 14     YT8T          599 15
