START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: HA2MN
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: JN97NL
CLAIMED-SCORE: 85860
NAME: TIBOR ZENTAI
CLUB: HAROS RADIO CLUB
CREATED-BY: UcxLog 6.84
SOAPBOX: The propagation was good so it was a fun to take part in the contest.
SOAPBOX: Many thanks for QSOs and hope to see you next time.
SOAPBOX: Rig TS-530SP 100W ant end-fed wire 21 mtrs long, 2-3 mtrs above flat
SOAPBOX: roof and was used on all bands.
QSO:  7000 CW 2019-11-23 0001 HA2MN         599 15     KP3DX         599 08     0
QSO:  7000 CW 2019-11-23 0002 HA2MN         599 15     UN7LAN        599 17     0
QSO:  7000 CW 2019-11-23 0007 HA2MN         599 15     W1KM          599 5      0
QSO:  7000 CW 2019-11-23 0009 HA2MN         599 15     N4AF          599 5      0
QSO:  7000 CW 2019-11-23 0017 HA2MN         599 15     SJ2W          599 14     0
QSO:  7000 CW 2019-11-23 0018 HA2MN         599 15     HG5A          599 15     0
QSO:  7000 CW 2019-11-23 0025 HA2MN         599 15     P40W          599 09     0
QSO:  7000 CW 2019-11-23 0025 HA2MN         599 15     ED1R          599 14     0
QSO:  7000 CW 2019-11-23 0029 HA2MN         599 15     N1LN          599 5      0
QSO:  7000 CW 2019-11-23 0031 HA2MN         599 15     T6A           599 21     0
QSO:  7000 CW 2019-11-23 0032 HA2MN         599 15     R7HF          599 16     0
QSO:  7000 CW 2019-11-23 0033 HA2MN         599 15     VY2TT         599 5      0
QSO:  7000 CW 2019-11-23 0042 HA2MN         599 15     KQ2M          599 5      0
QSO:  7000 CW 2019-11-23 0045 HA2MN         599 15     K4TCG         599 4      0
QSO:  7000 CW 2019-11-23 0050 HA2MN         599 15     KP2M          599 08     0
QSO:  7000 CW 2019-11-23 0051 HA2MN         599 15     R5AJ          599 16     0
QSO:  7000 CW 2019-11-23 0541 HA2MN         599 15     UA4M          599 16     0
QSO:  7000 CW 2019-11-23 0542 HA2MN         599 15     LN8W          599 14     0
QSO:  7000 CW 2019-11-23 0542 HA2MN         599 15     RX9SN         599 16     0
QSO:  7000 CW 2019-11-23 0544 HA2MN         599 15     OH1F          599 15     0
QSO:  7000 CW 2019-11-23 0545 HA2MN         599 15     RA7A          599 16     0
QSO:  7000 CW 2019-11-23 0547 HA2MN         599 15     LA2AB         599 14     0
QSO:  7000 CW 2019-11-23 0548 HA2MN         599 15     LZ4AW         599 20     0
QSO:  7000 CW 2019-11-23 0550 HA2MN         599 15     DL0CS         599 14     0
QSO:  7000 CW 2019-11-23 0551 HA2MN         599 15     TA4/OH2KW     599 20     0
QSO:  7000 CW 2019-11-23 0552 HA2MN         599 15     SK3W          599 14     0
QSO:  7000 CW 2019-11-23 0553 HA2MN         599 15     RT3M          599 16     0
QSO:  7000 CW 2019-11-23 0554 HA2MN         599 15     LZ5K          599 20     0
QSO:  7000 CW 2019-11-23 0557 HA2MN         599 15     RC1W          599 16     0
QSO:  7000 CW 2019-11-23 0559 HA2MN         599 15     UW5Q          599 16     0
QSO: 14000 CW 2019-11-23 0602 HA2MN         599 15     UA9MA         599 17     0
QSO: 14000 CW 2019-11-23 0603 HA2MN         599 15     UA9TF         599 16     0
QSO: 14000 CW 2019-11-23 0605 HA2MN         599 15     R9TV          599 16     0
QSO: 14000 CW 2019-11-23 0606 HA2MN         599 15     RC6U          599 16     0
QSO: 14000 CW 2019-11-23 0607 HA2MN         599 15     JA7IC         599 25     0
QSO: 14000 CW 2019-11-23 0608 HA2MN         599 15     JH3AIU        599 25     0
