START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: KB8TL
LOCATION: MI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: EN82GF
CLAIMED-SCORE: 86584
NAME: Bob
OPERATORS: KB8TL
CLUB: Livonia ARC
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: I did better than I expected given the solar conditions
QSO:  7063 CW 2019-11-23 0020 KB8TL         599 4      VE5MEA        599 04
QSO:  7055 CW 2019-11-23 0028 KB8TL         599 4      ED7K          599 14
QSO:  7051 CW 2019-11-23 0031 KB8TL         599 4      FM5KC         599 08
QSO:  7046 CW 2019-11-23 0034 KB8TL         599 4      HI3CC         599 08
QSO:  7025 CW 2019-11-23 0042 KB8TL         599 4      EF2X          599 14
QSO:  3500 CW 2019-11-23 0057 KB8TL         599 4      OK6W          599 15
QSO:  3502 CW 2019-11-23 0059 KB8TL         599 4      DR1A          599 14
QSO:  3524 CW 2019-11-23 0115 KB8TL         599 4      HG7T          599 15
QSO:  3527 CW 2019-11-23 0118 KB8TL         599 4      PJ4K          599 09
QSO:  3532 CW 2019-11-23 0120 KB8TL         599 4      LZ9W          599 20
QSO:  3534 CW 2019-11-23 0121 KB8TL         599 4      VC3T          599 04
QSO:  7039 CW 2019-11-23 0127 KB8TL         599 4      WH7W          599 31
QSO:  7044 CW 2019-11-23 0130 KB8TL         599 4      V31CQ         599 07
QSO: 14041 CW 2019-11-23 0134 KB8TL         599 4      PJ2T          599 09
QSO: 14028 CW 2019-11-23 0137 KB8TL         599 4      PZ5W          599 09
QSO: 14049 CW 2019-11-23 0149 KB8TL         599 4      VE3PN         599 04
QSO:  7038 CW 2019-11-23 0154 KB8TL         599 4      SO4M          599 15
QSO:  7034 CW 2019-11-23 0156 KB8TL         599 4      SO9M          599 15
QSO:  7033 CW 2019-11-23 0158 KB8TL         599 4      IR2Q          599 15
QSO:  7033 CW 2019-11-23 0159 KB8TL         599 4      C6AGU         599 08
QSO:  7025 CW 2019-11-23 0209 KB8TL         599 4      SN3A          599 15
QSO:  7023 CW 2019-11-23 0213 KB8TL         599 4      IO5O          599 15
QSO:  7018 CW 2019-11-23 0214 KB8TL         599 4      OL3A          599 15
QSO:  7014 CW 2019-11-23 0216 KB8TL         599 4      SP8AI         599 15
QSO:  7011 CW 2019-11-23 0219 KB8TL         599 4      ED8W          599 33
QSO:  7011 CW 2019-11-23 0222 KB8TL         599 4      DR1A          599 14
QSO:  7002 CW 2019-11-23 0228 KB8TL         599 4      DF0HQ         599 14
QSO:  7001 CW 2019-11-23 0229 KB8TL         599 4      LZ5R          599 20
QSO:  7008 CW 2019-11-23 0245 KB8TL         599 4      TM6M          599 14
