START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE CW
CALLSIGN: DF5UL
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DF5UL
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE CW WAE/CW/2020.
QSO:  7021 CW 2020-08-08 0447 DF5UL         599 VE3AT         599 309
QSO:  7001 CW 2020-08-08 0453 DF5UL         599 2 KV2K          599 227
QSO:  7004 CW 2020-08-08 0453 DF5UL         599 003 VA2EW         599 0261
QSO:  7006 CW 2020-08-08 0454 DF5UL         599 004 VY2ZM         599 344
QSO:  7009 CW 2020-08-08 0456 DF5UL         599 005 K8AZ          599 0326
QSO:  7007 CW 2020-08-08 0457 DF5UL         599 0006 N9NB          599 0208
QSO:  7005 CW 2020-08-08 0458 DF5UL         599 0007 NR4M          599 0398
QSO:  7003 CW 2020-08-08 0459 DF5UL         599 0008 NN1C          599 0287
QSO:  7039 CW 2020-08-08 0506 DF5UL         599 12 NA8V          599 264
QSO:  7027 CW 2020-08-08 0513 DF5UL         599 0014 KD4D          599 0382
QSO:  7020 CW 2020-08-08 0514 DF5UL         599 0015 N1SNB         599 0177
QSO:  7011 CW 2020-08-08 0515 DF5UL         599 016 KC1XX         599 0461
QSO:  7007 CW 2020-08-08 0516 DF5UL         599 0018 K1XM          599 0275
QSO:  7009 CW 2020-08-08 0516 DF5UL         599 0017 N2NT          599 0237
QSO:  7006 CW 2020-08-08 0517 DF5UL         599 0019 KR2AA         599 0148
QSO:  7001 CW 2020-08-08 0519 DF5UL         599 0020 PJ4A          599 0319
QSO:  7030 CW 2020-08-08 0522 DF5UL         599 0021 K3AJ          599 0233
QSO: 14010 CW 2020-08-08 0527 DF5UL         599 0022 KL7SB         599 0067
QSO: 14025 CW 2020-08-08 0529 DF5UL         599 0023 EA8RM         599 0460
QSO: 14030 CW 2020-08-08 0530 DF5UL         599 024 RX0L          599 0253
QSO: 14026 CW 2020-08-08 0534 DF5UL         599 026 UA9BA         599 0015
QSO: 14027 CW 2020-08-08 0535 DF5UL         599 0027 RZ9L          599 0102
QSO: 14034 CW 2020-08-08 0536 DF5UL         599 0028 RM9I          599 0096
QSO: 14053 CW 2020-08-08 0539 DF5UL         599 0029 HZ7C          599 0124
QSO: 14000 CW 2020-08-08 0541 DF5UL         599 0030 RK9CYA        599 0072
QSO: 14017 CW 2020-08-08 0543 DF5UL         599 0031 RQ9O          599 0166
QSO: 14010 CW 2020-08-08 0544 DF5UL         599 0032 RG9A          599 0385
QSO: 14004 CW 2020-08-08 0545 DF5UL         599 33 RA9DZ         599 139
QSO: 14009 CW 2020-08-08 0549 DF5UL         599 34 RX9AF         599 193
QSO: 14019 CW 2020-08-08 0552 DF5UL         599 0036 R8CT          599 0145
QSO: 14019 CW 2020-08-08 0552 DF5UL         599 0035 RV9UP         599 0027
QSO: 14021 CW 2020-08-08 0552 DF5UL         599 0037 RX9CM         599 0092
QSO: 14022 CW 2020-08-08 0553 DF5UL         599 38 RW0AJ         599 61
QSO: 21006 CW 2020-08-08 0558 DF5UL         599 0039 4X6FR         599 0260
QSO: 14005 CW 2020-08-08 0601 DF5UL         599 0040 RA9P          599 0281
QSO: 14009 CW 2020-08-08 0602 DF5UL         599 0041 UP2L          599 0496
QSO: 14011 CW 2020-08-08 0603 DF5UL         599 0042 UA9CTT        599 0063
QSO: 14024 CW 2020-08-08 0605 DF5UL         599 0043 RU0LL         599 0037
QSO: 14032 CW 2020-08-08 0608 DF5UL         599 0045 JO4JKL        599 0059
QSO: 14033 CW 2020-08-08 0609 DF5UL         599 0046 RU9I          599 0066
QSO: 14045 CW 2020-08-08 0610 DF5UL         599 0047 JH1EAQ        599 0026
QSO: 14052 CW 2020-08-08 0611 DF5UL         599 0048 JA1BJI        599 0036
QSO: 14015 CW 2020-08-08 0625 DF5UL         599 50 RW9QA         599 97
QSO: 14022 CW 2020-08-08 0630 DF5UL         599 0052 K2LE          599 0378
QSO: 14025 CW 2020-08-08 0631 DF5UL         599 53 W9RE          599 372
QSO: 14040 CW 2020-08-08 0634 DF5UL         599 0054 N3AD          599 0249
QSO: 14004 CW 2020-08-08 0639 DF5UL         599 0055 NN1C          599 0366
QSO: 14040 CW 2020-08-08 0647 DF5UL         599 0056 BI4KKC        599 0038
QSO: 14000 CW 2020-08-08 0932 DF5UL         599 057 KC1XX         599 0791
QSO: 14001 CW 2020-08-08 0933 DF5UL         599 0058 AA1K          599 0099
QSO: 14000 CW 2020-08-08 0940 DF5UL         599 0060 UN9GD         599 0042
QSO: 14004 CW 2020-08-08 0945 DF5UL         599 0062 NR4M          599 0754
QSO: 14005 CW 2020-08-08 0945 DF5UL         599 0061 JR2SCJ        599 0099
QSO: 14003 CW 2020-08-08 0946 DF5UL         599 0063 4Z4AK         599 0495
QSO: 14016 CW 2020-08-08 0949 DF5UL         599 0064 VA2WA         599 0292
QSO: 14026 CW 2020-08-08 0952 DF5UL         599 0065 CN8KD         599 0053
QSO: 21015 CW 2020-08-08 1008 DF5UL         599 0066 4X6FR         599 0613
QSO: 21018 CW 2020-08-08 1013 DF5UL         599 067 P33W          599 0430
QSO: 21012 CW 2020-08-08 1217 DF5UL         599 068 VY2ZM         599 635
QSO: 21014 CW 2020-08-08 1219 DF5UL         599 068 KC1XX         599 0991
QSO: 14008 CW 2020-08-08 1225 DF5UL         599 070 VA2EW         599 0381
QSO: 14014 CW 2020-08-08 1226 DF5UL         599 71 K5ZD          599 524
QSO: 14017 CW 2020-08-08 1228 DF5UL         599 0072 AA3B          599 0618
QSO: 14017 CW 2020-08-08 1229 DF5UL         599 073 PY2ZEA        599 0314
QSO: 14025 CW 2020-08-08 1229 DF5UL         599 0074 LU8QT         599 0040
QSO: 14022 CW 2020-08-08 1230 DF5UL         599 0075 N4CW          599 0255
