START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: PG1R
CLUB:  
CONTEST: EA-RTTY
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 13416
OPERATORS: PG1R
NAME: Ruud Ivens
CREATED-BY: N1MM Logger+ 1.0.7598.0
SOAPBOX: TS590S, barefoot, output on average 30Watts.
SOAPBOX: Ouput reduced because of interference on the local telephone lines.
SOAPBOX: Hopefully this problem will be solved in a few weeks.
SOAPBOX: Antenna horizontal multiband dipole for 15, 20, 40 & 80M bands.
QSO: 14109 RY 2019-04-06 1704 PG1R          599 0001   VE2FK         599 0042     
QSO: 14106 RY 2019-04-06 1707 PG1R          599 0002   W3FIZ         599 0079     
QSO: 14103 RY 2019-04-06 1708 PG1R          599 0003   N1MD          599 0074     
QSO: 14102 RY 2019-04-06 1710 PG1R          599 0004   AI9T          599 0066     
QSO: 14098 RY 2019-04-06 1713 PG1R          599 0005   AM770ZY       599 H        
QSO: 14095 RY 2019-04-06 1715 PG1R          599 0006   ED8K          599 GC       
QSO: 14093 RY 2019-04-06 1719 PG1R          599 0007   PB0ACU        599 0010     
QSO: 14090 RY 2019-04-06 1723 PG1R          599 0008   EA7IA         599 SE       
QSO: 14085 RY 2019-04-06 1730 PG1R          599 0009   R7AB          599 0080     
QSO: 14084 RY 2019-04-06 1731 PG1R          599 0010   CR5O          599 0094     
QSO: 14108 RY 2019-04-06 1744 PG1R          599 0011   VA1XH         599 0052     
QSO: 14105 RY 2019-04-06 1747 PG1R          599 0012   K4WW          599 0087     
QSO: 14104 RY 2019-04-06 1750 PG1R          599 0013   N3QE          599 0021     
QSO:  7066 RY 2019-04-06 1839 PG1R          599 0014   EC5CR         599 V        
QSO:  7060 RY 2019-04-06 1845 PG1R          599 0015   CN8YZ         599 0094     
QSO:  7060 RY 2019-04-06 1846 PG1R          599 0016   EW6DM         599 0071     
QSO:  7060 RY 2019-04-06 1848 PG1R          599 0017   EE1I          599 LE       
QSO:  7059 RY 2019-04-06 1852 PG1R          599 0018   AM70D         599 A        
QSO:  7057 RY 2019-04-06 1853 PG1R          599 0019   AM70I         599 S        
QSO:  7057 RY 2019-04-06 1854 PG1R          599 0020   UX5IO         599 0138     
QSO:  7056 RY 2019-04-06 1855 PG1R          599 0021   YO9HP         599 0087     
QSO:  7055 RY 2019-04-06 1857 PG1R          599 0022   EE1D          599 SO       
QSO:  7054 RY 2019-04-06 1900 PG1R          599 0023   YU5R          599 0063     
QSO:  7054 RY 2019-04-06 1903 PG1R          599 0024   EA4URE        599 HQ       
QSO:  7052 RY 2019-04-06 1904 PG1R          599 0025   OH8WW         599 0211     
QSO:  7052 RY 2019-04-06 1908 PG1R          599 0026   UX7QV         599 0075     
QSO:  7051 RY 2019-04-06 1909 PG1R          599 0027   UY5VA         599 0026     
QSO:  7048 RY 2019-04-06 1917 PG1R          599 0028   RA3Y          599 0113     
QSO:  7047 RY 2019-04-06 1922 PG1R          599 0029   AM370KU       599 T        
QSO:  7045 RY 2019-04-06 1924 PG1R          599 0030   LZ6K          599 0173     
QSO:  7044 RY 2019-04-06 1927 PG1R          599 0031   EA3GBA        599 B        
QSO:  7044 RY 2019-04-06 1930 PG1R          599 0032   YU73BFG       599 0105     
QSO:  7041 RY 2019-04-06 1934 PG1R          599 0033   HA8WY         599 0064     
QSO:  7042 RY 2019-04-06 1937 PG1R          599 0034   EA7IEZ        599 MA       
QSO:  7041 RY 2019-04-06 1937 PG1R          599 0035   OH2HAN        599 0202     
QSO:  7039 RY 2019-04-06 1941 PG1R          599 0036   EB5CS         599 CS       
QSO:  3598 RY 2019-04-06 2016 PG1R          599 0037   MM3AWD        599 0072     
QSO:  3597 RY 2019-04-06 2019 PG1R          599 0038   ED1R          599 AV       
QSO:  3595 RY 2019-04-06 2023 PG1R          599 0039   9A7T          599 0165     
QSO:  3593 RY 2019-04-06 2026 PG1R          599 0040   OM7OM         599 0116     
QSO:  3591 RY 2019-04-06 2032 PG1R          599 0041   OK2EA         599 0115     
QSO:  3589 RY 2019-04-06 2034 PG1R          599 0042   IU3FBL        599 0162     
QSO:  3588 RY 2019-04-06 2038 PG1R          599 0043   S53M          599 0237     
QSO:  3588 RY 2019-04-06 2038 PG1R          599 0044   UZ2I          599 0250     
QSO:  3587 RY 2019-04-06 2040 PG1R          599 0045   LX1ER         599 0124     
QSO:  3585 RY 2019-04-06 2041 PG1R          599 0046   DL2KWA        599 0067     
QSO:  3584 RY 2019-04-06 2045 PG1R          599 0047   EA2XR         599 BI       
QSO:  3585 RY 2019-04-06 2047 PG1R          599 0048   OH3FM         599 0208     
QSO:  3582 RY 2019-04-06 2052 PG1R          599 0049   S53X          599 0307     
QSO:  3582 RY 2019-04-06 2053 PG1R          599 0050   SV2BFN        599 0118     
QSO:  3581 RY 2019-04-06 2054 PG1R          599 0051   UY5VA         599 0109     
QSO:  3581 RY 2019-04-06 2058 PG1R          599 0052   DO4JUF        599 0049     
QSO:  3580 RY 2019-04-06 2102 PG1R          599 0053   C31CT         599 0051     
QSO: 14110 RY 2019-04-07 1243 PG1R          599 0054   EA1WS         599 O        
QSO: 14109 RY 2019-04-07 1244 PG1R          599 0055   RW3XZ         599 0239     
QSO: 14110 RY 2019-04-07 1245 PG1R          599 0056   EW7BA         599 0245     
QSO: 14108 RY 2019-04-07 1246 PG1R          599 0057   YO9HP         599 0425     
QSO: 14107 RY 2019-04-07 1248 PG1R          599 0058   UT5EPP        599 0452     
QSO: 14105 RY 2019-04-07 1250 PG1R          599 0059   UR5CN         599 0337     
QSO: 14105 RY 2019-04-07 1252 PG1R          599 0060   RA7M          599 0137     
QSO: 14104 RY 2019-04-07 1253 PG1R          599 0061   YL2KO         599 0260     
QSO: 14103 RY 2019-04-07 1254 PG1R          599 0062   EA4BAS        599 M        
QSO: 14102 RY 2019-04-07 1255 PG1R          599 0063   IW3RUA        599 0491     
QSO: 14101 RY 2019-04-07 1257 PG1R          599 0064   EE1I          599 LE       
QSO: 14099 RY 2019-04-07 1259 PG1R          599 0065   AM70I         599 S        
QSO: 14098 RY 2019-04-07 1302 PG1R          599 0066   LZ1ND         599 0339     
QSO: 14098 RY 2019-04-07 1303 PG1R          599 0067   UX7QV         599 0360     
QSO: 14096 RY 2019-04-07 1304 PG1R          599 0068   LY1R          599 0291     
QSO: 14094 RY 2019-04-07 1305 PG1R          599 0069   UZ2I          599 0652     
QSO: 14094 RY 2019-04-07 1306 PG1R          599 0070   UA6CE         599 0339     
QSO: 14093 RY 2019-04-07 1307 PG1R          599 0071   R3AQ          599 0195     
QSO: 14093 RY 2019-04-07 1310 PG1R          599 0072   EA4URE        599 HQ       
QSO: 14092 RY 2019-04-07 1311 PG1R          599 0073   RA3Y          599 0566     
QSO: 14092 RY 2019-04-07 1313 PG1R          599 0074   RD0A          599 0220     
QSO: 14092 RY 2019-04-07 1315 PG1R          599 0075   ED1R          599 AV       
QSO: 14090 RY 2019-04-07 1317 PG1R          599 0076   EW8DX         599 0459     
QSO: 14087 RY 2019-04-07 1324 PG1R          599 0077   EE2W          599 BI       
QSO: 14084 RY 2019-04-07 1327 PG1R          599 0078   RA3GZ         599 0335     
QSO: 14084 RY 2019-04-07 1329 PG1R          599 0079   EA2CP         599 BI       
QSO: 14083 RY 2019-04-07 1331 PG1R          599 0080   EA2XR         599 BI       
QSO: 21081 RY 2019-04-07 1339 PG1R          599 0081   PB0ACU        599 0100     
QSO: 14110 RY 2019-04-07 1354 PG1R          599 0082   OH8WW         599 0702     
QSO: 14108 RY 2019-04-07 1357 PG1R          599 0083   LZ60KAA       599 0653     
QSO: 14107 RY 2019-04-07 1358 PG1R          599 0084   LZ1ZM         599 0591     
QSO: 14102 RY 2019-04-07 1401 PG1R          599 0085   I4JED         599 0344     
QSO: 14098 RY 2019-04-07 1405 PG1R          599 0086   EA3HKA        599 B        
QSO: 14095 RY 2019-04-07 1407 PG1R          599 0087   LZ2UW         599 0188     
QSO: 14094 RY 2019-04-07 1408 PG1R          599 0088   IZ7FLP        599 0476     
QSO: 14093 RY 2019-04-07 1410 PG1R          599 0089   AM70S         599 M        
QSO: 14087 RY 2019-04-07 1418 PG1R          599 0090   SV1JFL        599 0203     
QSO: 14085 RY 2019-04-07 1419 PG1R          599 0091   UY5VA         599 0487     
QSO: 14083 RY 2019-04-07 1421 PG1R          599 0092   R4OF          599 0249     
QSO: 14082 RY 2019-04-07 1426 PG1R          599 0093   PA0FVH        599 0088     
QSO: 14080 RY 2019-04-07 1431 PG1R          599 0094   LZ2YO         599 0164     
