START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: IS0GQX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IS0GQX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2013.
QSO: 28089 RY 2013-09-28 1647 IS0GQX        599 15 DX 6V7X          599 35 DX
QSO: 28000 RY 2013-09-28 1648 IS0GQX        599 15 DX CR2T          599 14 DX
QSO: 28000 RY 2013-09-28 1650 IS0GQX        599 15 DX YV5AAX        599 9 DX
QSO: 28094 RY 2013-09-28 1650 IS0GQX        599 15 DX N0NI          599 04 IA
QSO: 28095 RY 2013-09-28 1652 IS0GQX        599 15 DX W2FU          599 05 NY
QSO: 28095 RY 2013-09-28 1654 IS0GQX        599 15 DX K7BTW         599 03 WA
QSO: 28095 RY 2013-09-28 1654 IS0GQX        599 15 DX KU4V          599 05 NC
QSO: 28095 RY 2013-09-28 1654 IS0GQX        599 15 DX NP4BM         599 08 DX
QSO: 28095 RY 2013-09-28 1655 IS0GQX        599 15 DX K1FWE         599 05 NH
QSO: 28095 RY 2013-09-28 1656 IS0GQX        599 15 DX W1DX          599 05 CT
QSO: 28095 RY 2013-09-28 1658 IS0GQX        599 15 DX VE3JI         599 04 ON
QSO: 28095 RY 2013-09-28 1659 IS0GQX        599 15 DX WA1FCN        599 4 AL
QSO: 28000 RY 2013-09-28 1701 IS0GQX        599 15 DX SP1MGM        599 15 DX
QSO: 28095 RY 2013-09-28 1701 IS0GQX        599 15 DX VE4EAR        599 04 MB
QSO: 28095 RY 2013-09-28 1702 IS0GQX        599 15 DX W9OA/9        599 04 WI
QSO: 28000 RY 2013-09-28 1705 IS0GQX        599 15 DX W3GH          599 05 PA
QSO: 28094 RY 2013-09-28 1706 IS0GQX        599 15 DX DL6NDW        599 14 DX
QSO: 21079 RY 2013-09-28 1712 IS0GQX        599 15 DX UR5ZSU        599 16 DX
QSO: 21100 RY 2013-09-28 1714 IS0GQX        599 15 DX VE3IAE        599 04 ON
QSO: 21100 RY 2013-09-28 1714 IS0GQX        599 15 DX W6AEA         599 03 WA
QSO: 21100 RY 2013-09-28 1715 IS0GQX        599 15 DX UT2IO         599 16 DX
QSO: 21000 RY 2013-09-28 1716 IS0GQX        599 15 DX VE2ESU        599 05 QC
QSO: 21100 RY 2013-09-28 1716 IS0GQX        599 15 DX K4DLI         599 05 GA
QSO: 21079 RY 2013-09-28 1717 IS0GQX        599 15 DX EA7AZA        599 14 DX
QSO: 21099 RY 2013-09-28 1718 IS0GQX        599 15 DX LA5LJA        599 14 DX
QSO: 21100 RY 2013-09-28 1719 IS0GQX        599 15 DX I4DZ          599 15 DX
QSO: 21101 RY 2013-09-28 1720 IS0GQX        599 15 DX WF7T          599 04 TN
QSO: 21099 RY 2013-09-28 1721 IS0GQX        599 15 DX UR7CT         599 16 DX
QSO: 21100 RY 2013-09-28 1722 IS0GQX        599 15 DX WB8IMY        599 5 CT
QSO: 21100 RY 2013-09-28 1724 IS0GQX        599 15 DX K4AOA         599 05 NC
QSO: 21000 RY 2013-09-28 1725 IS0GQX        599 15 DX US3ITA        599 16 DX
QSO: 21098 RY 2013-09-28 1725 IS0GQX        599 15 DX PP5ZAP        599 11 DX
QSO: 21000 RY 2013-09-28 1726 IS0GQX        599 15 DX W2FG          599 5 DX
QSO: 21100 RY 2013-09-28 1727 IS0GQX        599 15 DX IK0CHU        599 15 DX
QSO: 21100 RY 2013-09-28 1728 IS0GQX        599 15 DX 2E0XAR        599 14 DX
QSO: 21100 RY 2013-09-28 1729 IS0GQX        599 15 DX K2DSL         599 05 NJ
QSO: 21097 RY 2013-09-28 1730 IS0GQX        599 15 DX G0CER         599 14 DX
QSO: 21000 RY 2013-09-28 1731 IS0GQX        599 15 DX AG4W          599 4 AL
QSO: 21090 RY 2013-09-28 1731 IS0GQX        599 15 DX UR5FCM        599 16 DX
QSO: 21100 RY 2013-09-28 1732 IS0GQX        599 15 DX K2QMF         599 05 NY
QSO: 21100 RY 2013-09-28 1732 IS0GQX        599 15 DX W7PP          599 03 AZ
