START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: N6PE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N6PE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2013.
QSO: 28080 RY 2013-09-28 0002 N6PE          599 03 CA N5RLM         599 04 LA
QSO: 28078 RY 2013-09-28 0003 N6PE          599 03 CA WU9D          599 04 IN
QSO: 28083 RY 2013-09-28 0010 N6PE          599 3 CA N2WK          599 5 NY
QSO: 28084 RY 2013-09-28 0011 N6PE          599 3 CA K4WI          599 04 AL
QSO: 28087 RY 2013-09-28 0012 N6PE          599 03 CA N7US          599 04 IL
QSO: 28000 RY 2013-09-28 0014 N6PE          599 03 CA WX4G          599 05 NC
QSO: 28095 RY 2013-09-28 0015 N6PE          599 03 CA VE3BR         599 04 ON
QSO: 28090 RY 2013-09-28 0036 N6PE          599 3 CA VK3TDX        599 30 DX
QSO: 28000 RY 2013-09-28 0037 N6PE          599 03 CA CX2DK         599 13 DX
QSO: 28000 RY 2013-09-28 0038 N6PE          599 03 AZ 5W1SA         599 32 DX
QSO: 28094 RY 2013-09-28 0040 N6PE          599 03 CA LV6E          599 13 DX
QSO: 28087 RY 2013-09-28 0043 N6PE          593 3 CA NN6NN         599 03 CA
QSO: 28086 RY 2013-09-28 0045 N6PE          599 3 CA KH7M          599 31 KH6
QSO: 28081 RY 2013-09-28 0046 N6PE          599 3 CA W8UL          599 04 OH
QSO: 28081 RY 2013-09-28 0047 N6PE          599 03 CA CW7T          599 13 DX
QSO: 28079 RY 2013-09-28 0048 N6PE          599 03 CA ZL3JT         599 32 DX
QSO: 28000 RY 2013-09-28 0050 N6PE          599 03 CA LW1HR         599 13 DX
QSO: 28000 RY 2013-09-28 0051 N6PE          599 03 CA W8KHP         599 04 KY
QSO: 28000 RY 2013-09-28 0058 N6PE          599 03 CA NH2DX         599 27 DX
QSO: 28079 RY 2013-09-28 0101 N6PE          599 03 CA VK7XX         599 30 DX
QSO: 28083 RY 2013-09-28 0107 N6PE          599 03 CA K7HP          599 03 AZ
QSO: 28000 RY 2013-09-28 0110 N6PE          599 03 CA JA3QOS        599 25 DX
