START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: DK1IP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DK1IP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2013.
QSO: 28082 RY 2013-09-29 1147 DK1IP         599 14 DX EA8AJO        599 33 DX
QSO: 28079 RY 2013-09-29 1152 DK1IP         599 14 DX 8P2K          599 08 8P
QSO: 28106 RY 2013-09-29 1204 DK1IP         599 14 DX ZV2K          599 11 DX
QSO: 28108 RY 2013-09-29 1204 DK1IP         599 14 DX NP3U          599 08 DX
QSO: 28095 RY 2013-09-29 1205 DK1IP         599 14 DX PY2WC         599 11 DX
QSO: 28113 RY 2013-09-29 1209 DK1IP         599 14 DX RG9A          599 17 DX
QSO: 28117 RY 2013-09-29 1213 DK1IP         599 14 DX PJ2/K8LEE     599 09 DX
QSO: 28111 RY 2013-09-29 1215 DK1IP         599 14 DX AY2H          599 13 DX
QSO: 28110 RY 2013-09-29 1216 DK1IP         599 14 DX LV6E          599 13 DX
QSO: 28000 RY 2013-09-29 1218 DK1IP         599 14 DX CX2DK         599 13 DX
QSO: 28096 RY 2013-09-29 1221 DK1IP         599 14 DX LT0H          599 13 DX
QSO: 28090 RY 2013-09-29 1224 DK1IP         599 14 DX LV5V          599 13 DX
QSO: 21073 RY 2013-09-29 1229 DK1IP         599 14 DX K1FWE         599 05 NH
QSO: 21076 RY 2013-09-29 1230 DK1IP         599 14 DX SV1JG         599 20 DX
QSO: 21073 RY 2013-09-29 1231 DK1IP         599 14 DX RW3WX         599 16 DX
QSO: 21075 RY 2013-09-29 1233 DK1IP         599 14 DX K9CT          599 04 IL
QSO: 21076 RY 2013-09-29 1235 DK1IP         599 14 DX HA30S         599 15 DX
QSO: 21077 RY 2013-09-29 1241 DK1IP         599 14 DX WM9Q          599 04 IL
QSO: 21081 RY 2013-09-29 1243 DK1IP         599 14 DX NR4M          599 05 VA
QSO: 21081 RY 2013-09-29 1245 DK1IP         599 14 DX W3LL          599 05 MD
QSO: 21082 RY 2013-09-29 1337 DK1IP         599 14 DX K1SFA         599 05 MA
QSO: 21083 RY 2013-09-29 1340 DK1IP         599 14 DX 9A5Y          599 15 DX
QSO: 21086 RY 2013-09-29 1341 DK1IP         599 14 DX 4L8A          599 21 DX
QSO: 21132 RY 2013-09-29 1343 DK1IP         599 14 DX SP3ASN        599 15 DX
QSO: 21133 RY 2013-09-29 1344 DK1IP         599 14 DX IZ3GOM        599 15 DX
QSO: 21132 RY 2013-09-29 1345 DK1IP         599 14 DX IZ4AFW        599 15 DX
QSO: 21131 RY 2013-09-29 1347 DK1IP         599 14 DX W8KX          599 04 MI
QSO: 21127 RY 2013-09-29 1348 DK1IP         599 14 DX A61ZX         599 21 DX
QSO: 21128 RY 2013-09-29 1352 DK1IP         599 14 DX TF2R          599 40 DX
QSO: 21125 RY 2013-09-29 1353 DK1IP         599 14 DX RM4I          599 16 DX
QSO: 21126 RY 2013-09-29 1354 DK1IP         599 14 DX ES9C          599 15 DX
QSO: 21125 RY 2013-09-29 1357 DK1IP         599 14 DX LX1NO         599 14 DX
QSO: 21124 RY 2013-09-29 1402 DK1IP         599 14 DX VE3CV         599 04 ON
QSO: 21000 RY 2013-09-29 1405 DK1IP         599 14 DX SV1QXU        599 20 DX
QSO: 21120 RY 2013-09-29 1411 DK1IP         599 14 DX TM1A          599 14 DX
QSO: 21120 RY 2013-09-29 1412 DK1IP         599 14 DX OH2ET         599 15 DX
QSO: 21119 RY 2013-09-29 1413 DK1IP         599 14 DX N7AT          599 03 AZ
QSO: 21119 RY 2013-09-29 1414 DK1IP         599 14 DX KI1G          599 05 RI
QSO: 21118 RY 2013-09-29 1415 DK1IP         599 14 DX W1UE          599 05 MA
QSO: 21118 RY 2013-09-29 1416 DK1IP         599 14 DX HZ1XB         599 21 DX
QSO: 21117 RY 2013-09-29 1419 DK1IP         599 14 DX HZ1PS         599 21 HZ
QSO: 21113 RY 2013-09-29 1420 DK1IP         599 14 DX K4MM          599 05 FL
QSO: 21114 RY 2013-09-29 1422 DK1IP         599 14 DX AA3B          599 5 PA
QSO: 21114 RY 2013-09-29 1426 DK1IP         599 14 DX N0NI          599 04 IA
QSO: 21113 RY 2013-09-29 1427 DK1IP         599 14 DX W4PK          599 05 VA
QSO: 21112 RY 2013-09-29 1429 DK1IP         599 14 DX AC0C          599 04 KS
QSO: 21111 RY 2013-09-29 1430 DK1IP         599 14 DX NK7U          599 03 OR
QSO: 21112 RY 2013-09-29 1430 DK1IP         599 14 DX N6RO          599 03 CA
QSO: 21111 RY 2013-09-29 1432 DK1IP         599 14 DX N3BUO         599 04 TX
QSO: 21111 RY 2013-09-29 1433 DK1IP         599 14 DX W1DX          599 05 CT
QSO: 21110 RY 2013-09-29 1434 DK1IP         599 14 DX UA4M          599 16 DX
QSO: 21109 RY 2013-09-29 1436 DK1IP         599 14 DX HZ1HN         599 21 DX
QSO: 21109 RY 2013-09-29 1436 DK1IP         599 14 DX UT2IO         599 16 DX
QSO: 21110 RY 2013-09-29 1438 DK1IP         599 14 DX RU4CO         599 16 DX
QSO: 21108 RY 2013-09-29 1439 DK1IP         599 14 DX AD5OW         599 04 MS
QSO: 21110 RY 2013-09-29 1442 DK1IP         599 14 DX N3RC          599 04 MT
QSO: 21110 RY 2013-09-29 1446 DK1IP         599 14 DX K4FJW         599 05 VA
QSO: 21107 RY 2013-09-29 1448 DK1IP         599 14 DX K4VV          599 05 VA
QSO: 21107 RY 2013-09-29 1449 DK1IP         599 14 DX AB1QB         599 05 NH
QSO: 21106 RY 2013-09-29 1451 DK1IP         599 14 DX W3FV          599 05 PA
