START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-SSB
CALLSIGN: YO9GX
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: 
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE 
CLAIMED-SCORE: 15466
CREATED-BY: UcxLog 7.52
OPERATORS: YO9GX
NAME: Grigore Marian
CLUB: YO DX CLUB
SOAPBOX: I declare that all contest rules and all the rules and regulations for
SOAPBOX: amateur radio operations in my country have been observed and adhered
SOAPBOX: to. I accept the decisions of the SPANISH CONTESTS COMMITEE.
SOAPBOX: The condition was good.
SOAPBOX: Tnx for the org.of His Majesty The King of Spain SSB Contest.
QSO: 14000 PH 2017-06-24 1213 YO9GX         59  001    IT9OPR        59  005
QSO: 14000 PH 2017-06-24 1215 YO9GX         59  002    RW3XZ         59  032
QSO: 14000 PH 2017-06-24 1226 YO9GX         59  003    IT9SSI        59  030
QSO: 14000 PH 2017-06-24 1234 YO9GX         59  004    UA6YN         59  032
QSO: 14000 PH 2017-06-24 1236 YO9GX         59  005    SK2T          59  030
QSO: 14000 PH 2017-06-24 1238 YO9GX         59  006    EF8I          59  TF
QSO: 14000 PH 2017-06-24 1243 YO9GX         59  007    ED1R          59  AV
QSO: 14000 PH 2017-06-24 1245 YO9GX         59  008    EF9R          59  CE
QSO: 14000 PH 2017-06-24 1256 YO9GX         59  009    OG6N          59  077
QSO: 14000 PH 2017-06-24 1257 YO9GX         59  010    IN3HDE        59  037
QSO: 14000 PH 2017-06-24 1300 YO9GX         59  011    EF0F          59  SMR
QSO: 14000 PH 2017-06-24 1304 YO9GX         59  012    IQ2DN         59  050
QSO: 14000 PH 2017-06-24 1306 YO9GX         59  013    IZ4JMU        59  046
QSO: 21000 PH 2017-06-24 1323 YO9GX         59  014    9A5Y          59  084
QSO: 21000 PH 2017-06-24 1326 YO9GX         59  015    UA6YN         59  061
QSO: 14000 PH 2017-06-24 1338 YO9GX         59  016    S57DX         59  167
QSO: 14000 PH 2017-06-24 1340 YO9GX         59  017    9A9A          59  200
QSO: 14000 PH 2017-06-24 1341 YO9GX         59  018    9A3B          59  074
QSO: 14000 PH 2017-06-24 1342 YO9GX         59  019    YT0T          59  036
QSO: 14000 PH 2017-06-24 1349 YO9GX         59  020    EA8ZS         59  GC
QSO: 14000 PH 2017-06-24 1400 YO9GX         59  021    EC7WR         59  CO
QSO: 14000 PH 2017-06-24 1402 YO9GX         59  022    ED3X          59  BA
QSO: 14000 PH 2017-06-24 1415 YO9GX         59  023    EE5T          59  V
QSO: 21000 PH 2017-06-24 1438 YO9GX         59  024    DL0ESA        59  078
QSO: 14000 PH 2017-06-24 1452 YO9GX         59  025    DD2ML         59  066
QSO: 21000 PH 2017-06-24 1516 YO9GX         59  026    PA4VHF        59  197
QSO: 21000 PH 2017-06-24 1520 YO9GX         59  027    OG6N          59  144
