START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: CT1IQI
CONTEST: EA-MAJESTAD-SSB
CATEGORY: SINGLE-OP 10M
CLAIMED-SCORE: 2340
OPERATORS: CT1IQI
NAME: MARTINUS STROOMER
CREATED-BY: LibreOffice spreadsheet and hand
QSO: 28500	PH 	2017-06-24	1434	CT1IQI 	59	001	EA3BLL	59	GI
QSO: 28500	PH 	2017-06-24	1435	CT1IQI 	59	002	G0VJG	59	175
QSO: 28500	PH 	2017-06-24	1437	CT1IQI 	59	003	EF5T	59	MU
QSO: 28500	PH 	2017-06-24	1437	CT1IQI 	59	004	EF0F	59	SMR
QSO: 28500	PH 	2017-06-24	1440	CT1IQI 	59	005	EA1AIW	59	O
QSO: 28500	PH 	2017-06-24	1443	CT1IQI 	59	006	EA8URG	59	TF
QSO: 28500	PH 	2017-06-24	1445	CT1IQI 	59	007	EA3FP	59	B
QSO: 28500	PH 	2017-06-24	1448	CT1IQI 	59	008	EF8I	59	TF
QSO: 28500	PH 	2017-06-24	1506	CT1IQI 	59	009	EF1W	59	O
QSO: 28500	PH 	2017-06-24	1509	CT1IQI 	59	010	EA5DZ	59	MU
QSO: 28500	PH 	2017-06-24	1512	CT1IQI 	59	011	EA8PT	59	GC
QSO: 28500	PH 	2017-06-24	1521	CT1IQI 	59	012	EA8CYE	59	TF
QSO: 28500	PH 	2017-06-24	1523	CT1IQI 	59	013	EA1BQR	59	SO
QSO: 28500	PH 	2017-06-24	1527	CT1IQI 	59	014	EA6DB	59	IB
QSO: 28500	PH 	2017-06-24	1529	CT1IQI 	59	015	EA3FZT	59	B
QSO: 28500	PH 	2017-06-24	1531	CT1IQI 	59	016	EA1MX	59	S
QSO: 28500	PH 	2017-06-24	1533	CT1IQI 	59	017	ED4W	59	GU
QSO: 28500	PH 	2017-06-24	1538	CT1IQI 	59	018	EB1OU	59	OU
QSO: 28500	PH 	2017-06-24	1540	CT1IQI 	59	019	EC1YL	59	PO
QSO: 28500	PH 	2017-06-24	1544	CT1IQI 	59	020	EA4URL	59	M
QSO: 28500	PH 	2017-06-24	1546	CT1IQI 	59	021	ED1W	59	PO
QSO: 28500	PH 	2017-06-24	1549	CT1IQI 	59	022	OG6N	59	181
QSO: 28500	PH 	2017-06-24	1551	CT1IQI 	59	023	EA1AJV	59	PO
QSO: 28500	PH 	2017-06-24	1553	CT1IQI 	59	024	UY5ZZ	59	092
QSO: 28500	PH 	2017-06-24	1555	CT1IQI 	59	025	ED1A	59	O
QSO: 28500	PH 	2017-06-24	1556	CT1IQI 	59	026	SE5N	59	063
QSO: 28500	PH 	2017-06-24	1557	CT1IQI 	59	027	OH6ECM	59	098
QSO: 28500	PH 	2017-06-24	1558	CT1IQI 	59	028	EA2BFM	59	BI
QSO: 28500	PH 	2017-06-24	1617	CT1IQI 	59	029	EA8ZS	59	GC
QSO: 28500	PH 	2017-06-25	0939	CT1IQI 	59	030	DD8SM	59	201
QSO: 28500	PH 	2017-06-25	0941	CT1IQI 	59	031	EA8AMY	59	GC
QSO: 28500	PH 	2017-06-25	0943	CT1IQI 	59	032	9H1AE	59	063
QSO: 28500	PH 	2017-06-25	0948	CT1IQI 	59	033	UA6YN	59	256
QSO: 28500	PH 	2017-06-25	0950	CT1IQI 	59	034	IW2HAJ	59	628
QSO: 28500	PH 	2017-06-25	0952	CT1IQI 	59	035	RZ3Z	59	257
QSO: 28500	PH 	2017-06-25	0956	CT1IQI 	59	036	HA4XH	59	740
QSO: 28500	PH 	2017-06-25	0958	CT1IQI 	59	037	F4FQZ	59	045
QSO: 28500	PH 	2017-06-25	1001	CT1IQI 	59	038	UT4U	59	516
QSO: 28500	PH 	2017-06-25	1029	CT1IQI 	59	039	PD0ARI	55	026
QSO: 28500	PH 	2017-06-25	1031	CT1IQI 	59	040	PA4VHF	59	554
END-OF-LOG:
