START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: WN7Y
LOCATION: MT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: dn55rs
CLAIMED-SCORE: 42582
NAME: Ron Glass
OPERATORS: WN7Y
CLUB: BIG SKY CONTESTERS
CREATED-BY: N1MM Logger+ 1.0.7704.0
SOAPBOX: Best turnout for an HF contest in years, great fun!
QSO: 14000 PH 2020-03-28 0000 WN7Y          59  0001   AL2F          59  0001
QSO: 14000 PH 2020-03-28 0008 WN7Y          59  0002   KL7RA         59  0026
QSO: 14000 PH 2020-03-28 0012 WN7Y          59  0003   XE2JA         59  0015
QSO: 14000 PH 2020-03-28 0015 WN7Y          59  0004   KA4RRU        59  0014
QSO: 14000 PH 2020-03-28 0017 WN7Y          59  0005   KT5J          59  0091
QSO: 14000 PH 2020-03-28 0019 WN7Y          59  0006   AD5XD         59  0055
QSO: 14000 PH 2020-03-28 0023 WN7Y          59  0007   KK9A          59  0075
QSO: 14000 PH 2020-03-28 0025 WN7Y          59  0008   NU5A          59  0082
QSO: 14000 PH 2020-03-28 0027 WN7Y          59  0009   FS4WBS        59  0009
QSO: 14000 PH 2020-03-28 0047 WN7Y          59  0010   CE2LR         59  0183
QSO: 14000 PH 2020-03-28 0058 WN7Y          59  0011   NK8Q          59  0056
QSO: 14000 PH 2020-03-28 0059 WN7Y          59  0012   WE6EZ         59  0080
QSO: 14000 PH 2020-03-28 0105 WN7Y          59  0013   AC4MC         59  0046
QSO:  7000 PH 2020-03-28 0107 WN7Y          59  0014   VA7DX         59  0058
QSO:  7000 PH 2020-03-28 0130 WN7Y          59  0015   NC6R          59  0149
QSO:  7000 PH 2020-03-28 0132 WN7Y          59  0016   TI7W          59  0331
QSO:  7000 PH 2020-03-28 0134 WN7Y          59  0017   K0STP         59  0090
QSO:  7000 PH 2020-03-28 0135 WN7Y          59  0018   K3DNE         59  0235
QSO:  7000 PH 2020-03-28 0138 WN7Y          59  0019   KP3DX         59  0325
QSO:  7000 PH 2020-03-28 0139 WN7Y          59  0020   WB5BHS        59  0071
QSO:  7000 PH 2020-03-28 0140 WN7Y          59  0021   KB0EO         59  0374
QSO:  7000 PH 2020-03-28 0144 WN7Y          59  0022   KT5J          59  0534
QSO:  7000 PH 2020-03-28 0145 WN7Y          59  0023   WC6H          59  0296
QSO:  7000 PH 2020-03-28 0146 WN7Y          59  0024   N3QE          59  0193
QSO:  7000 PH 2020-03-28 0146 WN7Y          59  0025   WW2Y          59  0209
QSO:  7000 PH 2020-03-28 0147 WN7Y          59  0026   KT7E          59  0265
QSO:  7000 PH 2020-03-28 0149 WN7Y          59  0027   NR6O          59  0312
QSO:  7000 PH 2020-03-28 0149 WN7Y          59  0028   K7RI          59  0226
QSO:  7000 PH 2020-03-28 0205 WN7Y          59  0029   AK1W          59  0299
QSO:  7000 PH 2020-03-28 0206 WN7Y          59  0030   AA4V          59  0060
QSO:  7000 PH 2020-03-28 0219 WN7Y          59  0031   NR6Q          59  0076
QSO:  7000 PH 2020-03-28 0221 WN7Y          59  0032   KL6RA         59  0026
QSO:  7000 PH 2020-03-28 0430 WN7Y          59  0033   ND9G          59  0139
QSO:  7000 PH 2020-03-28 0434 WN7Y          59  0034   KD5DD         59  0412
QSO:  7000 PH 2020-03-28 0459 WN7Y          59  0035   AI5IN         59  0136
QSO:  7000 PH 2020-03-28 0502 WN7Y          59  0036   NR3X          59  0685
QSO:  7000 PH 2020-03-28 0504 WN7Y          59  0037   NQ5K          59  0703
QSO: 21000 PH 2020-03-28 2100 WN7Y          59  0038   CE6CGX        59  0393
QSO: 21000 PH 2020-03-28 2103 WN7Y          59  0039   LU8VLE        59  0287
QSO: 14000 PH 2020-03-28 2118 WN7Y          59  0040   K9CT          59  1286
QSO: 14000 PH 2020-03-28 2120 WN7Y          59  0041   NA4RR         59  1102
QSO: 14000 PH 2020-03-28 2120 WN7Y          59  0042   K9KE          59  0579
QSO: 14000 PH 2020-03-28 2123 WN7Y          59  0043   KD5JRY        59  0581
QSO: 14000 PH 2020-03-28 2124 WN7Y          59  0044   KK6P          59  1105
QSO: 14000 PH 2020-03-28 2125 WN7Y          59  0045   W6TK          59  0962
QSO: 14000 PH 2020-03-28 2126 WN7Y          59  0046   VO2NS         59  0273
QSO: 14000 PH 2020-03-28 2130 WN7Y          59  0047   KU2M          59  1179
QSO: 14000 PH 2020-03-28 2131 WN7Y          59  0048   KX7M          59  1106
QSO: 14000 PH 2020-03-28 2134 WN7Y          59  0049   NX6T          59  0450
QSO: 14000 PH 2020-03-28 2137 WN7Y          59  0050   NB4N          59  0821
QSO: 14000 PH 2020-03-28 2140 WN7Y          59  0051   N6JS          59  0839
QSO: 14000 PH 2020-03-28 2140 WN7Y          59  0052   N5JJ          59  0847
QSO: 14000 PH 2020-03-28 2142 WN7Y          59  0053   NR6O          59  1224
QSO: 14000 PH 2020-03-28 2143 WN7Y          59  0054   N8BJQ         59  0339
QSO: 14000 PH 2020-03-28 2144 WN7Y          59  0055   NE4EI         59  0336
QSO: 14000 PH 2020-03-28 2145 WN7Y          59  0056   K4RO          59  0435
QSO: 14000 PH 2020-03-28 2146 WN7Y          59  0057   K3TC          59  0480
QSO: 14000 PH 2020-03-28 2146 WN7Y          59  0058   W5WZ          59  0455
QSO: 14000 PH 2020-03-28 2147 WN7Y          59  0059   WJ4X          59  0377
