START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: KD9GY
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: EN52wf
CLAIMED-SCORE: 72590
NAME: Jim Lang
OPERATORS: KD9GY
CLUB: SOCIETY OF MIDWEST CONTESTERS
CREATED-BY: N3FJP's CQ WPX Contest Log 4.7
SOAPBOX: It was fun when 15 mtrs opened up on Sunday!
QSO: 14176 PH 2020-03-28 0027 KD9GY         59  001    W7XX          59  42     0
QSO: 14242 PH 2020-03-28 0030 KD9GY         59  002    WC6H          59  71     0
QSO: 14252 PH 2020-03-28 0031 KD9GY         59  003    VA7DX         59  42     0
QSO: 14259 PH 2020-03-28 0032 KD9GY         59  004    VA7RR         59  123    0
QSO: 14280 PH 2020-03-28 0034 KD9GY         59  005    NT6Q          59  63     0
QSO: 14312 PH 2020-03-28 0035 KD9GY         59  006    W6NCB         59  40     0
QSO:  7134 PH 2020-03-28 0039 KD9GY         59  007    NY6DX         59  29     0
QSO:  7139 PH 2020-03-28 0040 KD9GY         59  008    NQ5K          59  100    0
QSO:  7141 PH 2020-03-28 0041 KD9GY         59  009    AA4XG         59  103    0
QSO:  7152 PH 2020-03-28 0047 KD9GY         59  010    WQ5OO         59  134    0
QSO:  7160 PH 2020-03-28 0049 KD9GY         59  011    WR1ST         59  117    0
QSO:  7165 PH 2020-03-28 0050 KD9GY         59  012    W4TG          59  018    0
QSO:  7166 PH 2020-03-28 0051 KD9GY         59  013    NW3Y          59  121    0
QSO:  7181 PH 2020-03-28 0055 KD9GY         59  014    VA2AGW        59  55     0
QSO:  7189 PH 2020-03-28 0056 KD9GY         59  015    WZ4F          59  189    0
QSO:  7192 PH 2020-03-28 0058 KD9GY         59  016    VE4GV         59  144    0
QSO:  7206 PH 2020-03-28 0102 KD9GY         59  017    K0STP         59  46     0
QSO:  7210 PH 2020-03-28 0103 KD9GY         59  018    AG4W          59  172    0
QSO:  7216 PH 2020-03-28 0105 KD9GY         59  019    K1AR          59  101    0
QSO:  7247 PH 2020-03-28 0107 KD9GY         59  020    N3QE          59  128    0
QSO:  3789 PH 2020-03-28 0110 KD9GY         59  021    KC1XX         59  209    0
QSO:  3756 PH 2020-03-28 0113 KD9GY         59  022    W3LL          59  156    0
QSO:  3749 PH 2020-03-28 0114 KD9GY         59  023    W9SE          59  32     0
QSO:  3739 PH 2020-03-28 0115 KD9GY         59  024    NN1C          59  111    0
QSO:  3721 PH 2020-03-28 0116 KD9GY         59  025    K9SH          59  26     0
QSO:  3710 PH 2020-03-28 0117 KD9GY         59  026    N3XF          59  36     0
QSO:  3700 PH 2020-03-28 0118 KD9GY         59  027    AB4B          59  95     0
QSO:  3698 PH 2020-03-28 0119 KD9GY         59  028    NB3I          59  42     0
QSO:  3692 PH 2020-03-28 0120 KD9GY         59  029    W3NO          59  94     0
QSO:  3684 PH 2020-03-28 0120 KD9GY         59  030    KD4D          59  121    0
QSO:  3670 PH 2020-03-28 0121 KD9GY         59  031    VA2CZ         59  91     0
QSO:  3652 PH 2020-03-28 0122 KD9GY         59  032    ND8DX         59  120    0
QSO:  3649 PH 2020-03-28 0123 KD9GY         59  033    CF3A          59  204    0
QSO: 14338 PH 2020-03-28 2006 KD9GY         59  034    N0KV          59  962    0
QSO: 14315 PH 2020-03-28 2009 KD9GY         59  035    W2JV          59  247    0
QSO: 14298 PH 2020-03-28 2012 KD9GY         59  036    N5JJ          59  701    0
QSO: 14278 PH 2020-03-28 2013 KD9GY         59  037    WK5T          59  1598   0
QSO: 14264 PH 2020-03-28 2015 KD9GY         59  038    N6JS          59  731    0
QSO: 14260 PH 2020-03-28 2016 KD9GY         59  039    KA6BIM        59  547    0
QSO: 14248 PH 2020-03-28 2017 KD9GY         59  040    W7WA          59  1219   0
