START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: K9FRO
LOCATION: IN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: EM69
CLAIMED-SCORE: 74217
NAME: Jeffrey D Erdman
OPERATORS: K9FRO
CREATED-BY: N3FJP's CQ WPX Contest Log 4.7
SOAPBOX: TS940S and G5RV.  First HF in 3+ years.  Fun contest.
QSO: 14000 PH 2020-03-28 0012 K9FRO         59  001    WU5K          59  25     0
QSO: 14000 PH 2020-03-28 0013 K9FRO         59  002    VE6WP         59  26     0
QSO: 14000 PH 2020-03-28 0016 K9FRO         59  003    WM9X          59  13     0
QSO: 14000 PH 2020-03-28 0023 K9FRO         59  004    VA7RR         59  95     0
QSO: 14000 PH 2020-03-28 0032 K9FRO         59  005    ND7K          59  123    0
QSO: 14000 PH 2020-03-28 0033 K9FRO         59  006    NU5A          59  119    0
QSO: 14000 PH 2020-03-28 0035 K9FRO         59  007    NC7M          59  56     0
QSO:  7000 PH 2020-03-28 0055 K9FRO         59  008    VE4GV         59  137    0
QSO:  7000 PH 2020-03-28 0057 K9FRO         59  009    W9RE          59  168    0
QSO:  7000 PH 2020-03-28 0110 K9FRO         59  010    NM1JY         59  194    0
QSO:  7000 PH 2020-03-28 0115 K9FRO         59  011    AG4W          59  205    0
QSO:  7000 PH 2020-03-28 0119 K9FRO         59  012    WB5BHS        59  37     0
QSO:  7000 PH 2020-03-28 0120 K9FRO         59  013    KB0EO         59  314    0
QSO:  7000 PH 2020-03-28 0121 K9FRO         59  014    VE3CX         59  124    0
QSO:  7000 PH 2020-03-28 0123 K9FRO         59  015    KT5J          59  431    0
QSO:  7000 PH 2020-03-28 0125 K9FRO         59  016    AA5JF         59  67     0
QSO:  7000 PH 2020-03-28 0127 K9FRO         59  017    NA4RR         59  289    0
QSO:  7000 PH 2020-03-28 0133 K9FRO         59  018    WZ4F          59  318    0
QSO:  7000 PH 2020-03-28 0139 K9FRO         59  019    VA2SJ         59  120    0
QSO:  7000 PH 2020-03-28 0147 K9FRO         59  020    KI6QDH        59  36     0
QSO: 14000 PH 2020-03-28 0200 K9FRO         59  021    N6JS          59  175    0
QSO: 14000 PH 2020-03-28 0204 K9FRO         59  022    WE0Q          59  10     0
QSO: 14000 PH 2020-03-28 0205 K9FRO         59  023    NR60          59  350    0
QSO: 14000 PH 2020-03-28 0208 K9FRO         59  024    AE6Y          59  38     0
QSO: 14000 PH 2020-03-28 0209 K9FRO         59  025    W5WZ          59  269    0
QSO: 14000 PH 2020-03-28 0212 K9FRO         59  026    KR6N          59  271    0
QSO: 14000 PH 2020-03-28 0213 K9FRO         59  027    KX7M          59  282    0
QSO:  7000 PH 2020-03-28 0236 K9FRO         59  028    KV0I          59  237    0
QSO:  7000 PH 2020-03-28 0239 K9FRO         59  029    KR1DX         59  215    0
QSO:  7000 PH 2020-03-28 0240 K9FRO         59  030    WC6H          59  478    0
QSO:  7000 PH 2020-03-28 0248 K9FRO         59  031    ZW8T          59  186    0
QSO:  7000 PH 2020-03-28 0250 K9FRO         59  032    NO6T          59  392    0
QSO:  7000 PH 2020-03-28 0258 K9FRO         59  033    NR60          59  428    0
QSO:  7000 PH 2020-03-28 0301 K9FRO         59  034    VE5MX         59  463    0
QSO:  7000 PH 2020-03-28 0304 K9FRO         59  035    K6RO          59  194    0
QSO:  7000 PH 2020-03-28 0305 K9FRO         59  036    VY2TT         59  504    0
QSO:  7000 PH 2020-03-28 0307 K9FRO         59  037    W4LT          59  89     0
QSO:  3500 PH 2020-03-28 0313 K9FRO         59  038    AD4TR         59  247    0
QSO:  3500 PH 2020-03-28 0315 K9FRO         59  039    AB4GG         59  365    0
QSO:  3500 PH 2020-03-28 0320 K9FRO         59  040    NR3X          59  522    0
QSO:  7000 PH 2020-03-28 0334 K9FRO         59  041    NE0F          59  313    0
QSO:  7000 PH 2020-03-28 0341 K9FRO         59  042    KT7E          59  595    0
QSO:  7000 PH 2020-03-28 0344 K9FRO         59  043    NT6Q          59  395    0
QSO:  7000 PH 2020-03-28 0350 K9FRO         59  044    NT5V          59  387    0
QSO:  7000 PH 2020-03-28 1328 K9FRO         59  045    VA3MW         59  261    0
QSO:  7000 PH 2020-03-28 1329 K9FRO         59  046    K2ADA         59  540    0
QSO:  7000 PH 2020-03-28 1331 K9FRO         59  047    AA5B          59  227    0
QSO:  7000 PH 2020-03-28 1335 K9FRO         59  048    NN9DD         59  457    0
QSO:  7000 PH 2020-03-28 1337 K9FRO         59  049    WW5L          59  162    0
QSO: 14000 PH 2020-03-28 1525 K9FRO         59  050    KT5J          59  2307   0
QSO: 14000 PH 2020-03-28 1531 K9FRO         59  051    NR7DX         59  509    0
QSO: 14000 PH 2020-03-28 1534 K9FRO         59  052    VE6AO         59  81     0
QSO: 14000 PH 2020-03-28 1537 K9FRO         59  053    ES5TV         59  1896   0
QSO: 14000 PH 2020-03-28 1559 K9FRO         59  054    NC6R          59  652    0
QSO: 14000 PH 2020-03-28 1619 K9FRO         59  055    NT5V          59  672    0
QSO: 14000 PH 2020-03-28 1635 K9FRO         59  056    VE4GV         59  1165   0
QSO: 14000 PH 2020-03-28 1646 K9FRO         59  057    LY4A          59  2339   0
QSO:  7000 PH 2020-03-28 1703 K9FRO         59  058    KT3RR         59  226    0
QSO:  7000 PH 2020-03-28 1705 K9FRO         59  059    WW2DX         59  1094   0
QSO:  7000 PH 2020-03-28 1708 K9FRO         59  060    WA2CP         59  267    0
QSO:  7000 PH 2020-03-28 1710 K9FRO         59  061    N2WF          59  113    0
QSO:  7000 PH 2020-03-28 1711 K9FRO         59  062    N0HJZ         59  48     0
QSO:  7000 PH 2020-03-28 1712 K9FRO         59  063    N4RV          59  671    0
QSO: 14000 PH 2020-03-28 1729 K9FRO         59  064    KJ4QHL        59  299    0
QSO: 14000 PH 2020-03-28 1741 K9FRO         59  065    KV0Q          59  833    0
QSO: 14000 PH 2020-03-28 1749 K9FRO         59  066    K7RI          59  693    0
QSO: 14000 PH 2020-03-28 1754 K9FRO         59  067    WS7X          59  946    0
QSO: 14000 PH 2020-03-28 1932 K9FRO         59  068    W7VJ          59  266    0
QSO: 14000 PH 2020-03-28 1934 K9FRO         59  069    K3RA          59  1160   0
QSO: 14000 PH 2020-03-28 1937 K9FRO         59  070    WK5T          59  1492   0
QSO: 14000 PH 2020-03-28 1943 K9FRO         59  071    DL6FBL        59  2712   0
QSO: 14000 PH 2020-03-28 1950 K9FRO         59  072    N5JJ          59  657    0
QSO: 14000 PH 2020-03-28 1954 K9FRO         59  073    KJ0D          59  168    0
QSO: 14000 PH 2020-03-28 1958 K9FRO         59  074    ED1R          59  1246   0
QSO: 14000 PH 2020-03-28 2009 K9FRO         59  075    N0KV          59  973    0
QSO: 14000 PH 2020-03-28 2015 K9FRO         59  076    KP3DX         59  1783   0
QSO: 21000 PH 2020-03-28 2017 K9FRO         59  077    NP2P          59  1255   0
QSO: 21000 PH 2020-03-28 2027 K9FRO         59  078    WP4WW         59  157    0
QSO: 21000 PH 2020-03-28 2029 K9FRO         59  079    LT3H          59  406    0
QSO: 21000 PH 2020-03-28 2039 K9FRO         59  080    NP3V          59  101    0
QSO: 21000 PH 2020-03-28 2041 K9FRO         59  081    ZZ2T          59  907    0
QSO: 21000 PH 2020-03-28 2043 K9FRO         59  082    AJ7G          59  013    0
QSO: 14000 PH 2020-03-28 2148 K9FRO         59  083    W7WA          59  1490   0
QSO: 14000 PH 2020-03-28 2150 K9FRO         59  084    AD5MD         59  270    0
QSO: 14000 PH 2020-03-28 2206 K9FRO         59  085    N7ZUF         59  166    0
QSO: 14000 PH 2020-03-28 2212 K9FRO         59  086    WB3ISP        59  110    0
QSO: 14000 PH 2020-03-28 2221 K9FRO         59  087    KT4Q          59  958    0
QSO: 14000 PH 2020-03-28 2223 K9FRO         59  088    KK7MA         59  094    0
QSO: 14000 PH 2020-03-28 2225 K9FRO         59  089    AD4TR         59  2068   0
QSO: 14000 PH 2020-03-28 2227 K9FRO         59  090    ZZ2T          59  1077   0
QSO: 14000 PH 2020-03-28 2241 K9FRO         59  091    AA4TI         59  207    0
QSO: 14000 PH 2020-03-28 2244 K9FRO         59  092    W7GYM         59  154    0
QSO: 14000 PH 2020-03-28 2246 K9FRO         59  093    WP4SD         59  216    0
QSO: 14000 PH 2020-03-28 2248 K9FRO         59  094    KD5DD         59  1280   0
QSO: 14000 PH 2020-03-28 2250 K9FRO         59  095    KA6BIM        59  730    0
QSO: 14000 PH 2020-03-28 2255 K9FRO         59  096    CE3CT         59  1038   0
QSO: 14000 PH 2020-03-28 2258 K9FRO         59  097    NK7L          59  443    0
QSO: 14000 PH 2020-03-28 2312 K9FRO         59  098    W6TK          59  1115   0
QSO: 14000 PH 2020-03-28 2314 K9FRO         59  099    PY2COY        59  780    0
QSO:  7000 PH 2020-03-28 2338 K9FRO         59  100    WQ5OO         59  1869   0
QSO:  7000 PH 2020-03-28 2340 K9FRO         59  101    S51YI         59  1673   0
QSO:  7000 PH 2020-03-28 2351 K9FRO         59  102    UB7K          59  3424   0
QSO:  7000 PH 2020-03-28 2357 K9FRO         59  103    NW3Y          59  1062   0
QSO:  7000 PH 2020-03-29 0000 K9FRO         59  104    NE4EI         59  505    0
QSO:  7000 PH 2020-03-29 0001 K9FRO         59  105    K0TT          59  1128   0
QSO:  7000 PH 2020-03-29 0003 K9FRO         59  106    AJ7G          59  448    0
QSO:  7000 PH 2020-03-29 0005 K9FRO         59  107    W4BBT         59  531    0
QSO:  7000 PH 2020-03-29 0009 K9FRO         59  108    K3AJ          59  346    0
QSO:  7000 PH 2020-03-29 0010 K9FRO         59  109    VA3AR         59  468    0
QSO:  7000 PH 2020-03-29 0012 K9FRO         59  110    VA2EW         59  902    0
QSO:  7000 PH 2020-03-29 0014 K9FRO         59  111    VE9CB         59  1938   0
QSO:  7000 PH 2020-03-29 0015 K9FRO         59  112    VE3SCN        59  67     0
QSO:  7000 PH 2020-03-29 0016 K9FRO         59  113    AK1W          59  1802   0
QSO:  7000 PH 2020-03-29 0018 K9FRO         59  114    WA2JQK        59  505    0
QSO:  7000 PH 2020-03-29 0019 K9FRO         59  115    NF3R          59  773    0
QSO:  7000 PH 2020-03-29 0022 K9FRO         59  116    KX1X          59  469    0
QSO:  7000 PH 2020-03-29 0024 K9FRO         59  117    N4EXA         59  133    0
QSO:  7000 PH 2020-03-29 0025 K9FRO         59  118    NR3X          59  1845   0
QSO:  7000 PH 2020-03-29 0026 K9FRO         59  119    KA3EHL        59  43     0
QSO:  7000 PH 2020-03-29 0031 K9FRO         59  120    W4NWC         59  38     0
QSO:  7000 PH 2020-03-29 0034 K9FRO         59  121    K9EZ          59  307    0
QSO:  7000 PH 2020-03-29 0035 K9FRO         59  122    VA3SWG        59  327    0
QSO:  7000 PH 2020-03-29 0038 K9FRO         59  123    WN4AFP        59  202    0
QSO:  7000 PH 2020-03-29 0047 K9FRO         59  124    CR6T          59  2153   0
QSO:  7000 PH 2020-03-29 0050 K9FRO         59  125    K3RA          59  1610   0
QSO:  7000 PH 2020-03-29 0053 K9FRO         59  126    AA4AQ         59  259    0
QSO:  7000 PH 2020-03-29 0058 K9FRO         59  127    VA3WB         59  331    0
QSO:  7000 PH 2020-03-29 0101 K9FRO         59  128    WI0WA         59  1866   0
QSO:  7000 PH 2020-03-29 0104 K9FRO         59  129    W4NF          59  163    0
QSO:  7000 PH 2020-03-29 0106 K9FRO         59  130    CF3A          59  2652   0
QSO:  7000 PH 2020-03-29 0108 K9FRO         59  131    KG5HVO        59  783    0
QSO:  7000 PH 2020-03-29 0110 K9FRO         59  132    WN4GM         59  522    0
QSO:  7000 PH 2020-03-29 0112 K9FRO         59  133    AI5IN         59  5373   0
QSO:  7000 PH 2020-03-29 0114 K9FRO         59  134    WW7E          59  1060   0
QSO:  7000 PH 2020-03-29 0117 K9FRO         59  135    KA4RRU        59  502    0
QSO:  7000 PH 2020-03-29 0121 K9FRO         59  136    VA2CZ         59  914    0
QSO:  7000 PH 2020-03-29 0245 K9FRO         59  137    KX7M          59  1594   0
QSO:  7000 PH 2020-03-29 0247 K9FRO         59  138    EI20C         59  1997   0
QSO:  7000 PH 2020-03-29 0249 K9FRO         59  139    KK6ZM         59  351    0
QSO:  7000 PH 2020-03-29 0251 K9FRO         59  140    KD5DD         59  1445   0
QSO:  7000 PH 2020-03-29 0303 K9FRO         59  141    KP3DX         59  2762   0
QSO:  7000 PH 2020-03-29 0309 K9FRO         59  142    ZW5B          59  876    0
QSO:  7000 PH 2020-03-29 0310 K9FRO         59  143    WX6V          59  325    0
QSO:  7000 PH 2020-03-29 0314 K9FRO         59  144    KK6P          59  1573   0
QSO:  7000 PH 2020-03-29 0319 K9FRO         59  145    VE4VT         59  1668   0
QSO:  7000 PH 2020-03-29 0321 K9FRO         59  146    AE6Y          59  428    0
QSO:  7000 PH 2020-03-29 0325 K9FRO         59  147    WK0P          59  80     0
QSO:  7000 PH 2020-03-29 0327 K9FRO         59  148    NW6P          59  1072   0
QSO:  7000 PH 2020-03-29 0328 K9FRO         59  149    VE6WP         59  788    0
QSO:  7000 PH 2020-03-29 0330 K9FRO         59  150    KU6W          59  771    0
QSO:  7000 PH 2020-03-29 0340 K9FRO         59  151    EA6SX         59  955    0
QSO:  7000 PH 2020-03-29 0348 K9FRO         59  152    PY5QW         59  1091   0
QSO:  7000 PH 2020-03-29 0352 K9FRO         59  153    N7GP          59  1192   0
QSO:  7000 PH 2020-03-29 0356 K9FRO         59  154    WJ5L          59  247    0
QSO:  7000 PH 2020-03-29 1325 K9FRO         59  155    K0STP         59  402    0
QSO:  7000 PH 2020-03-29 1331 K9FRO         59  156    W1OO          59  523    0
QSO:  7000 PH 2020-03-29 1333 K9FRO         59  157    WS7X          59  1912   0
QSO:  7000 PH 2020-03-29 1341 K9FRO         59  158    N5DX          59  2266   0
QSO:  7000 PH 2020-03-29 1342 K9FRO         59  159    NG0C          59  998    0
