START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ2ZQP
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN45TQ
CLAIMED-SCORE: 16168
NAME: romano gallo
CLUB: mediterraneo dx club
CREATED-BY: QARTest 10.2.1
SOAPBOX: una meraviglia di contest un poco faticoso ma stupendo
QSO:  7089 PH 2020-03-28 1151 IZ2ZQP        59     001 DL6ON         59     227
QSO:  7128 PH 2020-03-28 1156 IZ2ZQP        59     002 OE3IDE        59     002
QSO:  7135 PH 2020-03-28 1158 IZ2ZQP        59     003 UV5U          59     599
QSO:  7142 PH 2020-03-28 1200 IZ2ZQP        59     004 SN2M          59     019
QSO:  7152 PH 2020-03-28 1203 IZ2ZQP        59     005 YT4S          59     270
QSO:  7154 PH 2020-03-28 1206 IZ2ZQP        59     006 DJ0IF         59     074
QSO:  7161 PH 2020-03-28 1208 IZ2ZQP        59     007 TM3Z          59     688
QSO:  7164 PH 2020-03-28 1210 IZ2ZQP        59     008 TM5CR         59     023
QSO:  7180 PH 2020-03-28 1212 IZ2ZQP        59     009 LY5XX         59     409
QSO:  7182 PH 2020-03-28 1215 IZ2ZQP        59     010 HG7T          59     928
QSO:  7200 PH 2020-03-28 1218 IZ2ZQP        59     011 LZ9W          59    1396
QSO:  7060 PH 2020-03-28 1507 IZ2ZQP        59     012 SP6YG         59     323
QSO:  7084 PH 2020-03-28 1510 IZ2ZQP        59     013 DK9NCX        59     219
QSO:  7089 PH 2020-03-28 1511 IZ2ZQP        59     014 YL3CW         59     376
QSO:  7091 PH 2020-03-28 1513 IZ2ZQP        59     015 S50X          59     296
QSO:  7094 PH 2020-03-28 1515 IZ2ZQP        59     016 S51CK         59     662
QSO:  7098 PH 2020-03-28 1517 IZ2ZQP        59     017 PD2DX         59     062
QSO:  7102 PH 2020-03-28 1526 IZ2ZQP        59     018 SC0N          59     101
QSO:  7107 PH 2020-03-28 1532 IZ2ZQP        59     019 UV2V          59     163
QSO:  7121 PH 2020-03-28 1537 IZ2ZQP        59     020 RC3C          59     020
QSO:  7148 PH 2020-03-28 1542 IZ2ZQP        59     021 ED3B          59     456
QSO:  7162 PH 2020-03-28 1545 IZ2ZQP        59     022 SN3A          59    1041
QSO:  7166 PH 2020-03-28 1549 IZ2ZQP        59     023 ED5R          59     796
QSO:  7175 PH 2020-03-28 1553 IZ2ZQP        59     024 F4HJO         59     676
QSO:  7187 PH 2020-03-28 1559 IZ2ZQP        59     025 DK2OY         59     466
QSO: 14103 PH 2020-03-28 1604 IZ2ZQP        59     026 EA2CC         59     107
QSO: 14111 PH 2020-03-28 1607 IZ2ZQP        59     027 SV1PMR        59     474
QSO: 14114 PH 2020-03-28 1610 IZ2ZQP        59     028 R195AM        59     369
QSO: 14115 PH 2020-03-28 1614 IZ2ZQP        59     029 VC2A          59    1192
QSO: 14154 PH 2020-03-28 1615 IZ2ZQP        59     036 IQ8SN         59    1141
QSO: 14126 PH 2020-03-28 1618 IZ2ZQP        59     030 VO1KVT        59     336
QSO: 14128 PH 2020-03-28 1620 IZ2ZQP        59     031 OZ7C          59     854
QSO: 14130 PH 2020-03-28 1626 IZ2ZQP        59     032 EA5RC         59     333
QSO: 14132 PH 2020-03-28 1629 IZ2ZQP        59     033 RT1S          59     284
QSO: 14149 PH 2020-03-28 1633 IZ2ZQP        59     034 VA3MW         59     399
QSO: 14153 PH 2020-03-28 1638 IZ2ZQP        59     035 WW2DX         59    1023
QSO: 14154 PH 2020-03-28 1645 IZ2ZQP        59     037 AC1U          59    1380
QSO: 14162 PH 2020-03-28 1650 IZ2ZQP        59     038 RL3A          59    3047
QSO: 14165 PH 2020-03-28 1718 IZ2ZQP        59     039 IT9DGG        59     349
QSO: 14190 PH 2020-03-28 1721 IZ2ZQP        59     040 LZ1QN         59     177
QSO: 14191 PH 2020-03-28 1724 IZ2ZQP        59     041 IZ8XXE        59     223
QSO: 14195 PH 2020-03-28 1726 IZ2ZQP        59     042 UT7CR         59    1328
QSO: 14207 PH 2020-03-28 1729 IZ2ZQP        59     043 RZ3Z          59     893
QSO: 14114 PH 2020-03-28 1912 IZ2ZQP        59     044 XM3T          59    1733
QSO: 14150 PH 2020-03-28 1920 IZ2ZQP        59     045 WE9V          59     321
QSO: 14154 PH 2020-03-28 1925 IZ2ZQP        59     046 K4D           59    1357
QSO:  7111 PH 2020-03-28 1933 IZ2ZQP        59     047 LY5R          59    1002
QSO:  7114 PH 2020-03-28 1937 IZ2ZQP        59     048 LZ7X          59     555
QSO:  7122 PH 2020-03-28 1940 IZ2ZQP        59     049 GM5X          59     328
QSO:  7128 PH 2020-03-28 1942 IZ2ZQP        59     050 EW1I          59     320
QSO:  7128 PH 2020-03-28 1945 IZ2ZQP        59     051 LY9A          59     901
QSO:  7131 PH 2020-03-28 1947 IZ2ZQP        59     052 SQ8LUU        59     421
QSO:  7064 PH 2020-03-29 0843 IZ2ZQP        59     053 OM0R          59    1436
QSO:  7073 PH 2020-03-29 0846 IZ2ZQP        59     054 PA40WM        59     666
QSO:  7080 PH 2020-03-29 0848 IZ2ZQP        59     055 ON6NL         59     912
QSO:  7084 PH 2020-03-29 0850 IZ2ZQP        59     056 SQ3M          59     600
QSO:  7091 PH 2020-03-29 0852 IZ2ZQP        59     057 PA0AA         59    1179
QSO:  7098 PH 2020-03-29 0857 IZ2ZQP        59     058 EA3GYT        59     258
QSO:  7117 PH 2020-03-29 0907 IZ2ZQP        59     059 F4HRU         59     486
QSO:  7122 PH 2020-03-29 0914 IZ2ZQP        59     060 PA4JJ         59     142
QSO:  7128 PH 2020-03-29 0918 IZ2ZQP        59     061 DJ9DZ         59     985
QSO:  7131 PH 2020-03-29 0919 IZ2ZQP        59     062 LY1FW         59    1657
QSO:  7141 PH 2020-03-29 0924 IZ2ZQP        59     063 F8NAN         59     609
QSO:  7145 PH 2020-03-29 0927 IZ2ZQP        59     064 OM3CW         59     252
QSO:  7148 PH 2020-03-29 0929 IZ2ZQP        59     065 EA5DFV        59    1715
QSO:  7194 PH 2020-03-29 0948 IZ2ZQP        59     066 OK2RZ         59    1114
QSO: 14113 PH 2020-03-29 0952 IZ2ZQP        59     067 EI3Z          59     528
QSO: 14114 PH 2020-03-29 0957 IZ2ZQP        59     068 RA1AL         59     852
QSO: 14126 PH 2020-03-29 1001 IZ2ZQP        59     069 OH1F          59    1201
QSO: 14128 PH 2020-03-29 1005 IZ2ZQP        59     070 LZ2JA         59     669
QSO: 14140 PH 2020-03-29 1011 IZ2ZQP        59     071 OH6K          59     965
QSO: 14142 PH 2020-03-29 1013 IZ2ZQP        59     072 R1CAM         59     628
QSO: 14147 PH 2020-03-29 1020 IZ2ZQP        59     073 UY3U          59    1069
QSO: 14149 PH 2020-03-29 1023 IZ2ZQP        59     074 OH1TM         59     697
QSO: 14158 PH 2020-03-29 1027 IZ2ZQP        59     075 YL10CWO       59    1547
QSO: 14195 PH 2020-03-29 1038 IZ2ZQP        59     076 R6DG          59     720
QSO: 14202 PH 2020-03-29 1049 IZ2ZQP        59     077 RM2D          59     188
QSO: 14206 PH 2020-03-29 1051 IZ2ZQP        59     078 EE7P          59    1337
QSO: 14215 PH 2020-03-29 1109 IZ2ZQP        59     079 UW1M          59    2947
QSO: 14213 PH 2020-03-29 1456 IZ2ZQP        59     080 FX6FR         59    1989
QSO: 14127 PH 2020-03-29 1506 IZ2ZQP        59     081 EB1A          59    2247
QSO: 14156 PH 2020-03-29 1515 IZ2ZQP        59     082 UA5C          59    1544
QSO: 14163 PH 2020-03-29 1521 IZ2ZQP        59     083 LZ3FN         59    1222
QSO: 14172 PH 2020-03-29 1538 IZ2ZQP        59     084 RC5Z          59     319
QSO: 14179 PH 2020-03-29 1539 IZ2ZQP        59     085 YP0C          59    2258
QSO: 14226 PH 2020-03-29 1547 IZ2ZQP        59     086 EM2G          59    1944
QSO: 14242 PH 2020-03-29 1550 IZ2ZQP        59     087 OH7KBF        59     105
QSO: 14263 PH 2020-03-29 1554 IZ2ZQP        59     088 KW7Y          59    2817
QSO: 14291 PH 2020-03-29 1605 IZ2ZQP        59     089 UB7K          59    4685
QSO: 14311 PH 2020-03-29 1607 IZ2ZQP        59     090 UT3RN         59     539
QSO: 21160 PH 2020-03-29 1620 IZ2ZQP        59     091 CN8YE         59     385
QSO: 21174 PH 2020-03-29 1621 IZ2ZQP        59     092 RM4HZ         59    1530
QSO: 21220 PH 2020-03-29 1622 IZ2ZQP        59     093 EA1R          59     583
QSO: 21249 PH 2020-03-29 1627 IZ2ZQP        59     094 EC5W          59    3014
QSO: 21340 PH 2020-03-29 1633 IZ2ZQP        59     095 F2CT          59     940
QSO: 21344 PH 2020-03-29 1640 IZ2ZQP        59     096 IR9Z          59    1241
QSO: 21379 PH 2020-03-29 1643 IZ2ZQP        59     097 CT3HF         59     893
QSO: 21402 PH 2020-03-29 1646 IZ2ZQP        59     098 EA1X          59    1053
QSO: 21410 PH 2020-03-29 1659 IZ2ZQP        59     099 EA5EOR        59     364
QSO: 21445 PH 2020-03-29 1704 IZ2ZQP        59     100 UA5YN         59     484
QSO: 21359 PH 2020-03-29 1713 IZ2ZQP        59     101 EA3EVL        59     325
QSO: 21330 PH 2020-03-29 1717 IZ2ZQP        59     102 PY4BZ         59    2521
QSO: 14102 PH 2020-03-29 1728 IZ2ZQP        59     103 EA1AOQ        59     872
END-OF-LOG:
