START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: SP7SZC
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 0
NAME: MARCIN JELINSKI
CREATED-BY: Cabrillo_gen v.2.2.0 - (c) SP7DQR
SOAPBOX: TRX: XIEGU G90 PWR ABT 4.4W  ANT: RANDOMWIRE ABT 27M
QSO: 14000 PH 2020-03-28 0946 SP7SZC    59     001  D1DX        59       156
QSO: 14000 PH 2020-03-28 1148 SP7SZC    59     002  TM29X       59       191
QSO: 14000 PH 2020-03-28 1208 SP7SZC    59     003  SV9FBG      59       884
QSO: 14000 PH 2020-03-29 1203 SP7SZC    59     004  IT9XTP      59      1117
QSO:  7000 PH 2020-03-29 1205 SP7SZC    59     005  LY5R        59      1302
QSO:  7000 PH 2020-03-29 1206 SP7SZC    59     006  YL3CW       59       872
QSO:  7000 PH 2020-03-29 1210 SP7SZC    59     007  DK2OY       59      1079
QSO:  7000 PH 2020-03-29 1212 SP7SZC    59     008  DM30RSV     59       424
QSO:  7000 PH 2020-03-29 1214 SP7SZC    59     009  SN7Q        59      2257
QSO:  7000 PH 2020-03-29 1218 SP7SZC    59     010  DJ0IF       59       369
QSO:  7000 PH 2020-03-29 1233 SP7SZC    59     011  LZ9W        59      3071
QSO:  7000 PH 2020-03-29 1239 SP7SZC    59     012  YO7LGI      59       237
QSO:  7000 PH 2020-03-29 1244 SP7SZC    59     013  3Z90PZK     59       270
QSO:  7000 PH 2020-03-29 1250 SP7SZC    59     014  DL4RCE      59       599
QSO:  7000 PH 2020-03-29 1252 SP7SZC    59     015  YL2BJ       59      1140
QSO:  7000 PH 2020-03-29 1318 SP7SZC    59     016  GM5SX       59      1084
QSO: 21000 PH 2020-03-29 1332 SP7SZC    59     017  P3X         59      2345
END-OF-LOG:
