START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: OR5T
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 603351
NAME: Xavier GODDAER
OPERATORS: OR5T
CLUB: THRACIAN ROSE CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: I had a lot of fun... good runs on 80m
QSO:  7180 PH 2020-03-28 1136 OR5T          59  0070   ES6RW         59  0252
QSO:  7180 PH 2020-03-28 1239 OR5T          59  0071   DQ5M          59  0082
QSO:  7180 PH 2020-03-28 1239 OR5T          59  0072   SP3DFB        59  0078
QSO:  7180 PH 2020-03-28 1240 OR5T          59  0073   F4FHV         59  0180
QSO:  7180 PH 2020-03-28 1240 OR5T          59  0074   OZ3ANT        59  0053
QSO:  7180 PH 2020-03-28 1240 OR5T          59  0075   OZ6AGX        59  0070
QSO:  7180 PH 2020-03-28 1241 OR5T          59  0076   S57YK         59  0036
QSO:  7180 PH 2020-03-28 1241 OR5T          59  0077   DK2LO         59  0121
QSO:  7180 PH 2020-03-28 1241 OR5T          59  0078   G0VLF         59  0147
QSO:  7180 PH 2020-03-28 1242 OR5T          59  0079   DH1AKY        59  0070
QSO:  7180 PH 2020-03-28 1242 OR5T          59  0080   ES2IA         59  0026
QSO:  7180 PH 2020-03-28 1242 OR5T          59  0081   LB0OG         59  0093
QSO:  7180 PH 2020-03-28 1244 OR5T          59  0082   MM3AWD        59  0457
QSO:  7180 PH 2020-03-28 1245 OR5T          59  0083   DL9HB         59  0041
QSO:  7180 PH 2020-03-28 1246 OR5T          59  0084   EA3ARP        59  0049
QSO:  7180 PH 2020-03-28 1248 OR5T          59  0085   OK5Y          59  0078
QSO:  7180 PH 2020-03-28 1248 OR5T          59  0086   GD0VIK        59  0003
QSO:  7180 PH 2020-03-28 1248 OR5T          59  0087   LA3BPA        59  0181
QSO:  7180 PH 2020-03-28 1249 OR5T          59  0088   OK1CJT        59  0008
QSO:  7180 PH 2020-03-28 1249 OR5T          59  0089   IZ2DII        59  0052
QSO:  7180 PH 2020-03-28 1250 OR5T          59  0090   OZ9V          59  0052
QSO:  7180 PH 2020-03-28 1250 OR5T          59  0091   ES7A          59  1047
QSO:  7180 PH 2020-03-28 1251 OR5T          59  0092   GM1KHU        59  0001
QSO:  7180 PH 2020-03-28 1252 OR5T          59  0093   IK2MMM        59  0041
QSO:  7180 PH 2020-03-28 1252 OR5T          59  0094   IK4RVG        59  0109
QSO:  7180 PH 2020-03-28 1252 OR5T          59  0095   LY9Y          59  0695
QSO:  7180 PH 2020-03-28 1253 OR5T          59  0096   IN3HKZ        59  0006
QSO:  7180 PH 2020-03-28 1255 OR5T          59  0097   IW3GCR        59  0110
QSO:  7180 PH 2020-03-28 1255 OR5T          59  0098   MI0CBH        59  0007
QSO:  7180 PH 2020-03-28 1255 OR5T          59  0099   F4HSK         59  0094
QSO:  7180 PH 2020-03-28 1255 OR5T          59  0100   DL1WA         59  0406
QSO:  7180 PH 2020-03-28 1256 OR5T          59  0101   TM1D          59  0170
QSO:  7180 PH 2020-03-28 1257 OR5T          59  0102   OE7DXT        59  0003
QSO:  7180 PH 2020-03-28 1258 OR5T          59  0103   IU3ISK        59  0033
QSO:  7180 PH 2020-03-28 1259 OR5T          59  0104   IV3COC        59  0008
QSO:  7180 PH 2020-03-28 1259 OR5T          59  0105   SE4E          59  0399
QSO:  7180 PH 2020-03-28 1302 OR5T          59  0106   YU2BPA        59  0075
QSO:  7180 PH 2020-03-28 1303 OR5T          59  0107   HB9GFT        59  0027
QSO:  7180 PH 2020-03-28 1303 OR5T          59  0108   S57NL         59  0051
QSO:  7180 PH 2020-03-28 1304 OR5T          59  0109   S57ZT         59  0156
QSO:  7180 PH 2020-03-28 1306 OR5T          59  0110   2E0PLA        59  0039
QSO:  7180 PH 2020-03-28 1307 OR5T          59  0111   IK4QJF        59  0033
QSO:  7180 PH 2020-03-28 1307 OR5T          59  0112   OK1BLU        59  0023
QSO:  7180 PH 2020-03-28 1307 OR5T          59  0113   ES6PA         59  0050
QSO:  7180 PH 2020-03-28 1308 OR5T          59  0114   CS7AQP        59  0001
QSO:  7180 PH 2020-03-28 1309 OR5T          59  0115   SN3N          59  0028
QSO:  7180 PH 2020-03-28 1310 OR5T          59  0116   F1IHR         59  0020
QSO:  7180 PH 2020-03-28 1311 OR5T          59  0117   IU1MQR        59  0051
QSO:  7180 PH 2020-03-28 1312 OR5T          59  0118   HG6L          59  0230
QSO:  7180 PH 2020-03-28 1312 OR5T          59  0119   F1IKA         59  0056
QSO:  7180 PH 2020-03-28 1312 OR5T          59  0120   9A3SMS        59  0180
QSO:  7180 PH 2020-03-28 1313 OR5T          59  0121   S56AX         59  0066
QSO:  7180 PH 2020-03-28 1313 OR5T          59  0122   IB5B          59  0119
QSO:  7180 PH 2020-03-28 1315 OR5T          59  0123   OK2MBP        59  0354
QSO:  7180 PH 2020-03-28 1315 OR5T          59  0124   F4FVA         59  0168
QSO:  7180 PH 2020-03-28 1317 OR5T          59  0125   IQ1LA         59  0118
QSO:  7180 PH 2020-03-28 1317 OR5T          59  0126   IR6T          59  0504
QSO:  7180 PH 2020-03-28 1318 OR5T          59  0127   MI6KAK        59  0001
QSO:  7180 PH 2020-03-28 1319 OR5T          59  0128   DL3RAR        59  0192
QSO:  7180 PH 2020-03-28 1319 OR5T          59  0129   9A6ZZ         59  0019
QSO:  7180 PH 2020-03-28 1319 OR5T          59  0130   SP9DTE        59  0504
QSO:  7180 PH 2020-03-28 1320 OR5T          59  0131   EA3IAZ        59  0128
QSO:  7180 PH 2020-03-28 1320 OR5T          59  0132   GM4DX         59  0009
QSO:  7180 PH 2020-03-28 1320 OR5T          59  0133   S55X          59  0480
QSO:  7180 PH 2020-03-28 1321 OR5T          59  0134   OH6UX         59  0153
QSO:  7180 PH 2020-03-28 1321 OR5T          59  0135   S51D          59  0008
QSO:  7180 PH 2020-03-28 1323 OR5T          59  0136   GM0OPS        59  0196
QSO:  7180 PH 2020-03-28 1324 OR5T          59  0137   HB9OAU        59  0194
QSO:  7180 PH 2020-03-28 1324 OR5T          59  0138   OK1FCJ        59  0014
QSO:  7180 PH 2020-03-28 1325 OR5T          59  0139   IU3KPJ        59  0039
QSO:  7180 PH 2020-03-28 1325 OR5T          59  0140   DL6JZ         59  0048
QSO:  7180 PH 2020-03-28 1325 OR5T          59  0141   ES8SX         59  0052
QSO:  7180 PH 2020-03-28 1326 OR5T          59  0142   OM2AGN        59  0030
QSO:  7180 PH 2020-03-28 1327 OR5T          59  0143   DD2ML         59  0680
QSO:  7180 PH 2020-03-28 1328 OR5T          59  0144   IU3GLW        59  0034
QSO:  7180 PH 2020-03-28 1329 OR5T          59  0145   IW5LBQ        59  0082
QSO:  7180 PH 2020-03-28 1329 OR5T          59  0146   LB5GI         59  0048
QSO:  7180 PH 2020-03-28 1330 OR5T          59  0147   OZ4MU         59  0162
QSO:  7180 PH 2020-03-28 1334 OR5T          59  0148   I2WIJ         59  0001
QSO:  7180 PH 2020-03-28 1336 OR5T          59  0149   IB4X          59  0377
QSO: 14300 PH 2020-03-28 1420 OR5T          59  0150   7Z1IS         59  0489
QSO: 14290 PH 2020-03-28 1421 OR5T          59  0151   LZ7X          59  0355
QSO: 14282 PH 2020-03-28 1424 OR5T          59  0152   F4GGQ         59  0468
QSO: 14234 PH 2020-03-28 1425 OR5T          59  0153   9K9A          59  0987
QSO: 14198 PH 2020-03-28 1429 OR5T          59  0154   A41NN         59  0842
QSO: 14218 PH 2020-03-28 1431 OR5T          59  0155   A61QQ         59  0796
QSO: 14182 PH 2020-03-28 1446 OR5T          59  0156   4O4T          59  0360
QSO: 14184 PH 2020-03-28 1447 OR5T          59  0157   F5PHY         59  0080
QSO: 14184 PH 2020-03-28 1448 OR5T          59  0158   EM2G          59  0682
QSO: 14184 PH 2020-03-28 1449 OR5T          59  0159   UR4MS         59  0045
QSO: 14184 PH 2020-03-28 1454 OR5T          59  0160   UA3YCZ        59  0108
QSO: 14184 PH 2020-03-28 1454 OR5T          59  0161   R7RV          59  0007
QSO: 14184 PH 2020-03-28 1455 OR5T          59  0162   HZ7C          59  0788
QSO: 28511 PH 2020-03-28 1457 OR5T          59  0163   EB7A          59  0220
QSO: 28503 PH 2020-03-28 1458 OR5T          59  0164   EC1DD         59  0266
QSO: 28491 PH 2020-03-28 1459 OR5T          59  0165   EE7K          59  0251
QSO: 28458 PH 2020-03-28 1500 OR5T          59  0166   EA3AQ         59  0357
QSO: 21302 PH 2020-03-28 1502 OR5T          59  0167   IZ8XXE        59  0091
QSO: 21343 PH 2020-03-28 1505 OR5T          59  0168   F4CWN         59  0081
QSO: 21346 PH 2020-03-28 1518 OR5T          59  0169   PY5QW         59  0386
QSO: 21358 PH 2020-03-28 1520 OR5T          59  0170   EF2O          59  0211
QSO: 21360 PH 2020-03-28 1520 OR5T          59  0171   CT3HF         59  0082
QSO: 21363 PH 2020-03-28 1521 OR5T          59  0172   CT7APD        59  0127
QSO: 21363 PH 2020-03-28 1523 OR5T          59  0173   IZ7KHR        59  0094
QSO: 21363 PH 2020-03-28 1524 OR5T          59  0174   EC4T          59  0171
QSO: 21363 PH 2020-03-28 1524 OR5T          59  0175   ED3ST         59  0050
QSO: 21363 PH 2020-03-28 1525 OR5T          59  0176   EA5EOR        59  0210
QSO: 21363 PH 2020-03-28 1525 OR5T          59  0177   EA1O          59  0102
QSO: 21298 PH 2020-03-28 1529 OR5T          59  0178   LT3H          59  0150
QSO: 21280 PH 2020-03-28 1532 OR5T          59  0179   EC5APA        59  0099
QSO: 28442 PH 2020-03-28 1536 OR5T          59  0180   CR6K          59  1602
QSO: 28435 PH 2020-03-28 1536 OR5T          59  0181   IW0HBY        59  0138
QSO: 28424 PH 2020-03-28 1539 OR5T          59  0182   EF7D          59  0254
QSO: 28424 PH 2020-03-28 1539 OR5T          59  0183   EA7K          59  0218
QSO: 28424 PH 2020-03-28 1540 OR5T          59  0184   EA4TA         59  0074
QSO: 28424 PH 2020-03-28 1541 OR5T          59  0185   IT9FRX        59  0913
QSO: 14102 PH 2020-03-28 1548 OR5T          59  0186   VE3EJ         59  1498
QSO: 14107 PH 2020-03-28 1548 OR5T          59  0187   VY2TT         59  1363
QSO: 14109 PH 2020-03-28 1549 OR5T          59  0188   EI3Z          59  0349
QSO: 14114 PH 2020-03-28 1550 OR5T          59  0189   R195AM        59  0354
QSO: 14115 PH 2020-03-28 1550 OR5T          59  0190   VC2A          59  1147
QSO: 14118 PH 2020-03-28 1551 OR5T          59  0191   UR7HCX        59  0120
QSO: 14120 PH 2020-03-28 1551 OR5T          59  0192   F4EQA         59  0253
QSO: 14122 PH 2020-03-28 1552 OR5T          59  0193   VY0AA         59  0483
QSO: 14123 PH 2020-03-28 1553 OR5T          59  0194   VE9CB         59  1073
QSO: 14131 PH 2020-03-28 1555 OR5T          59  0195   VE2GSO        59  0127
QSO: 14132 PH 2020-03-28 1557 OR5T          59  0196   VA3MPG        59  0068
QSO: 14143 PH 2020-03-28 1559 OR5T          59  0197   VA3SK         59  0517
QSO: 14147 PH 2020-03-28 1600 OR5T          59  0198   XM3T          59  1366
QSO: 14153 PH 2020-03-28 1602 OR5T          59  0199   WW2DX         59  0961
QSO: 14167 PH 2020-03-28 1604 OR5T          59  0200   YO6GUU        59  0249
QSO: 14172 PH 2020-03-29 1306 OR5T          59  0201   KD4D          59  2425
QSO: 14170 PH 2020-03-29 1308 OR5T          59  0202   WU3A          59  2184
QSO: 14174 PH 2020-03-29 1309 OR5T          59  0203   VB2Z          59  1391
QSO: 14177 PH 2020-03-29 1311 OR5T          59  0204   NF4A          59  0959
QSO: 14177 PH 2020-03-29 1313 OR5T          59  0205   VE2PIB        59  0315
QSO: 14177 PH 2020-03-29 1314 OR5T          59  0206   AA1W          59  0265
QSO: 14177 PH 2020-03-29 1315 OR5T          59  0207   W1OW          59  0037
QSO: 14177 PH 2020-03-29 1315 OR5T          59  0208   ED1R          59  1899
QSO: 14177 PH 2020-03-29 1316 OR5T          59  0209   WA3C          59  0665
QSO: 14177 PH 2020-03-29 1316 OR5T          59  0210   OT5K          59  1036
QSO: 14177 PH 2020-03-29 1316 OR5T          59  0211   EB1LA         59  0097
QSO: 14177 PH 2020-03-29 1318 OR5T          59  0212   W8MJ          59  2149
QSO: 14221 PH 2020-03-29 1322 OR5T          59  0213   NN3W          59  1801
QSO: 14303 PH 2020-03-29 1323 OR5T          59  0214   NA4RR         59  1577
QSO: 14290 PH 2020-03-29 1326 OR5T          59  0215   D1DX          59  0464
QSO: 14307 PH 2020-03-29 1327 OR5T          59  0216   UD4F          59  2487
QSO: 14313 PH 2020-03-29 1328 OR5T          59  0217   R5AJ          59  0971
QSO: 14324 PH 2020-03-29 1330 OR5T          59  0218   VA2AGW        59  0245
QSO: 14327 PH 2020-03-29 1331 OR5T          59  0219   UB7K          59  4318
QSO: 14337 PH 2020-03-29 1332 OR5T          59  0220   NU5A          59  3243
QSO: 14343 PH 2020-03-29 1334 OR5T          59  0221   WB2ZAB        59  1351
QSO: 14345 PH 2020-03-29 1334 OR5T          59  0222   NV9L          59  2605
QSO: 14335 PH 2020-03-29 1338 OR5T          59  0223   KA3GIK        59  1159
QSO: 14335 PH 2020-03-29 1338 OR5T          59  0224   N4RV          59  1574
QSO: 14335 PH 2020-03-29 1339 OR5T          59  0225   W3FOX         59  0645
QSO: 14335 PH 2020-03-29 1341 OR5T          59  0226   KJ4QHL        59  1150
QSO: 14335 PH 2020-03-29 1341 OR5T          59  0227   VA2CZ         59  1048
QSO: 14335 PH 2020-03-29 1343 OR5T          59  0228   AB3CX         59  1751
QSO: 14335 PH 2020-03-29 1347 OR5T          59  0229   KB1EFS        59  0943
QSO: 21323 PH 2020-03-29 1410 OR5T          59  0230   PV2P          59  2101
QSO: 21306 PH 2020-03-29 1413 OR5T          59  0231   PY4EK         59  0171
