START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: VK6WX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: OF78
CLAIMED-SCORE: 51253
NAME: Wesley Beck
OPERATORS: VK6WX
CLUB: VK CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: Only a part-time effort. Had family stuff to do.
SOAPBOX: Operated remote station of VK6ANC.
SOAPBOX: Good to work SA, and LP into VE/USA on 40m.
SOAPBOX: Made no QSOs late on Sunday - I wasn't heard.
SOAPBOX: Hope to be on the air again for WPX 2021.
QSO: 14230 PH 2020-03-28 0116 VK6WX         59  0001   DU7P          59  0095
QSO: 14215 PH 2020-03-28 0122 VK6WX         59  0002   DS3EXX        59  0100
QSO: 14212 PH 2020-03-28 0123 VK6WX         59  0003   YB4FIK        59  0029
QSO: 14202 PH 2020-03-28 0126 VK6WX         59  0004   VR2XAN        59  0123
QSO: 14195 PH 2020-03-28 0128 VK6WX         59  0005   YB3EDD        59  0026
QSO: 14174 PH 2020-03-28 0235 VK6WX         59  0006   7C1B          59  0039
QSO: 14196 PH 2020-03-28 0238 VK6WX         59  0007   W7WA          59  0443
QSO: 14205 PH 2020-03-28 0239 VK6WX         59  0008   YB2DX         59  0102
QSO: 14218 PH 2020-03-28 0242 VK6WX         59  0009   E2A           59  0183
QSO: 14177 PH 2020-03-28 0247 VK6WX         59  0010   YB1AR         59  0113
QSO: 14192 PH 2020-03-28 0250 VK6WX         59  0011   VK4NM         59  0276
QSO: 14195 PH 2020-03-28 0252 VK6WX         59  0012   JE4USZ        59  0067
QSO: 14197 PH 2020-03-28 0253 VK6WX         59  0013   VK2PR         59  0130
QSO: 14200 PH 2020-03-28 0405 VK6WX         59  0014   UR2Y          59  0103
QSO: 14222 PH 2020-03-28 0408 VK6WX         59  0015   S50S          59  0004
QSO: 14259 PH 2020-03-28 0415 VK6WX         59  0016   YT3X          59  0019
QSO: 14273 PH 2020-03-28 0417 VK6WX         59  0017   JO3JIS        59  0415
QSO: 14130 PH 2020-03-28 0422 VK6WX         59  0018   9M2SAF        59  0195
QSO: 14135 PH 2020-03-28 0601 VK6WX         59  0019   YC7YGR        59  0041
QSO: 14150 PH 2020-03-28 0606 VK6WX         59  0020   YC1APR        59  0032
QSO: 14167 PH 2020-03-28 0615 VK6WX         59  0021   HS0ZED        59  0233
QSO: 14172 PH 2020-03-28 0618 VK6WX         59  0022   IR4E          59  0051
QSO: 14175 PH 2020-03-28 0621 VK6WX         59  0023   UF4S          59  0249
QSO: 14179 PH 2020-03-28 0623 VK6WX         59  0024   YL2SM         59  0063
QSO: 14216 PH 2020-03-28 0754 VK6WX         59  0025   UW2M          59  0972
QSO: 14160 PH 2020-03-28 0811 VK6WX         59  0026   IT9STX        59  0107
QSO: 14164 PH 2020-03-28 0817 VK6WX         59  0027   RL3A          59  1361
QSO:  7214 PH 2020-03-28 0848 VK6WX         59  0028   V31MA         59  0046
QSO:  7149 PH 2020-03-28 0850 VK6WX         59  0029   KW7Y          59  0762
QSO:  7177 PH 2020-03-28 0856 VK6WX         59  0030   VK4HH         59  0395
QSO:  7133 PH 2020-03-28 1007 VK6WX         59  0031   W1XX          59  0058
QSO:  7127 PH 2020-03-28 1009 VK6WX         59  0032   ZM1A          59  0679
QSO:  7146 PH 2020-03-28 1034 VK6WX         59  0033   WC6H          59  1133
QSO:  7203 PH 2020-03-28 1114 VK6WX         59  0034   KP3DX         59  1229
QSO:  7142 PH 2020-03-28 1120 VK6WX         59  0035   XM3T          59  0783
QSO:  7131 PH 2020-03-28 1127 VK6WX         59  0036   JI2ZEY        59  0358
QSO:  7200 PH 2020-03-28 1133 VK6WX         59  0037   YD8CPZ        59  0144
QSO:  7150 PH 2020-03-28 1137 VK6WX         59  0038   WB2ZAB        59  0397
QSO:  7103 PH 2020-03-28 1259 VK6WX         59  0039   BW2/JP1RIW    59  0455
QSO:  7184 PH 2020-03-28 1302 VK6WX         59  0040   VE5MX         59  0979
QSO:  7171 PH 2020-03-28 1306 VK6WX         59  0041   VE4GV         59  0714
QSO:  7145 PH 2020-03-28 1308 VK6WX         59  0042   UP4L          59  0682
QSO:  7147 PH 2020-03-28 1311 VK6WX         59  0043   RM8A          59  0873
QSO:  7237 PH 2020-03-28 1321 VK6WX         59  0044   W7CXX         59  0514
QSO:  7193 PH 2020-03-28 1333 VK6WX         59  0045   AA5B          59  0231
QSO:  7176 PH 2020-03-28 1338 VK6WX         59  0046   R8TT          59  0345
QSO:  7195 PH 2020-03-28 2014 VK6WX         59  0047   OE3K          59  2044
QSO:  7179 PH 2020-03-28 2021 VK6WX         59  0048   CR6T          59  1694
QSO:  7157 PH 2020-03-28 2033 VK6WX         59  0049   LZ5R          59  1984
QSO:  7151 PH 2020-03-28 2037 VK6WX         59  0050   I5MXX         59  1016
QSO:  7140 PH 2020-03-28 2044 VK6WX         59  0051   OM4MM         59  1366
QSO:  7134 PH 2020-03-28 2050 VK6WX         59  0052   US1Q          59  1740
QSO:  7121 PH 2020-03-28 2053 VK6WX         59  0053   S53MM         59  1747
QSO:  7122 PH 2020-03-28 2057 VK6WX         59  0054   GM5X          59  0534
QSO:  7118 PH 2020-03-28 2059 VK6WX         59  0055   UB7K          59  2956
QSO:  7083 PH 2020-03-28 2112 VK6WX         59  0056   HG7T          59  1248
QSO:  7185 PH 2020-03-28 2125 VK6WX         59  0057   TK4LS         59  0606
QSO:  7165 PH 2020-03-28 2129 VK6WX         59  0058   LX1ER         59  0446
QSO:  7111 PH 2020-03-28 2137 VK6WX         59  0059   VY2TT         59  1962
QSO:  7147 PH 2020-03-28 2148 VK6WX         59  0060   TM8A          59  1315
QSO:  7184 PH 2020-03-28 2201 VK6WX         59  0061   WR1ST         59  1461
QSO:  7177 PH 2020-03-28 2205 VK6WX         59  0062   N3QE          59  1257
QSO:  7096 PH 2020-03-28 2240 VK6WX         59  0063   VE3EJ         59  2128
QSO: 14168 PH 2020-03-29 0208 VK6WX         59  0064   NR7DX         59  1356
QSO: 14227 PH 2020-03-29 0213 VK6WX         59  0065   VK2CZ         59  0219
QSO: 21202 PH 2020-03-29 0220 VK6WX         59  0066   JF3BFS        59  0190
QSO: 21220 PH 2020-03-29 0222 VK6WX         59  0067   DX9DRC        59  0123
QSO: 21285 PH 2020-03-29 0520 VK6WX         59  0068   VK9NK         59  0246
QSO: 21251 PH 2020-03-29 0526 VK6WX         59  0069   II9P          59  0773
QSO: 21278 PH 2020-03-29 0534 VK6WX         59  0070   JF2FIU        59  0188
QSO: 14145 PH 2020-03-29 0549 VK6WX         59  0071   UP7L          59  0631
QSO: 14218 PH 2020-03-29 0554 VK6WX         59  0072   RU3A          59  2266
QSO: 14244 PH 2020-03-29 0558 VK6WX         59  0073   RD4F          59  0023
QSO: 14268 PH 2020-03-29 0601 VK6WX         59  0074   LY2SM         59  1147
QSO: 14178 PH 2020-03-29 0647 VK6WX         59  0075   ES5TV         59  3116
QSO: 14190 PH 2020-03-29 0649 VK6WX         59  0076   YB8OBM        59  0124
QSO: 21202 PH 2020-03-29 0708 VK6WX         59  0077   UI4I          59  0043
QSO: 21216 PH 2020-03-29 0710 VK6WX         59  0078   DX1MK         59  0331
QSO: 21237 PH 2020-03-29 0714 VK6WX         59  0079   4D3X          59  0903
QSO: 21266 PH 2020-03-29 0717 VK6WX         59  0080   4I1EBC        59  0333
QSO: 21283 PH 2020-03-29 0722 VK6WX         59  0081   BD4TUC        59  0142
QSO: 21287 PH 2020-03-29 0724 VK6WX         59  0082   JO3DDD        59  0261
QSO:  7172 PH 2020-03-29 0846 VK6WX         59  0083   NR6O          59  1372
QSO:  7171 PH 2020-03-29 0848 VK6WX         59  0084   4A7T          59  0525
QSO:  7205 PH 2020-03-29 0854 VK6WX         59  0085   K2CNN         59  0254
QSO:  7195 PH 2020-03-29 0856 VK6WX         59  0086   KL7RA         59  1089
QSO:  7184 PH 2020-03-29 0859 VK6WX         59  0087   WA6KHK        59  0763
QSO:  7179 PH 2020-03-29 0901 VK6WX         59  0088   S51YI         59  2208
QSO:  7175 PH 2020-03-29 0904 VK6WX         59  0089   HI8RD         59  1786
QSO:  7160 PH 2020-03-29 0910 VK6WX         59  0090   N5DX          59  2002
QSO:  7158 PH 2020-03-29 0913 VK6WX         59  0091   WQ5OO         59  2605
QSO:  7152 PH 2020-03-29 0918 VK6WX         59  0092   W6YX          59  0160
QSO:  7142 PH 2020-03-29 0921 VK6WX         59  0093   KX7M          59  1823
QSO:  7137 PH 2020-03-29 0923 VK6WX         59  0094   PR7AB         59  0405
QSO:  7129 PH 2020-03-29 0925 VK6WX         59  0095   YC9VIZ        59  0176
QSO:  7171 PH 2020-03-29 0951 VK6WX         59  0096   KT5J          59  3737
QSO:  7154 PH 2020-03-29 0956 VK6WX         59  0097   JR2GRX        59  1431
QSO:  7150 PH 2020-03-29 0958 VK6WX         59  0098   YB2CPO        59  0252
QSO:  7183 PH 2020-03-29 1007 VK6WX         59  0099   NP2P          59  2259
QSO:  7209 PH 2020-03-29 1009 VK6WX         59  0100   NS4T          59  0224
QSO:  7197 PH 2020-03-29 1028 VK6WX         59  0101   WZ4F          59  1698
QSO:  7167 PH 2020-03-29 1035 VK6WX         59  0102   KK6ZM         59  0444
QSO:  7144 PH 2020-03-29 1048 VK6WX         59  0103   ND7K          59  1359
QSO:  7125 PH 2020-03-29 1050 VK6WX         59  0104   JA8COE        59  0866
QSO:  7098 PH 2020-03-29 1052 VK6WX         59  0105   9M4CKT        59  0381
QSO:  7193 PH 2020-03-29 1054 VK6WX         59  0106   XV1X          59  0245
QSO:  7189 PH 2020-03-29 1245 VK6WX         59  0107   HS5NMF        59  0639
QSO:  7185 PH 2020-03-29 1249 VK6WX         59  0108   JA7NVF        59  1213
QSO:  7183 PH 2020-03-29 1309 VK6WX         59  0109   WW7E          59  1387
QSO:  7145 PH 2020-03-29 1314 VK6WX         59  0110   N0AT          59  0437
QSO:  7135 PH 2020-03-29 1317 VK6WX         59  0111   N2BJ          59  0848
QSO:  7128 PH 2020-03-29 1328 VK6WX         59  0112   WI0WA         59  2368
END-OF-LOG:
