START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ0DXD
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN63FD
CLAIMED-SCORE: 7935
NAME: SERGIO ALUNNI SANTONI
OPERATORS: IZ0DXD
CLUB: ITALIAN CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: first time in qrp ft-817nd only 5 watt good experience!!
QSO: 21200 PH 2020-03-29 0957 IZ0DXD        59  0001   7Z1IS         59  0957
QSO: 14114 PH 2020-03-29 1001 IZ0DXD        59  0002   RA1AL         59  0863
QSO: 14156 PH 2020-03-29 1003 IZ0DXD        59  0003   ES7A          59  2257
QSO: 14171 PH 2020-03-29 1005 IZ0DXD        59  0004   RM2U          59  1471
QSO: 14178 PH 2020-03-29 1006 IZ0DXD        59  0005   ES5TV         59  3514
QSO: 14213 PH 2020-03-29 1008 IZ0DXD        59  0006   YL2SM         59  1420
QSO: 14349 PH 2020-03-29 1010 IZ0DXD        59  0007   EM2G          59  1363
QSO: 14330 PH 2020-03-29 1010 IZ0DXD        59  0008   EV1R          59  1262
QSO: 14262 PH 2020-03-29 1012 IZ0DXD        59  0009   UW2M          59  3634
QSO: 14256 PH 2020-03-29 1015 IZ0DXD        59  0010   YL2BJ         59  1010
QSO: 14244 PH 2020-03-29 1016 IZ0DXD        59  0011   RU3A          59  2635
QSO: 14218 PH 2020-03-29 1023 IZ0DXD        59  0012   RL3A          59  5028
QSO: 14195 PH 2020-03-29 1027 IZ0DXD        59  0013   R6DG          59  0695
QSO: 14121 PH 2020-03-29 1031 IZ0DXD        59  0014   R9MM          59  1158
QSO: 14147 PH 2020-03-29 1035 IZ0DXD        59  0015   UY3U          59  1105
QSO: 14173 PH 2020-03-29 1037 IZ0DXD        59  0016   US2YW         59  1767
QSO: 14215 PH 2020-03-29 1041 IZ0DXD        59  0017   UW1M          59  2893
QSO: 14223 PH 2020-03-29 1043 IZ0DXD        59  0018   RX6AM         59  0089
QSO: 14233 PH 2020-03-29 1044 IZ0DXD        59  0019   ED1R          59  1619
QSO: 14259 PH 2020-03-29 1046 IZ0DXD        59  0020   OG66X         59  0935
QSO: 14287 PH 2020-03-29 1053 IZ0DXD        59  0021   EW6W          59  2783
QSO: 14293 PH 2020-03-29 1057 IZ0DXD        59  0022   OH1VR         59  0319
QSO: 14305 PH 2020-03-29 1100 IZ0DXD        59  0023   4L8A          59  1902
QSO: 14318 PH 2020-03-29 1100 IZ0DXD        59  0024   RW1F          59  2812
QSO: 14347 PH 2020-03-29 1105 IZ0DXD        59  0025   OG6N          59  1694
QSO:  7054 PH 2020-03-29 1106 IZ0DXD        59  0026   TM3Z          59  1477
QSO:  7200 PH 2020-03-29 1110 IZ0DXD        59  0027   LZ9W          59  3021
QSO:  7162 PH 2020-03-29 1112 IZ0DXD        59  0028   DQ100SL       59  0425
QSO:  7152 PH 2020-03-29 1113 IZ0DXD        59  0029   YT4X          59  0724
QSO:  7146 PH 2020-03-29 1115 IZ0DXD        59  0030   HB9DQL        59  0882
QSO:  7095 PH 2020-03-29 1117 IZ0DXD        59  0031   DJ9UN         59  0170
