START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: W3PAX
LOCATION: EPA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR:
CLAIMED-SCORE: 16704
NAME: ADAM ROYSTON
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: First time in the contest! I HAD A BLAST thanks for the DX!
X-QSO:14000 PH 2020-03-28 0006 W3PAX         59  1      KT5J          59  20     0
QSO:  7000 PH 2020-03-28 1000 W3PAX         59  2      NR6O          59  746    0
QSO:  7000 PH 2020-03-28 1005 W3PAX         59  4      K4ADR         59  16     0
QSO:  7000 PH 2020-03-28 1018 W3PAX         59  3      VK4QH         59  579    0
QSO:  7000 PH 2020-03-28 1024 W3PAX         59  5      VK4NM         59  665    0
QSO:  7000 PH 2020-03-28 1027 W3PAX         59  6      NP2P          59  660    0
QSO:  7000 PH 2020-03-28 1029 W3PAX         59  7      NU5A          59  1296   0
QSO:  7000 PH 2020-03-28 1031 W3PAX         59  8      KG5VK         59  221    0
QSO:  7000 PH 2020-03-28 1032 W3PAX         59  9      KC5DI         59  98     0
QSO: 14000 PH 2020-03-28 1112 W3PAX         59  10     HI8JSG        59  127    0
QSO: 14000 PH 2020-03-28 1114 W3PAX         59  11     OZ11A         59  518    0
QSO: 14000 PH 2020-03-28 1123 W3PAX         59  12     9Z4Y          59  43     0
QSO: 14000 PH 2020-03-28 1138 W3PAX         59  13     SN7Q          59  784    0
QSO: 14000 PH 2020-03-28 1140 W3PAX         59  14     LY4A          59  1726   0
QSO: 14000 PH 2020-03-28 1141 W3PAX         59  15     OH1F          59  444    0
QSO: 14000 PH 2020-03-28 1153 W3PAX         59  16     LN8W          59  475    0
QSO: 14000 PH 2020-03-28 1203 W3PAX         59  17     UZ0U          59  1      0
QSO: 14000 PH 2020-03-28 1209 W3PAX         59  18     FS4WBS        59  120    0
QSO: 14000 PH 2020-03-28 1211 W3PAX         59  19     R2AA          59  1110   0
QSO: 14000 PH 2020-03-28 1215 W3PAX         59  20     HC2AO         59  338    0
QSO: 14000 PH 2020-03-28 1230 W3PAX         59  21     NU5A          59  1486   0
QSO: 14000 PH 2020-03-28 1236 W3PAX         59  22     LX20I         59  471    0
QSO: 14000 PH 2020-03-28 1513 W3PAX         59  23     ES5TV         59  1843   0
QSO: 14000 PH 2020-03-28 1525 W3PAX         59  24     NO6T          59  1352   0
QSO: 14000 PH 2020-03-28 1529 W3PAX         59  25     NF4A          59  71     0
QSO: 14000 PH 2020-03-28 1534 W3PAX         59  26     AD5XD         59  789    0
QSO: 14000 PH 2020-03-28 1554 W3PAX         59  27     W9AV          59  275    0
QSO: 14000 PH 2020-03-28 1633 W3PAX         59  28     NR7DX         59  686    0
QSO: 14000 PH 2020-03-29 1346 W3PAX         59  29     EW6W          59  3121   0
QSO: 14000 PH 2020-03-29 1503 W3PAX         59  30     W7WA          59  2136   0
QSO: 14000 PH 2020-03-29 1507 W3PAX         59  31     KX7M          59  1967   0
QSO: 14000 PH 2020-03-29 1509 W3PAX         59  32     N6JS          59  1474   0
QSO: 21000 PH 2020-03-29 1534 W3PAX         59  33     K5RX          59  315    0
