START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: YO4SI
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: KN44HE
CLAIMED-SCORE: 43507
NAME: Mircea Rucareanu
OPERATORS: YO4SI
CLUB: CSM CRAIOVA
CREATED-BY: N1MM Logger+ 1.0.7182.0
SOAPBOX: RIG: KENWOOD TS-450SAT 100 W ANT: FD4 & LW 41m
QSO: 14000 PH 2020-03-28 1212 YO4SI         59  0001   PC3T          59  0414
QSO: 14000 PH 2020-03-28 1216 YO4SI         59  0002   9K9A          59  0806
QSO: 14000 PH 2020-03-28 1217 YO4SI         59  0003   RM8A          59  0834
QSO: 14000 PH 2020-03-28 1218 YO4SI         59  0004   OH2KW         59  0168
QSO: 14000 PH 2020-03-28 1222 YO4SI         59  0005   F4HZJ         59  0153
QSO: 14000 PH 2020-03-28 1223 YO4SI         59  0006   OZ11A         59  0566
QSO: 14000 PH 2020-03-28 1224 YO4SI         59  0007   ON4KCY        59  0301
QSO: 14000 PH 2020-03-28 1226 YO4SI         59  0008   T6A           59  0326
QSO: 14000 PH 2020-03-28 1228 YO4SI         59  0009   SV9FBG        59  0927
QSO: 14000 PH 2020-03-28 1238 YO4SI         59  0010   OG66X         59  0317
QSO: 14000 PH 2020-03-28 1257 YO4SI         59  0011   OP3A          59  0187
QSO: 14000 PH 2020-03-28 1300 YO4SI         59  0012   DA2C          59  0723
QSO: 14000 PH 2020-03-28 1304 YO4SI         59  0013   DL6FBL        59  1539
QSO: 14000 PH 2020-03-28 1309 YO4SI         59  0014   DR1X          59  0646
QSO: 14000 PH 2020-03-28 1310 YO4SI         59  0015   F4IVV         59  0287
QSO: 21000 PH 2020-03-28 1324 YO4SI         59  0016   A61QQ         59  0719
QSO: 21000 PH 2020-03-28 1337 YO4SI         59  0017   EE5H          59  0043
QSO: 14000 PH 2020-03-28 1342 YO4SI         59  0018   OG6N          59  0662
QSO: 14000 PH 2020-03-28 1348 YO4SI         59  0019   LA8HGA        59  0184
QSO: 14000 PH 2020-03-28 1351 YO4SI         59  0020   IK3UNA        59  0965
QSO: 14000 PH 2020-03-28 1356 YO4SI         59  0021   F4BKV         59  0423
QSO: 14000 PH 2020-03-28 1357 YO4SI         59  0022   OH1F          59  0621
QSO: 14000 PH 2020-03-28 1358 YO4SI         59  0023   OT2X          59  0021
QSO: 14000 PH 2020-03-28 1400 YO4SI         59  0024   YO4NF         59  0219
QSO: 14000 PH 2020-03-28 1406 YO4SI         59  0025   G4IIY         59  0237
QSO: 21000 PH 2020-03-28 1410 YO4SI         59  0026   A73A          59  0566
QSO: 21000 PH 2020-03-28 1715 YO4SI         59  0027   IR9Z          59  0638
QSO: 14000 PH 2020-03-28 1720 YO4SI         59  0028   IO9R          59  0680
QSO: 14000 PH 2020-03-28 1723 YO4SI         59  0029   OP2A          59  0606
QSO: 14000 PH 2020-03-28 1728 YO4SI         59  0030   G3M           59  0198
QSO: 14000 PH 2020-03-28 1734 YO4SI         59  0031   M2L           59  0521
QSO:  7000 PH 2020-03-28 2046 YO4SI         59  0032   RT4F          59  1158
QSO:  7000 PH 2020-03-28 2048 YO4SI         59  0033   RO4I          59  0777
QSO:  7000 PH 2020-03-28 2055 YO4SI         59  0034   R4KW          59  1093
QSO:  7000 PH 2020-03-28 2056 YO4SI         59  0035   OG6N          59  1171
QSO:  7000 PH 2020-03-28 2058 YO4SI         59  0036   RA4FUT        59  0115
QSO:  7000 PH 2020-03-28 2106 YO4SI         59  0037   R8TT          59  0767
QSO:  3500 PH 2020-03-28 2139 YO4SI         59  0038   HA3NU         59  1768
QSO:  3500 PH 2020-03-28 2143 YO4SI         59  0039   HG1S          59  0440
QSO:  3500 PH 2020-03-28 2147 YO4SI         59  0040   OK6DJ         59  0280
QSO:  3500 PH 2020-03-28 2206 YO4SI         59  0041   OL0W          59  0724
QSO:  3500 PH 2020-03-28 2207 YO4SI         59  0042   EA2LMI        59  1523
QSO:  3500 PH 2020-03-28 2209 YO4SI         59  0043   SP9N          59  1098
QSO:  3500 PH 2020-03-28 2210 YO4SI         59  0044   OK7W          59  1465
QSO:  3500 PH 2020-03-28 2212 YO4SI         59  0045   DL9RAR        59  0384
QSO:  3500 PH 2020-03-28 2213 YO4SI         59  0046   SP1GA         59  0768
QSO:  3500 PH 2020-03-28 2215 YO4SI         59  0047   SN8K          59  0851
QSO:  3500 PH 2020-03-28 2215 YO4SI         59  0048   HA8FK         59  0687
QSO:  3500 PH 2020-03-28 2216 YO4SI         59  0049   IO4C          59  1273
QSO:  3500 PH 2020-03-28 2217 YO4SI         59  0050   Z39Z          59  0472
QSO:  3500 PH 2020-03-28 2218 YO4SI         59  0051   E7CW          59  0818
QSO:  3500 PH 2020-03-28 2220 YO4SI         59  0052   OL8K          59  0870
QSO:  3500 PH 2020-03-28 2221 YO4SI         59  0053   J42L          59  1479
QSO:  3500 PH 2020-03-28 2222 YO4SI         59  0054   IW0SAF        59  0172
QSO:  3500 PH 2020-03-28 2223 YO4SI         59  0055   S54ZZ         59  1201
QSO:  3500 PH 2020-03-28 2225 YO4SI         59  0056   HG2DX         59  0844
QSO:  3500 PH 2020-03-28 2226 YO4SI         59  0057   SP8R          59  0275
QSO:  3500 PH 2020-03-28 2233 YO4SI         59  0058   UX2X          59  1091
QSO:  3500 PH 2020-03-28 2233 YO4SI         59  0059   HG7T          59  0621
QSO:  3500 PH 2020-03-28 2235 YO4SI         59  0060   S56P          59  1165
