START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: F8OOI
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 2808
NAME: John Thoreson
OPERATORS: F8OOI
CREATED-BY: N1MM Logger+ 1.0.7687.0
SOAPBOX: Nice contest but the propagation was a little rough
QSO:  7098 PH 2020-03-28 1037 F8OOI         59  0001   IO4R          59  0151
QSO:  7108 PH 2020-03-28 1041 F8OOI         59  0002   OB9OAU        59  0127
QSO:  7139 PH 2020-03-28 1045 F8OOI         59  0003   PB5X          59  0015
QSO:  7143 PH 2020-03-28 1048 F8OOI         59  0004   S5YI          59  1209
QSO:  7157 PH 2020-03-28 1055 F8OOI         59  0005   IK3ZAP        59  0242
QSO:  7175 PH 2020-03-28 1101 F8OOI         59  0006   DL4RCE        59  0135
QSO:  7191 PH 2020-03-28 1106 F8OOI         59  0007   DL1X          59  0450
QSO:  7188 PH 2020-03-28 1108 F8OOI         59  0008   MU0GSY        59  0072
QSO: 14117 PH 2020-03-28 1118 F8OOI         59  0009   UY3U          59  0456
QSO: 14102 PH 2020-03-28 1120 F8OOI         59  0010   R9AE          59  0085
QSO: 14100 PH 2020-03-28 1123 F8OOI         59  0011   CT2GSN        59  0108
QSO: 14327 PH 2020-03-28 1135 F8OOI         59  0012   UZ0U          59  0529
QSO: 14297 PH 2020-03-28 1426 F8OOI         59  0013   IZ4CXW        59  0497
QSO: 14278 PH 2020-03-28 1429 F8OOI         59  0014   E75TV         59  1731
QSO: 14260 PH 2020-03-28 1441 F8OOI         59  0015   EW5Z          59  0044
QSO: 14229 PH 2020-03-28 1442 F8OOI         59  0016   OE9TAV        59  0003
QSO: 14216 PH 2020-03-28 1444 F8OOI         59  0017   S50R          59  0756
QSO: 14112 PH 2020-03-28 1450 F8OOI         59  0018   IK4DCX        59  0221
QSO: 14172 PH 2020-03-28 1453 F8OOI         59  0019   OH1F          59  0689
QSO: 14195 PH 2020-03-28 1506 F8OOI         59  0020   OG66X         59  0460
QSO: 14184 PH 2020-03-28 1510 F8OOI         59  0021   HA8M          59  0717
QSO: 14118 PH 2020-03-28 1520 F8OOI         59  0022   DL8AAE        59  0333
QSO: 14118 PH 2020-03-28 1524 F8OOI         59  0023   HB9CIC        59  0145
QSO: 14121 PH 2020-03-28 1528 F8OOI         59  0024   IK2XDE        59  0267
QSO: 14209 PH 2020-03-28 1537 F8OOI         59  0025   OH70BH        59  0462
QSO:  7152 PH 2020-03-29 1408 F8OOI         59  0026   IHB9HLM       59  0374
QSO:  7183 PH 2020-03-29 1411 F8OOI         59  0027   IB2A          59  0914
QSO:  7170 PH 2020-03-29 1414 F8OOI         59  0028   9A5Y          59  2687
QSO: 14161 PH 2020-03-29 1425 F8OOI         59  0029   SO7O          59  0474
QSO: 21230 PH 2020-03-29 1433 F8OOI         59  0030   PT5J          59  3465
QSO: 14156 PH 2020-03-29 1436 F8OOI         59  0031   UA5C          59  2676
QSO: 14318 PH 2020-03-29 1440 F8OOI         59  0032   RW1F          59  3303
QSO:  7136 PH 2020-03-29 1446 F8OOI         59  0033   IK3UNA        59  2062
QSO:  7101 PH 2020-03-29 1448 F8OOI         59  0034   FM8A          59  1939
QSO:  7140 PH 2020-03-29 1450 F8OOI         59  0035   I1JTQ         59  0392
QSO:  7144 PH 2020-03-29 1452 F8OOI         59  0036   IU1JCZ        59  0430
QSO:  7150 PH 2020-03-29 1454 F8OOI         59  0037   HB9HLM        59  0453
QSO:  7154 PH 2020-03-29 1456 F8OOI         59  0038   OR5T          59  0295
QSO:  7165 PH 2020-03-29 1500 F8OOI         59  0039   OL725PLZ      59  1310
QSO:  7187 PH 2020-03-29 1512 F8OOI         59  0040   IQ5ZP         59  0587
QSO: 14117 PH 2020-03-29 1520 F8OOI         59  0041   OM7RU         59  1306
END-OF-LOG:
