START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: W9KEY
LOCATION: WI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR:
CLAIMED-SCORE: 100667
NAME: Fred Schwierske
OPERATORS: W9KEY
CLUB: ozaukee radio club
CREATED-BY: N3FJP's CQ WPX Contest Log 4.7
SOAPBOX: First time for your contest.  Have been licensed for 2 years.
QSO: 14184 PH 2020-03-28 0010 W9KEY         59  001    WK5T          59  38     0
QSO: 14201 PH 2020-03-28 0013 W9KEY         59  002    TG9ANF        59  027    0
QSO: 14204 PH 2020-03-28 0015 W9KEY         59  003    N7DD          59  23     0
QSO: 14242 PH 2020-03-28 0019 W9KEY         59  004    WC6H          59  43     0
QSO: 14258 PH 2020-03-28 0022 W9KEY         59  005    VA7RR         59  87     0
QSO: 14283 PH 2020-03-28 0028 W9KEY         59  006    K7JQ          59  17     0
QSO: 14314 PH 2020-03-28 0030 W9KEY         59  007    NC7M          59  44     0
QSO: 14176 PH 2020-03-28 0034 W9KEY         59  008    W7CXX         59  54     0
QSO: 14266 PH 2020-03-28 0042 W9KEY         59  009    NK7L          59  34     0
QSO: 14280 PH 2020-03-28 0047 W9KEY         59  010    ND7Q          59  177    0
QSO: 14296 PH 2020-03-28 0049 W9KEY         59  011    KT4ZB         59  35     0
QSO: 14334 PH 2020-03-28 0052 W9KEY         59  012    WJ7W          59  52     0
QSO:  7129 PH 2020-03-28 0101 W9KEY         59  013    AC1U          59  143    0
QSO:  7128 PH 2020-03-28 0101 W9KEY         59  014    VC2A          59  131    0
QSO:  7122 PH 2020-03-28 0103 W9KEY         59  015    VO1KVT        59  61     0
QSO:  7139 PH 2020-03-28 0107 W9KEY         59  016    NQ5K          59  170    0
QSO:  7144 PH 2020-03-28 0114 W9KEY         59  017    N6AR          59  136    0
QSO:  7145 PH 2020-03-28 0117 W9KEY         59  018    OM3BH         59  201    0
QSO:  7148 PH 2020-03-28 0118 W9KEY         59  019    S53MM         59  120    0
QSO:  7149 PH 2020-03-28 0120 W9KEY         59  020    WC6R          59  125    0
QSO:  7150 PH 2020-03-28 0121 W9KEY         59  021    S50W          59  108    0
QSO:  7152 PH 2020-03-28 0124 W9KEY         59  022    WQ5OO         59  246    0
QSO:  7157 PH 2020-03-28 0130 W9KEY         59  023    NC1CC         59  57     0
QSO:  7165 PH 2020-03-28 0134 W9KEY         59  024    W4TG          59  68     0
QSO:  7174 PH 2020-03-28 0141 W9KEY         59  025    CR6T          59  303    0
QSO:  7183 PH 2020-03-28 0150 W9KEY         59  026    VE2GSO        59  012    0
QSO:  7189 PH 2020-03-28 0155 W9KEY         59  027    WZ4F          59  386    0
QSO:  7193 PH 2020-03-28 0157 W9KEY         59  028    EF2A          59  241    0
QSO:  7197 PH 2020-03-28 0201 W9KEY         59  029    KK6P          59  269    0
QSO:  7198 PH 2020-03-28 0204 W9KEY         59  030    S51YI         59  306    0
QSO:  7203 PH 2020-03-28 0210 W9KEY         59  031    TI7W          59  457    0
QSO:  7205 PH 2020-03-28 0212 W9KEY         59  032    VA2SJ         59  203    0
QSO:  7210 PH 2020-03-28 0222 W9KEY         59  033    AG4W          59  370    0
QSO:  7214 PH 2020-03-28 0224 W9KEY         59  034    WY3P          59  34     0
QSO:  7217 PH 2020-03-28 0227 W9KEY         59  035    ZW5B          59  167    0
QSO:  7222 PH 2020-03-28 0229 W9KEY         59  036    PJ4DX         59  171    0
QSO:  7225 PH 2020-03-28 0231 W9KEY         59  037    NN9DD         59  289    0
QSO:  7230 PH 2020-03-28 0234 W9KEY         59  038    KT5J          59  768    0
QSO:  7232 PH 2020-03-28 0235 W9KEY         59  039    K3QH          59  197    0
QSO:  7236 PH 2020-03-28 0238 W9KEY         59  040    AJ7G          59  201    0
QSO:  7236 PH 2020-03-28 0240 W9KEY         59  041    KT4Q          59  137    0
QSO:  7238 PH 2020-03-28 0242 W9KEY         59  042    KC5TT         59  17     0
QSO:  7241 PH 2020-03-28 0244 W9KEY         59  043    KR1DX         59  226    0
QSO:  7245 PH 2020-03-28 0246 W9KEY         59  044    WC6H          59  496    0
QSO:  7250 PH 2020-03-28 0249 W9KEY         59  045    TI2WMP        59  008    0
QSO:  7254 PH 2020-03-28 0252 W9KEY         59  046    W6AFA         59  342    0
QSO:  7262 PH 2020-03-28 0257 W9KEY         59  047    KT7E          59  499    0
QSO:  7270 PH 2020-03-28 0259 W9KEY         59  048    NR6O          59  429    0
QSO:  7276 PH 2020-03-28 0301 W9KEY         59  049    KX7M          59  343    0
QSO:  7279 PH 2020-03-28 0303 W9KEY         59  050    VE5MX         59  468    0
QSO:  7283 PH 2020-03-28 0311 W9KEY         59  051    K7RI          59  455    0
QSO:  7288 PH 2020-03-28 0313 W9KEY         59  052    VY2TT         59  527    0
QSO:  7296 PH 2020-03-28 0314 W9KEY         59  053    W4LT          59  098    0
QSO:  3620 PH 2020-03-28 0326 W9KEY         59  054    N3QE          59  394    0
QSO:  3616 PH 2020-03-28 0328 W9KEY         59  055    AB4B          59  240    0
QSO:  3608 PH 2020-03-28 0330 W9KEY         59  056    W9GB          59  183    0
QSO:  3626 PH 2020-03-28 0333 W9KEY         59  057    W4TG          59  209    0
QSO:  3633 PH 2020-03-28 0337 W9KEY         59  058    KT3Y          59  151    0
QSO:  3638 PH 2020-03-28 0339 W9KEY         59  059    KV0I          59  308    0
QSO:  3642 PH 2020-03-28 0340 W9KEY         59  060    W3FV          59  170    0
QSO:  3648 PH 2020-03-28 0342 W9KEY         59  061    WA5SOG        59  172    0
QSO:  3652 PH 2020-03-28 0343 W9KEY         59  062    ND8DX         59  401    0
QSO:  3654 PH 2020-03-28 0345 W9KEY         59  063    NW3Y          59  344    0
QSO:  3658 PH 2020-03-28 0347 W9KEY         59  064    VA2EK         59  111    0
QSO:  3661 PH 2020-03-28 0348 W9KEY         59  065    NR3X          59  567    0
QSO:  3667 PH 2020-03-28 0350 W9KEY         59  066    AH2O          59  161    0
QSO:  3670 PH 2020-03-28 0351 W9KEY         59  067    NV9L          59  488    0
QSO:  3674 PH 2020-03-28 0352 W9KEY         59  068    NY6DX         59  209    0
QSO:  3678 PH 2020-03-28 0353 W9KEY         59  069    N4RA          59  171    0
QSO:  3684 PH 2020-03-28 0355 W9KEY         59  070    W9QL          59  77     0
QSO:  3692 PH 2020-03-28 0357 W9KEY         59  071    NA8V          59  346    0
QSO:  3694 PH 2020-03-28 0401 W9KEY         59  072    WB2ZAB        59  185    0
QSO:  3700 PH 2020-03-28 0403 W9KEY         59  073    W8MJ          59  431    0
QSO:  3703 PH 2020-03-28 0404 W9KEY         59  074    WR1ST         59  439    0
QSO:  3706 PH 2020-03-28 0405 W9KEY         59  075    WA3WB         59  075    0
QSO:  3728 PH 2020-03-28 0409 W9KEY         59  076    W3LL          59  430    0
QSO:  3744 PH 2020-03-28 0417 W9KEY         59  077    W9RE          59  640    0
QSO:  3748 PH 2020-03-28 0418 W9KEY         59  078    W3BGN         59  341    0
QSO:  3750 PH 2020-03-28 0420 W9KEY         59  079    KD4D          59  388    0
QSO:  3755 PH 2020-03-28 0422 W9KEY         59  080    WI0WA         59  580    0
QSO:  3766 PH 2020-03-28 0426 W9KEY         59  081    K1KK          59  209    0
QSO:  3778 PH 2020-03-28 0429 W9KEY         59  082    K0TT          59  416    0
QSO:  3785 PH 2020-03-28 0431 W9KEY         59  083    K7RI          59  529    0
QSO:  3792 PH 2020-03-28 0435 W9KEY         59  084    KC1XX         59  612    0
QSO:  3803 PH 2020-03-28 0437 W9KEY         59  085    NP2P          59  382    0
QSO:  3805 PH 2020-03-28 0439 W9KEY         59  086    NR6O          59  112    0
