START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: NN4NT
LOCATION: AL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: EM64PR
CLAIMED-SCORE: 10295
NAME: Rob Suggs
OPERATORS: NN4NT
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: There seemed to be more activity than in previous contests.
QSO: 14150 PH 2020-03-28 2127 NN4NT         59  0001   NR3X          59  1586
QSO: 14160 PH 2020-03-28 2129 NN4NT         59  0002   KV0Q          59  1282
QSO: 14174 PH 2020-03-28 2130 NN4NT         59  0003   NA4RR         59  1141
QSO: 14186 PH 2020-03-28 2133 NN4NT         59  0004   WW2Y          59  2082
QSO: 14199 PH 2020-03-28 2134 NN4NT         59  0005   KM4HI         59  0545
QSO: 14208 PH 2020-03-28 2137 NN4NT         59  0006   KT5J          59  2744
QSO: 14219 PH 2020-03-28 2140 NN4NT         59  0007   HI3CC         59  1311
QSO: 14225 PH 2020-03-28 2142 NN4NT         59  0008   HI8RD         59  1345
QSO: 14259 PH 2020-03-28 2153 NN4NT         59  0009   KJ4QHL        59  0602
QSO: 14278 PH 2020-03-28 2155 NN4NT         59  0010   WK5T          59  1836
QSO: 14288 PH 2020-03-28 2202 NN4NT         59  0011   YV5GPA        59  0438
QSO: 14293 PH 2020-03-28 2204 NN4NT         59  0012   NR7DX         59  1108
QSO: 14315 PH 2020-03-28 2207 NN4NT         59  0013   WS7X          59  1437
QSO: 14330 PH 2020-03-28 2208 NN4NT         59  0014   KT4Q          59  0919
QSO: 14336 PH 2020-03-28 2210 NN4NT         59  0015   AD4TR         59  2041
QSO: 21224 PH 2020-03-28 2213 NN4NT         59  0016   LU5FC         59  1185
QSO: 21230 PH 2020-03-28 2214 NN4NT         59  0017   KP4RV         59  0667
