START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ1DLY/1
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
GRID-LOCATOR: jn34wh
CLAIMED-SCORE: 3300
NAME: Franco Floris
OPERATORS: \\\\\\\\
CREATED-BY: QARTest 9.7.2
SOAPBOX: Dopo tanto sono nuovamento in aria e mi sono divertito.
QSO:  7000 PH 2020-03-28 1007 IZ1DLY/1      59     001 II8K          59     204
QSO:  7000 PH 2020-03-28 1015 IZ1DLY/1      59     002 OK2RZ         59     336
QSO:  7000 PH 2020-03-28 1018 IZ1DLY/1      59     003 S50X          59     252
QSO:  7000 PH 2020-03-28 1021 IZ1DLY/1      59     004 OR1Z          59     360
QSO:  7000 PH 2020-03-28 1025 IZ1DLY/1      59     005 IO6A          59     513
QSO:  7000 PH 2020-03-28 1029 IZ1DLY/1      59     006 LY5R          59     457
QSO:  7000 PH 2020-03-28 1030 IZ1DLY/1      59     007 OK2PVF        59     353
QSO:  7000 PH 2020-03-28 1033 IZ1DLY/1      59     008 LY7Z          59    1063
QSO:  7000 PH 2020-03-28 1036 IZ1DLY/1      59     009 DL4RCE        59     112
QSO:  7000 PH 2020-03-28 1038 IZ1DLY/1      59     010 F4HJO         59     490
QSO:  7000 PH 2020-03-28 1042 IZ1DLY/1      59     011 ER1X          59     395
QSO:  7000 PH 2020-03-28 1044 IZ1DLY/1      59     012 IQ0WV         59     073
QSO:  7000 PH 2020-03-28 1047 IZ1DLY/1      59     013 LZ9W          59    1297
QSO: 14000 PH 2020-03-28 1147 IZ1DLY/1      59     014 LZ7A          59     035
QSO: 14000 PH 2020-03-28 1149 IZ1DLY/1      59     015 LZ5I          59     089
QSO: 14000 PH 2020-03-28 1202 IZ1DLY/1      59     016 II9P          59     549
QSO: 14000 PH 2020-03-28 1209 IZ1DLY/1      59     017 UW1M          59     981
QSO: 14000 PH 2020-03-28 1215 IZ1DLY/1      59     018 LZ5DB         59     418
QSO: 14000 PH 2020-03-28 1217 IZ1DLY/1      59     019 LY4A          59    1791
QSO: 14000 PH 2020-03-28 1222 IZ1DLY/1      59     020 UB7K          59     024
QSO: 14000 PH 2020-03-28 1223 IZ1DLY/1      59     021 YO9HP         59     349
QSO: 14000 PH 2020-03-28 1225 IZ1DLY/1      59     022 YP0C          59     842
QSO: 14000 PH 2020-03-28 1234 IZ1DLY/1      59     023 UY1IP         59     181
QSO: 14000 PH 2020-03-28 1237 IZ1DLY/1      59     024 IT9DGG        59     206
QSO: 14000 PH 2020-03-28 1241 IZ1DLY/1      59     025 IT9STX        59     479
QSO: 14000 PH 2020-03-28 1250 IZ1DLY/1      59     026 RL3A          59    2311
QSO: 14000 PH 2020-03-28 1253 IZ1DLY/1      59     027 IQ8SN         59     738
QSO: 14000 PH 2020-03-28 1300 IZ1DLY/1      59     028 SV9FBG        59     987
QSO: 14000 PH 2020-03-28 1320 IZ1DLY/1      59     029 II9L          59     635
QSO: 14000 PH 2020-03-28 1321 IZ1DLY/1      59     030 CT3A          59     295
QSO: 14000 PH 2020-03-28 1333 IZ1DLY/1      59     031 IT9XTP        59     452
QSO: 14000 PH 2020-03-28 1337 IZ1DLY/1      59     032 ES5TV         59    1579
QSO: 14000 PH 2020-03-28 1347 IZ1DLY/1      59     033 YW2M          59    1726
QSO: 14000 PH 2020-03-28 1348 IZ1DLY/1      59     034 IT9IMJ        59     020
QSO: 14000 PH 2020-03-28 1351 IZ1DLY/1      59     035 R5AJ          59     288
QSO: 21000 PH 2020-03-28 1403 IZ1DLY/1      59     036 IQ8CCW        59     132
QSO: 21000 PH 2020-03-28 1405 IZ1DLY/1      59     037 IO9A          59     119
QSO: 21000 PH 2020-03-28 1410 IZ1DLY/1      59     038 II9P          59     332
QSO: 21000 PH 2020-03-28 1412 IZ1DLY/1      59     039 A73A          59     567
QSO: 21000 PH 2020-03-28 1415 IZ1DLY/1      59     040 IZ1GLX        59     024
QSO: 21000 PH 2020-03-28 1423 IZ1DLY/1      59     041 EA5O          59     462
QSO:  3500 PH 2020-03-28 1431 IZ1DLY/1      59     042 S56P          59     643
QSO:  7000 PH 2020-03-29 1013 IZ1DLY/1      59     043 YL3CW         59     752
QSO:  7000 PH 2020-03-29 1215 IZ1DLY/1      59     044 YU7U          59     023
QSO:  7000 PH 2020-03-29 1223 IZ1DLY/1      59     045 YT4X          59     748
QSO:  7000 PH 2020-03-29 1225 IZ1DLY/1      59     046 OE3K          59    3348
QSO:  7000 PH 2020-03-29 1230 IZ1DLY/1      59     047 9A5MX         59     542
QSO:  7000 PH 2020-03-29 1236 IZ1DLY/1      59     048 DJ9UN         59     257
QSO: 14000 PH 2020-03-29 1246 IZ1DLY/1      59     049 LZ2YO         59     821
QSO: 14000 PH 2020-03-29 1247 IZ1DLY/1      59     050 OH1F          59    1406
QSO: 14000 PH 2020-03-29 1257 IZ1DLY/1      59     051 UA5C          59    2539
QSO: 14000 PH 2020-03-29 1303 IZ1DLY/1      59     052 YL10CWO       59    1363
END-OF-LOG:
