START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: DL9MFY
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: JO41IF
CLAIMED-SCORE: 3280
NAME: Bodo
CREATED-BY: CT Version 9.89.003
SOAPBOX: Low dipole made it across the Atlantic Sea on 80m split.
QSO: 28000 PH 2020-03-28 1650 DL9MFY         59 1      EC5NJ         59  772    0
QSO: 28000 PH 2020-03-28 1657 DL9MFY         59 2      EB5F          59  327    0
QSO: 21000 PH 2020-03-28 1715 DL9MFY         59 3      EA5Y          59  149    0
QSO: 21000 PH 2020-03-28 1722 DL9MFY         59 4      EA5O          59  681    0
QSO: 21000 PH 2020-03-28 1725 DL9MFY         59 5      EF2O          59  290    0
QSO: 14000 PH 2020-03-28 1817 DL9MFY         59 6      ED3T          59  424    0
QSO: 14000 PH 2020-03-28 1822 DL9MFY         59 7      SV9DJO        59  984    0
QSO: 21000 PH 2020-03-28 1833 DL9MFY         59 8      EA5AER        59  018    0
QSO: 21000 PH 2020-03-28 1842 DL9MFY         59 9      IT9FRX        59  1122   0
QSO: 21000 PH 2020-03-28 1855 DL9MFY         59 10     IZ8CCW        59  367    0
QSO: 14000 PH 2020-03-28 1956 DL9MFY         59 11     DM6V          59  1424   0
QSO:  3800 PH 2020-03-29 0335 DL9MFY         59 12     OK7W          59  1799   0
QSO:  3800 PH 2020-03-29 0339 DL9MFY         59 13     E7CW          59  1026   0
QSO:  3800 PH 2020-03-29 0348 DL9MFY         59 14     HG7T          59  837    0
QSO:  3800 PH 2020-03-29 0404 DL9MFY         59 15     OK6T          59  992    0
QSO:  3800 PH 2020-03-29 0409 DL9MFY         59 16     OU8A          59  424    0
QSO:  3800 PH 2020-03-29 0424 DL9MFY         59 17     WW2DX         59  726    0
QSO:  3800 PH 2020-03-29 0518 DL9MFY         59 18     HB9TOC        59  717    0
QSO:  3800 PH 2020-03-29 0535 DL9MFY         59 19     WU3A          59  2012   0
QSO:  3800 PH 2020-03-29 0541 DL9MFY         59 20     M0MCV         59  548    0
QSO:  3800 PH 2020-03-29 0547 DL9MFY         59 21     DM6V          59  2052   0
QSO:  3800 PH 2020-03-29 0554 DL9MFY         59 22     S54ZZ         59  1511   0
QSO:  3800 PH 2020-03-29 0606 DL9MFY         59 23     DP4M          59  585    0
QSO:  3800 PH 2020-03-29 0603 DL9MFY         59 24     F8DSN         59  216    0
QSO:  3800 PH 2020-03-29 0622 DL9MFY         59 25     DL0PB         59  59     0
QSO:  3800 PH 2020-03-29 0623 DL9MFY         59 26     LX1HD         59  323    0
QSO:  7200 PH 2020-03-29 0703 DL9MFY         59 27     LA8OM         59  311    0
QSO:  7200 PH 2020-03-29 0706 DL9MFY         59 28     9A5X          59  1121   0
QSO:  7200 PH 2020-03-29 0708 DL9MFY         59 29     TM6M          59  898    0
QSO:  7200 PH 2020-03-29 0712 DL9MFY         59 30     SP6YG         59  573    0
QSO: 28000 PH 2020-03-29 1546 DL9MFY         59 31     EC5EA         59  334    0
QSO: 28000 PH 2020-03-29 1551 DL9MFY         59 32     EF5U          59  447    0
QSO: 28000 PH 2020-03-29 1600 DL9MFY         59 33     EE7K          59  454    0
QSO: 21000 PH 2020-03-29 1653 DL9MFY         59 34     EA5GS         59  1179   0
QSO: 14000 PH 2020-03-29 2001 DL9MFY         59 35     WW2DX         59  2738   0
QSO:  7200 PH 2020-03-29 2140 DL9MFY         59 36     ED5R          59  2184   0
QSO:  7200 PH 2020-03-29 2148 DL9MFY         59 37     UA5C          59  3092   0
QSO:  3800 PH 2020-03-29 2155 DL9MFY         59 38     S56B          59  1146   0
QSO:  3800 PH 2020-03-29 2157 DL9MFY         59 39     HB9NE         59  1669   0
QSO:  3800 PH 2020-03-29 2158 DL9MFY         59 40     OL8R          59  916    0
QSO:  3800 PH 2020-03-29 2206 DL9MFY         59 41     DL7ON         59  685    0
QSO:  3800 PH 2020-03-29 2207 DL9MFY         59 42     OE3IDE        59  1464   0
QSO:  3800 PH 2020-03-29 2210 DL9MFY         59 43     DK1KC         59  792    0
QSO:  3800 PH 2020-03-29 2216 DL9MFY         59 44     DR7B          59  2040   0
QSO:  3800 PH 2020-03-29 2221 DL9MFY         59 45     OP4K          59  1097   0
QSO:  3800 PH 2020-03-29 2307 DL9MFY         59 46     OE6MDF        59  1342   0
QSO:  3800 PH 2020-03-29 2331 DL9MFY         59 47     SO9I          59  2178   0
END-OF-LOG:
