START-OF-LOG: 3.0
CATEGORY: SO LP, Single TRX
CONTEST: FT4
CALLSIGN: HB9TZU
OPERATORS: HB9TZU
CREATED-BY: Web-ADIF2CABR V.0.0.2 (C) Test DL6MHW, modified by DXHF upload.
QSO: 7049 DG 2025-11-11 1900 HB9TZU       -02  JN46 DF3QK        -01  JO31
QSO: 7050 DG 2025-11-11 1901 HB9TZU       +04  JN46 SP2GCJ       +06  JO93
QSO: 7049 DG 2025-11-11 1902 HB9TZU       +04  JN46 PD1TV        +06  JO32
QSO: 7049 DG 2025-11-11 1904 HB9TZU       +02  JN46 PD2PKM       +00  JO21
QSO: 7049 DG 2025-11-11 1904 HB9TZU       -11  JN46 DJ2KP        -07  JO42
QSO: 7050 DG 2025-11-11 1905 HB9TZU       -05  JN46 DM5ME        -01  JO52
QSO: 7048 DG 2025-11-11 1906 HB9TZU       +05  JN46 PA6Q         -07  JO32
QSO: 7048 DG 2025-11-11 1909 HB9TZU       -05  JN46 DK7BY        -21  JO33
QSO: 7049 DG 2025-11-11 1918 HB9TZU       +06  JN46 PD2PKM       +02  JO21
QSO: 7048 DG 2025-11-11 1922 HB9TZU       -01  JN46 PA6Q         -17  JO32
QSO: 7048 DG 2025-11-11 1924 HB9TZU       -11  JN46 PE1CUP       +00  JO31
QSO: 7049 DG 2025-11-11 1925 HB9TZU       -03  JN46 DK6WS        +16  JO30
QSO: 7048 DG 2025-11-11 1928 HB9TZU        -01 JN46 SV1DKR        -01 KM18
QSO: 7049 DG 2025-11-11 1928 HB9TZU        -03 JN46 SV3AUW        -12 KM17
QSO: 7048 DG 2025-11-11 1929 HB9TZU        +01 JN46 IZ5CMG        -04 JN53
QSO: 7049 DG 2025-11-11 1930 HB9TZU        -18 JN46 PE1CUP        -03 JO31
QSO: 7049 DG 2025-11-11 1931 HB9TZU        -10 JN46 PD4ZON        +03 JO22
QSO: 7050 DG 2025-11-11 1933 HB9TZU        -10 JN46 SV1DZB        +03 KM18
QSO: 7048 DG 2025-11-11 1933 HB9TZU        +03 JN46 SV0XAD        -05 KM18
QSO: 7048 DG 2025-11-11 1934 HB9TZU        -09 JN46 PA6Q          -13 JO32
QSO: 7049 DG 2025-11-11 1935 HB9TZU        -08 JN46 ER3CT         +05 KN47
QSO: 7048 DG 2025-11-11 1936 HB9TZU        +06 JN46 IW2IZW        +05 JN45
QSO: 7049 DG 2025-11-11 1937 HB9TZU        +05 JN46 DF8QB         +07 JO31
QSO: 7049 DG 2025-11-11 1939 HB9TZU        -01 JN46 DK4RH         +14 JO31
QSO: 7048 DG 2025-11-11 1941 HB9TZU        -05 JN46 DC7MA         +19 JN39
QSO: 7049 DG 2025-11-11 1942 HB9TZU        -01 JN46 DM1JH         +09 JO60
QSO: 7049 DG 2025-11-11 1943 HB9TZU        -07 JN46 YO4CVV        -11 KN45
QSO: 7049 DG 2025-11-11 1954 HB9TZU        +04 JN46 EI9FVB        +00 IO51
QSO: 7049 DG 2025-11-11 1955 HB9TZU        -14 JN46 DL9KM         -14 JN68
QSO: 7049 DG 2025-11-11 1956 HB9TZU        -10 JN46 OS4K          -07 JO21
QSO: 7050 DG 2025-11-11 1957 HB9TZU        -01 JN46 LX1RFJ        +06 JN29
QSO: 7049 DG 2025-11-11 1959 HB9TZU        -15 JN46 DC4RP         +10 JN68
QSO: 7049 DG 2025-11-11 2000 HB9TZU        -05 JN46 DF5LR         +06 JN68
QSO: 3576 DG 2025-11-11 2023 HB9TZU        -05 JN46 DO5HOK        -04 JO41
QSO: 3577 DG 2025-11-11 2025 HB9TZU        +11 JN46 PH3T          -14 JO22
QSO: 3578 DG 2025-11-11 2026 HB9TZU        -08 JN46 DJ2KP         -01 JO42
QSO: 3577 DG 2025-11-11 2027 HB9TZU        +11 JN46 DK7AE         -08 JO42
QSO: 3577 DG 2025-11-11 2028 HB9TZU        +17 JN46 DL2LBK        +01 JO54
QSO: 3578 DG 2025-11-11 2029 HB9TZU        -05 JN46 DH1DAC        -06 JO31
END-OF-LOG:
