START-OF-LOG: 3.0
CALLSIGN: JN3DMJ
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 25353
LOCATION: DX
NAME: Koichi Matsumoto
OPERATORS: JN3DMJ
SOAPBOX: The actual maximum power output used is 5 watts.
QSO: 28088 RY 2015-02-14 0027 JN3DMJ        599 0001   VR2XMT        599 0024
QSO: 28094 RY 2015-02-14 0037 JN3DMJ        599 0002   VE7CC         599 0093
QSO: 21084 RY 2015-02-14 0052 JN3DMJ        599 0003   WK7S          599 0079
QSO: 21103 RY 2015-02-14 0107 JN3DMJ        599 0004   UA0CA         599 0101
QSO: 21115 RY 2015-02-14 0112 JN3DMJ        599 0005   9M2TO         599 0014
QSO: 21116 RY 2015-02-14 0117 JN3DMJ        599 0006   DU1JM         599 0012
QSO: 28100 RY 2015-02-14 0145 JN3DMJ        599 0007   LW6DG         599 0108
QSO: 21080 RY 2015-02-14 0152 JN3DMJ        599 0008   KX7YT         599 0108
QSO: 21081 RY 2015-02-14 0201 JN3DMJ        599 0009   R0CW          599 0128
QSO: 21087 RY 2015-02-14 0218 JN3DMJ        599 0010   VE7SZ         599 0199
QSO: 21089 RY 2015-02-14 0224 JN3DMJ        599 0011   VR2XMT        599 0147
QSO: 21090 RY 2015-02-14 0228 JN3DMJ        599 0012   WR5J          599 0108
QSO: 28082 RY 2015-02-14 0244 JN3DMJ        599 0013   KL7IWC        599 0078
QSO: 21084 RY 2015-02-14 0502 JN3DMJ        599 0014   BV1EK         599 0211
QSO: 21087 RY 2015-02-14 0513 JN3DMJ        599 0015   HS5NMF        599 0132
QSO: 28084 RY 2015-02-14 0552 JN3DMJ        599 0016   KB7OBU/KH2    599 0105
QSO: 28087 RY 2015-02-14 0559 JN3DMJ        599 0017   UW2M          599 0575
QSO: 28087 RY 2015-02-14 0602 JN3DMJ        599 0018   CA5GRF        599 0129
QSO: 28091 RY 2015-02-14 0607 JN3DMJ        599 0019   UD3T          599 0017
QSO: 28096 RY 2015-02-14 0611 JN3DMJ        599 0020   UC8U          599 0143
QSO: 28104 RY 2015-02-14 0623 JN3DMJ        599 0021   HG1S          599 0418
QSO: 21079 RY 2015-02-14 0641 JN3DMJ        599 0022   3Z5N          599 0060
QSO: 21082 RY 2015-02-14 0645 JN3DMJ        599 0023   UW2M          599 0669
QSO: 21087 RY 2015-02-14 0701 JN3DMJ        599 0024   RW0SR         599 0195
QSO: 21089 RY 2015-02-14 0725 JN3DMJ        599 0025   RW0A          599 0339
QSO: 21123 RY 2015-02-14 0801 JN3DMJ        599 0026   RT0R          599 0056
QSO:  7042 RY 2015-02-14 0853 JN3DMJ        599 0027   JK2XXK        599 0206
QSO:  7044 RY 2015-02-14 0858 JN3DMJ        599 0028   KB7OBU/KH2    599 0181
QSO: 21082 RY 2015-02-14 0907 JN3DMJ        599 0029   ES5RY         599 0220
QSO: 21092 RY 2015-02-14 0920 JN3DMJ        599 0030   YB1C          599 0041
QSO:  7043 RY 2015-02-14 0930 JN3DMJ        599 0031   JE1LFX        599 0253
QSO:  7044 RY 2015-02-14 0942 JN3DMJ        599 0032   JH0EPI        599 0231
QSO:  7044 RY 2015-02-14 0945 JN3DMJ        599 0033   JA1OVD        599 0215
QSO:  7046 RY 2015-02-14 0949 JN3DMJ        599 0034   KH7XX         599 0111
QSO:  7041 RY 2015-02-14 0958 JN3DMJ        599 0035   JN4HTR        599 0094
QSO:  7044 RY 2015-02-14 1012 JN3DMJ        599 0036   JH4UTP        599 0023
QSO: 14082 RY 2015-02-14 1015 JN3DMJ        599 0037   CE2LS         599 0183
QSO:  7037 RY 2015-02-14 1042 JN3DMJ        599 0038   BV1EK         599 0366
QSO:  7052 RY 2015-02-14 1127 JN3DMJ        599 0039   BV4VQ         599 0084
QSO:  3525 RY 2015-02-14 1131 JN3DMJ        599 0040   JF2IWL        599 0043
QSO:  3528 RY 2015-02-14 1138 JN3DMJ        599 0041   JH0EPI        599 0249
QSO:  7043 RY 2015-02-14 1218 JN3DMJ        599 0042   RW0A          599 0193
QSO:  3526 RY 2015-02-14 1223 JN3DMJ        599 0043   JH1FNU        599 0011
QSO:  3527 RY 2015-02-14 1227 JN3DMJ        599 0044   JH4UTP        599 0011
QSO:  3530 RY 2015-02-14 1404 JN3DMJ        599 0045   JA1OVD        599 0320
QSO: 21081 RY 2015-02-14 2255 JN3DMJ        599 0046   N0NI          599 0533
QSO: 21094 RY 2015-02-14 2314 JN3DMJ        599 0047   KF7PG         599 0263
QSO: 21099 RY 2015-02-14 2320 JN3DMJ        599 0048   K6MR          599 0402
QSO: 21105 RY 2015-02-14 2334 JN3DMJ        599 0049   K7AR          599 0053
QSO: 21108 RY 2015-02-14 2340 JN3DMJ        599 0050   KZ7X          599 0450
QSO: 21110 RY 2015-02-14 2350 JN3DMJ        599 0051   N5XZ          599 0682
QSO: 28083 RY 2015-02-15 0013 JN3DMJ        599 0052   N5RZ          599 0104
QSO: 28087 RY 2015-02-15 0026 JN3DMJ        599 0053   VC7G          599 0415
QSO: 28090 RY 2015-02-15 0031 JN3DMJ        599 0054   K4WI          599 0590
QSO: 21090 RY 2015-02-15 0044 JN3DMJ        599 0055   N0OJ          599 0372
QSO: 21097 RY 2015-02-15 0056 JN3DMJ        599 0056   NR4M          599 0689
QSO: 21104 RY 2015-02-15 0107 JN3DMJ        599 0057   WQ6K          599 0975
QSO: 21118 RY 2015-02-15 0125 JN3DMJ        599 0058   VC7G          599 0473
QSO: 21124 RY 2015-02-15 0134 JN3DMJ        599 0059   AA7CR         599 0216
QSO: 28082 RY 2015-02-15 0140 JN3DMJ        599 0060   KS7AA         599 0928
QSO: 28094 RY 2015-02-15 0148 JN3DMJ        599 0061   KH7XX         599 0428
QSO: 14082 RY 2015-02-15 0154 JN3DMJ        599 0062   JK8PBO        599 0280
QSO: 28080 RY 2015-02-15 0216 JN3DMJ        599 0063   DU3LA         599 0237
QSO: 28086 RY 2015-02-15 0220 JN3DMJ        599 0064   WL7E          599 0668
QSO: 28089 RY 2015-02-15 0223 JN3DMJ        599 0065   YE1ZAT        599 0264
QSO: 28092 RY 2015-02-15 0226 JN3DMJ        599 0066   YC1CWK        599 0380
QSO: 21084 RY 2015-02-15 0232 JN3DMJ        599 0067   4H1T          599 0139
QSO: 21087 RY 2015-02-15 0237 JN3DMJ        599 0068   VE7CC         599 1428
QSO: 21096 RY 2015-02-15 0245 JN3DMJ        599 0069   BI4SSB        599 0341
QSO: 28089 RY 2015-02-15 0253 JN3DMJ        599 0070   YB1C          599 0297
QSO: 21082 RY 2015-02-15 0300 JN3DMJ        599 0071   VE7SQ         599 0146
QSO: 21086 RY 2015-02-15 0306 JN3DMJ        599 0072   BX4AG         599 0126
QSO: 28083 RY 2015-02-15 0313 JN3DMJ        599 0073   5W1SA         599 0607
QSO: 21100 RY 2015-02-15 0328 JN3DMJ        599 0074   KH7XX         599 0554
QSO: 21086 RY 2015-02-15 0434 JN3DMJ        599 0075   R0CAF         599 0459
QSO: 21096 RY 2015-02-15 0443 JN3DMJ        599 0076   RY9C          599 0480
QSO: 21097 RY 2015-02-15 0448 JN3DMJ        599 0077   YB0NDT        599 0462
QSO: 28081 RY 2015-02-15 0454 JN3DMJ        599 0078   YD4IRS        599 0203
QSO: 28084 RY 2015-02-15 0500 JN3DMJ        599 0079   UA9MA         599 0670
QSO: 28097 RY 2015-02-15 0534 JN3DMJ        599 0080   RA7A          599 0467
QSO: 28099 RY 2015-02-15 0539 JN3DMJ        599 0081   RM4I          599 1320
QSO: 28104 RY 2015-02-15 0542 JN3DMJ        599 0082   RW0A          599 0469
QSO: 21080 RY 2015-02-15 0548 JN3DMJ        599 0083   ZM2B          599 0572
QSO: 28084 RY 2015-02-15 0641 JN3DMJ        599 0084   UA3RF         599 0301
QSO: 28085 RY 2015-02-15 0647 JN3DMJ        599 0085   EM2G          599 1563
QSO: 28089 RY 2015-02-15 0654 JN3DMJ        599 0086   BV1EK         599 0659
QSO: 28089 RY 2015-02-15 0703 JN3DMJ        599 0087   BV4VQ         599 0328
QSO: 21084 RY 2015-02-15 0714 JN3DMJ        599 0088   OG0Z          599 1104
QSO: 21085 RY 2015-02-15 0722 JN3DMJ        599 0089   OG4X          599 0056
QSO: 21086 RY 2015-02-15 0730 JN3DMJ        599 0090   YB2TX         599 0191
QSO: 21098 RY 2015-02-15 0736 JN3DMJ        599 0091   LY9Y          599 1246
QSO: 21115 RY 2015-02-15 0756 JN3DMJ        599 0092   YE1ZAT        599 0366
QSO: 28082 RY 2015-02-15 0801 JN3DMJ        599 0093   HG7T          599 1938
QSO: 28090 RY 2015-02-15 0808 JN3DMJ        599 0094   9A1A          599 0673
QSO: 28091 RY 2015-02-15 0817 JN3DMJ        599 0095   BD7KSF        599 0123
QSO:  7041 RY 2015-02-15 0836 JN3DMJ        599 0096   JK2EIJ/0      599 0033
QSO:  7042 RY 2015-02-15 0840 JN3DMJ        599 0097   JP1LRT        599 0089
QSO:  7043 RY 2015-02-15 0843 JN3DMJ        599 0098   JK3HFN        599 0093
QSO:  7036 RY 2015-02-15 0930 JN3DMJ        599 0099   JE4MHL        599 0242
QSO: 14092 RY 2015-02-15 0941 JN3DMJ        599 0100   RW0A          599 0974
QSO:  7035 RY 2015-02-15 0950 JN3DMJ        599 0101   JR4DHK        599 0026
QSO:  7043 RY 2015-02-15 0959 JN3DMJ        599 0102   KA6BIM        599 0994
QSO:  7037 RY 2015-02-15 1213 JN3DMJ        599 0103   WR5J          599 0332
QSO:  7043 RY 2015-02-15 1223 JN3DMJ        599 0104   NC0DX         599 1603
QSO:  3531 RY 2015-02-15 1250 JN3DMJ        599 0105   JM1XCW        599 0282
QSO:  3528 RY 2015-02-15 1254 JN3DMJ        599 0106   R0CW          599 0726
QSO:  3530 RY 2015-02-15 1258 JN3DMJ        599 0107   JA0IOF        599 0275
QSO:  7038 RY 2015-02-15 1303 JN3DMJ        599 0108   N0NI          599 0893
QSO:  7038 RY 2015-02-15 1310 JN3DMJ        599 0109   VE7CC         599 1704
QSO:  3532 RY 2015-02-15 1320 JN3DMJ        599 0110   JH5HDA        599 0159
END-OF-LOG:
