START-OF-LOG: 3.0
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
LOCATION: DX
CONTEST: CQ-WPX-RTTY
CALLSIGN: PA3RIS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 149036
OPERATORS: PA3RIS
CLUB:
NAME: Frank Troost
SOAPBOX: Nice contest, I hope to take part again next year!
QSO:  3500 RY 2015-02-14 0714 PA3RIS        599 001    EI1Y          599 286    0
QSO:  3500 RY 2015-02-14 0716 PA3RIS        599 002    DJ6QT         599 210    0
QSO:  3500 RY 2015-02-14 0718 PA3RIS        599 003    OL9A          599 333    0
QSO:  3500 RY 2015-02-14 0723 PA3RIS        599 004    9A1A          599 305    0
QSO:  3500 RY 2015-02-14 0725 PA3RIS        599 005    ON5GQ         599 033    0
QSO:  3500 RY 2015-02-14 0727 PA3RIS        599 006    GM1J          599 025    0
QSO:  3500 RY 2015-02-14 0730 PA3RIS        599 007    DM2BPG        599 062    0
QSO:  7000 RY 2015-02-14 0735 PA3RIS        599 008    GW0A          599 220    0
QSO:  7000 RY 2015-02-14 0738 PA3RIS        599 009    OK6W          599 442    0
QSO:  7000 RY 2015-02-14 0741 PA3RIS        599 010    SI6W          599 151    0
QSO:  7000 RY 2015-02-14 0743 PA3RIS        599 011    S50A          599 488    0
QSO:  7000 RY 2015-02-14 0750 PA3RIS        599 012    M0OSH         599 025    0
QSO:  7000 RY 2015-02-14 0752 PA3RIS        599 013    EI1Y          599 313    0
QSO:  7000 RY 2015-02-14 0754 PA3RIS        599 014    I3PXN         599 131    0
QSO:  7000 RY 2015-02-14 0756 PA3RIS        599 015    F5POJ         599 083    0
QSO:  7000 RY 2015-02-14 0801 PA3RIS        599 016    M3DFW         599 050    0
QSO:  7000 RY 2015-02-14 0803 PA3RIS        599 017    IV3BCA        599 054    0
QSO:  7000 RY 2015-02-14 0806 PA3RIS        599 018    IW1QN         599 438    0
QSO:  7000 RY 2015-02-14 0808 PA3RIS        599 019    DL65DARC      599 030    0
