START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: K6ML
CATEGORY-BAND: ALL
OPERATORS: K6ML
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2024-08-19 0012 K6ML CM96WG N5BF DM03TS
QSO: 10G PH 2024-08-19 0114 K6ML DM06AC WA6QDP CM97AV
QSO: 10G PH 2024-08-19 0123 K6ML DM06AC WA6CDR DM25GW
QSO: 10G PH 2024-08-19 0125 K6ML DM06AC K6MG DM04MS
QSO: 24G PH 2024-08-19 0127 K6ML DM06AC K6MG DM04MS
QSO: 47G CW 2024-08-19 0214 K6ML DM06AC K6MG DM04MS
QSO: 10G PH 2024-08-19 0221 K6ML DM06AC AG6KG DM07CK
QSO: 10G PH 2024-08-19 0227 K6ML DM06AC W6DL DM13ET
QSO: 10G PH 2024-08-19 0315 K6ML DM06CF W6DL DM13ET
QSO: 10G PH 2024-08-19 0317 K6ML DM06CF K6MG DM04MS
QSO: 24G PH 2024-08-19 0320 K6ML DM06CF K6MG DM04MS
QSO: 10G PH 2024-08-19 0328 K6ML DM06CF WA6CDR DM25GW
QSO: 10G PH 2024-08-19 0340 K6ML DM06CF AG6KG DM07CK
QSO: 10G PH 2024-08-19 0548 K6ML CM96WM K6MG DM04MS
QSO: 10G PH 2024-08-19 0556 K6ML CM96WM AG6KG DM07CK
QSO: 10G CW 2024-08-19 0617 K6ML CM96WM WA6CDR DM25GW
QSO: 10G PH 2024-09-21 1611 K6ML CM87XG N9JIM CM97KH
QSO: 24G PH 2024-09-21 1615 K6ML CM87XG N9JIM CM97KH
QSO: 10G PH 2024-09-21 1643 K6ML CM87XG KB6BA CM96WG
QSO: 10G PH 2024-09-21 1659 K6ML CM87XG AA6XA CM97AV
QSO: 10G PH 2024-09-21 1708 K6ML CM87XG W6BY CM97KH
QSO: 24G PH 2024-09-21 1742 K6ML CM87XG W6BY CM97KH
QSO: 10G PH 2024-09-21 1828 K6ML CM87XG AG6KG CM88WJ
QSO: 10G PH 2024-09-21 1832 K6ML CM87XG WF6R CM87VJ
QSO: 10G PH 2024-09-21 2011 K6ML CM87XG AA6PZ CM88WJ
