START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: 9A6C
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 9A6C
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2012.
QSO:  1800 CW 2012-05-26 0335 9A6C          599 9A2AJ         599 138
QSO:  1828 CW 2012-05-26 0336 9A6C          599 002 SV3RF         599 0107
QSO:  1836 CW 2012-05-26 0338 9A6C          599 0003 IK0XBX        599 0075
QSO:  7042 CW 2012-05-26 0340 9A6C          599 004 9A0Z          599 0353
QSO:  7042 CW 2012-05-26 0341 9A6C          599 005 9A201AA       599 0296
QSO:  7030 CW 2012-05-26 0343 9A6C          599 006 DQ4W          599 0327
QSO:  7022 CW 2012-05-26 0355 9A6C          599 0437 W3EF          599 0287
QSO: 14059 CW 2012-05-26 0513 9A6C          599 007 FM5CD         599 0523
QSO: 14035 CW 2012-05-26 0516 9A6C          599 008 KP2M          599 0636
QSO: 14019 CW 2012-05-26 0517 9A6C          599 0009 HK1NA         599 0583
QSO: 14010 CW 2012-05-26 0521 9A6C          599 12 NK7U          599 0581
QSO: 14011 CW 2012-05-26 0521 9A6C          599 0011 VK2IM         599 0424
QSO: 14003 CW 2012-05-26 0523 9A6C          599 13 WC1M          599 593
QSO: 14000 CW 2012-05-26 0525 9A6C          599 014 9A22P         599 0629
QSO: 21041 CW 2012-05-26 0530 9A6C          599 0015 ST2AR         599 0569
QSO: 21000 CW 2012-05-26 0534 9A6C          599 016 A5A           599 243
QSO: 21014 CW 2012-05-26 0535 9A6C          599 0017 9M2MT         599 0275
QSO: 21051 CW 2012-05-26 0538 9A6C          599 018 9K2RA         599 0635
QSO: 21068 CW 2012-05-26 0544 9A6C          599 019 A71EM         599 0589
QSO: 21021 CW 2012-05-26 0547 9A6C          599 021 A73A          599 0632
QSO: 21049 CW 2012-05-26 0548 9A6C          599 022 VK6DXI        599 357
QSO: 21076 CW 2012-05-26 0549 9A6C          599 0003 BA1GN/8       599 0031
QSO: 21026 CW 2012-05-26 0701 9A6C          599 024 5B/RN3QO      599 0367
QSO: 21017 CW 2012-05-26 0703 9A6C          599 025 6Y3W          599 0976
QSO: 21007 CW 2012-05-26 0706 9A6C          599 026 ED1R          599 0034
QSO: 21002 CW 2012-05-26 0712 9A6C          599 027 ZC4LI         599 0165
QSO: 21048 CW 2012-05-26 0744 9A6C          599 0028 TC7C          599 0794
QSO: 21027 CW 2012-05-26 0748 9A6C          599 029 A65BD         599 0505
QSO: 21000 CW 2012-05-26 0749 9A6C          599 030 UA9MA         599 549
QSO: 21019 CW 2012-05-26 0750 9A6C          599 031 B1Z           599 0340
QSO: 21003 CW 2012-05-26 0754 9A6C          599 32 RC9O          599 776
QSO: 21002 CW 2012-05-26 0755 9A6C          599 033 P33W          599 1408
QSO: 21000 CW 2012-05-26 0757 9A6C          599 035 KP2M          599 1006
QSO: 28021 CW 2012-05-26 0850 9A6C          599 035 P33W          599 1573
QSO: 28019 CW 2012-05-26 0851 9A6C          599 036 9A3VM         599 0105
QSO: 28000 CW 2012-05-26 0854 9A6C          599 037 C4Z           599 192
QSO: 28014 CW 2012-05-26 1126 9A6C          599 38 D3AA          599 197
QSO: 28037 CW 2012-05-26 1127 9A6C          599 0039 ST2AR         599 1284
QSO: 28000 CW 2012-05-26 1128 9A6C          599 040 5B/RN3QO      599 0885
QSO: 28000 CW 2012-05-26 1130 9A6C          599 0041 PW7T          599 0220
QSO: 28000 CW 2012-05-26 1131 9A6C          599 0044 PX2W          599 0657
QSO: 28009 CW 2012-05-26 1132 9A6C          599 45 R3KM          599 660
QSO: 28044 CW 2012-05-26 1135 9A6C          599 0046 ZW5B          599 0919
QSO: 28000 CW 2012-05-26 1136 9A6C          599 005 PX2C          599 0226
QSO: 28000 CW 2012-05-26 1139 9A6C          599 0048 PX1M          599 0081
QSO: 21023 CW 2012-05-26 1144 9A6C          599 49 6V7S          599 934
QSO: 21079 CW 2012-05-26 1149 9A6C          599 050 4L0A          599 0917
QSO: 21000 CW 2012-05-26 1154 9A6C          599 51 JT1E          599 401
QSO: 21027 CW 2012-05-26 1432 9A6C          599 0052 NP4Z          599 0685
QSO: 21019 CW 2012-05-26 1434 9A6C          599 074 EA8CAC        599 0633
QSO: 21022 CW 2012-05-26 1434 9A6C          599 0053 4Z5TK         599 0478
QSO: 21019 CW 2012-05-26 1435 9A6C          599 0055 KU1CW         599 1033
QSO: 21010 CW 2012-05-26 1437 9A6C          599 56 AA3B          599 1220
QSO: 21000 CW 2012-05-26 1443 9A6C          599 0057 ZX5J          599 1022
QSO: 21000 CW 2012-05-26 1538 9A6C          599 58 PW0F          599 979
QSO: 21093 CW 2012-05-26 1543 9A6C          599 059 6O3A          599 0290
QSO: 21052 CW 2012-05-26 1544 9A6C          599 60 TC2X          599 1049
QSO: 21044 CW 2012-05-26 1545 9A6C          599 0061 TK4A          599 0425
QSO: 21074 CW 2012-05-26 1548 9A6C          599 0062 V26E          599 0918
QSO: 14041 CW 2012-05-26 1647 9A6C          599 063 9V1YC         599 669
QSO: 14018 CW 2012-05-26 1650 9A6C          599 064 B1Z           599 0521
QSO: 14049 CW 2012-05-27 0421 9A6C          599 0066 ST2AR         599 2512
QSO: 14037 CW 2012-05-27 0423 9A6C          599 067 GM0F          599 2611
QSO: 14030 CW 2012-05-27 0424 9A6C          599 0068 NS1S          599 1366
QSO: 14017 CW 2012-05-27 0425 9A6C          599 0069 N5WR          599 2416
QSO: 14009 CW 2012-05-27 0427 9A6C          599 0070 WW2DX         599 2658
QSO: 14034 CW 2012-05-27 0533 9A6C          599 071 9A0Z          599 2164
QSO: 14000 CW 2012-05-27 0550 9A6C          599 072 NT2A          599 785
QSO: 14031 CW 2012-05-27 0551 9A6C          599 0073 K9CT          599 1372
QSO: 14066 CW 2012-05-27 0553 9A6C          599 0075 SV1ENG        599 1229
QSO: 14045 CW 2012-05-27 0555 9A6C          599 076 LY7A          599 1693
QSO: 14013 CW 2012-05-27 0607 9A6C          599 077 VK3TDX        599 1031
QSO: 14042 CW 2012-05-27 0706 9A6C          599 079 PJ4Y          599 1948
QSO: 14053 CW 2012-05-27 0710 9A6C          599 0080 P40H          599 2875
QSO: 21000 CW 2012-05-27 0713 9A6C          599 081 3V8BB         599 1891
QSO: 21091 CW 2012-05-27 0726 9A6C          599 082 SV9/SQ9UM     599 1178
QSO: 14020 CW 2012-05-27 0732 9A6C          599 83 6V7S          599 2581
QSO: 14007 CW 2012-05-27 0733 9A6C          599 084 6Y3W          599 3373
QSO: 14048 CW 2012-05-27 0735 9A6C          599 0085 TC7C          599 2565
QSO: 14033 CW 2012-05-27 0737 9A6C          599 086 SZ1A          599 1998
QSO: 14017 CW 2012-05-27 0738 9A6C          599 0087 RA4LW         599 0115
QSO: 14000 CW 2012-05-27 0741 9A6C          599 88 K3ZO          599 1694
QSO: 14014 CW 2012-05-27 0745 9A6C          599 089 CQ3B          599 3491
QSO: 14058 CW 2012-05-27 0748 9A6C          599 091 LY3Z          599 0159
QSO: 14062 CW 2012-05-27 0748 9A6C          599 0090 LZ8E          599 2207
QSO: 14054 CW 2012-05-27 0859 9A6C          599 093 9A1A          599 2085
QSO: 14054 CW 2012-05-27 0859 9A6C          599 092 DR1A          599 2433
QSO: 14054 CW 2012-05-27 0900 9A6C          599 0095 NN3L          599 1851
QSO: 14054 CW 2012-05-27 0900 9A6C          599 0094 RT2M          599 0952
QSO: 14030 CW 2012-05-27 0901 9A6C          599 096 LZ1FJ         599 315
QSO: 14054 CW 2012-05-27 0901 9A6C          599 097 OK1IC         599 1346
QSO: 14054 CW 2012-05-27 0902 9A6C          599 0098 RO6A          599 1227
QSO: 14054 CW 2012-05-27 0902 9A6C          599 0099 YT2T          599 1624
QSO: 14054 CW 2012-05-27 0903 9A6C          599 0101 PB2JJ         599 1243
QSO: 14054 CW 2012-05-27 0903 9A6C          599 100 RF9C          599 4024
QSO: 14000 CW 2012-05-27 0904 9A6C          599 0103 DL1NKS        599 0981
QSO: 14000 CW 2012-05-27 0904 9A6C          599 104 HG1S          599 1448
QSO: 14010 CW 2012-05-27 0904 9A6C          599 105 EW8OF         599 440
QSO: 14054 CW 2012-05-27 0904 9A6C          599 0102 LA8OM         599 1995
QSO: 14054 CW 2012-05-27 0905 9A6C          599 106 RV6YB         599 436
QSO: 14054 CW 2012-05-27 0905 9A6C          599 0107 YU2A          599 1483
QSO: 14054 CW 2012-05-27 0906 9A6C          599 0109 OG4T          599 1256
QSO: 14054 CW 2012-05-27 0906 9A6C          599 0110 R9SA          599 0911
QSO: 14054 CW 2012-05-27 0906 9A6C          599 108 RT4F          599 4311
QSO: 14054 CW 2012-05-27 0908 9A6C          599 111 OK3C          599 1058
QSO: 14054 CW 2012-05-27 0908 9A6C          599 112 SM6CNN        599 1121
QSO: 14054 CW 2012-05-27 0909 9A6C          599 0113 UT2DV         599 0784
QSO: 14054 CW 2012-05-27 0909 9A6C          599 114 YU5R          599 1377
QSO: 14055 CW 2012-05-27 0910 9A6C          599 0115 SN9V          599 1568
QSO: 14054 CW 2012-05-27 0911 9A6C          599 116 LZ7S          599 1219
QSO: 14000 CW 2012-05-27 0912 9A6C          599 117 OK1MKU        599 349
QSO: 14000 CW 2012-05-27 0913 9A6C          599 118 OM3TB         599 542
QSO: 14054 CW 2012-05-27 0913 9A6C          599 121 GQ8SRS        599 1290
QSO: 14054 CW 2012-05-27 0913 9A6C          599 119 KM3T          599 3161
QSO: 14054 CW 2012-05-27 0914 9A6C          599 122 SK3W          599 1568
QSO: 14054 CW 2012-05-27 0915 9A6C          599 0123 RW4WA         599 1561
QSO: 14054 CW 2012-05-27 0916 9A6C          599 0124 UA9LAO        599 0965
QSO: 14054 CW 2012-05-27 0917 9A6C          599 125 DP9A          599 1677
QSO: 14000 CW 2012-05-27 0919 9A6C          599 128 HA6OZ         599 328
QSO: 14054 CW 2012-05-27 0919 9A6C          599 127 ES9C          599 4277
QSO: 14054 CW 2012-05-27 0920 9A6C          599 0130 DL6KVA        599 1523
QSO: 14054 CW 2012-05-27 0920 9A6C          599 129 OL4A          599 1520
