START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: WE1SAX
LOCATION: CT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: FN31TO
CLAIMED-SCORE: 55413
NAME: Jim Payant
OPERATORS: WE1SAX
CLUB: YANKEE CLIPPER CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.9057.0
SOAPBOX:   Tnx for the        qsos, Less             than 10  hours            on   air.  QRN
QSO:   21248  PH 2021-03-27 1757  WE1SAX           59   0001 P45A             59   0840 
QSO:   21246  PH 2021-03-27 1809  WE1SAX           59   0002 TG9ANF           59   0526 
QSO:   21223  PH 2021-03-27 1815  WE1SAX           59   0003 WP4X             59   1590 
QSO:   21275  PH 2021-03-27 1819  WE1SAX           59   0004 FM5BH            59   1636 
QSO:   21303  PH 2021-03-27 1826  WE1SAX           59   0005 P40A             59   1720 
QSO:   21327  PH 2021-03-27 1833  WE1SAX           59   0006 KT7E             59   0111 
QSO:   21337  PH 2021-03-27 1837  WE1SAX           59   0007 N7RQ             59   0281 
QSO:   28468  PH 2021-03-27 1845  WE1SAX           59   0008 YV4ABR           59   0158 
QSO:   28473  PH 2021-03-27 1846  WE1SAX           59   0009 YV5NEA           59   0043 
QSO:   28403  PH 2021-03-27 1849  WE1SAX           59   0010 OA4DTU           59   0116 
QSO:   28330  PH 2021-03-27 1851  WE1SAX           59   0011 P40A             59   1775 
QSO:   14153  PH 2021-03-27 1857  WE1SAX           59   0012 KQ2M             59   0553 
QSO:   14156  PH 2021-03-27 1858  WE1SAX           59   0013 S53M             59   1531 
QSO:   14160  PH 2021-03-27 1900  WE1SAX           59   0014 IK2YGZ           59   0313 
QSO:   14167  PH 2021-03-27 1901  WE1SAX           59   0015 KK5I             59   0972 
QSO:   14169  PH 2021-03-27 1902  WE1SAX           59   0016 HG7T             59   0872 
QSO:   14181  PH 2021-03-27 1907  WE1SAX           59   0017 KM4HI            59   0368 
QSO:   14190  PH 2021-03-27 1908  WE1SAX           59   0018 OM77PA           59   0900 
QSO:   14190  PH 2021-03-27 1910  WE1SAX           59   0019 OM5M             59   0365 
QSO:   14198  PH 2021-03-27 1912  WE1SAX           59   0020 VE3CX            59   1050 
QSO:   14200  PH 2021-03-27 1913  WE1SAX           59   0021 HA4A             59   0690 
QSO:   14219  PH 2021-03-27 1919  WE1SAX           59   0022 NR7DX            59   0932 
QSO:   14225  PH 2021-03-27 1921  WE1SAX           59   0023 IR6T             59   1008 
QSO:   14233  PH 2021-03-27 1922  WE1SAX           59   0024 IK2HKT           59   0079 
QSO:   14236  PH 2021-03-27 1923  WE1SAX           59   0025 IR4M             59   0693 
QSO:   14226  PH 2021-03-27 1924  WE1SAX           59   0026 KV0I             59   0385 
QSO:   14230  PH 2021-03-27 1925  WE1SAX           59   0027 YU5R             59   1036 
QSO:   14240  PH 2021-03-27 1926  WE1SAX           59   0028 IK0ETA           59   1208 
QSO:   14239  PH 2021-03-27 1928  WE1SAX           59   0029 YT5A             59   1298 
QSO:   14252  PH 2021-03-27 1930  WE1SAX           59   0030 S50K             59   1589 
QSO:   14255  PH 2021-03-27 1932  WE1SAX           59   0031 HA3NU            59   0153 
QSO:   14262  PH 2021-03-27 1933  WE1SAX           59   0032 WI0WA            59   0841 
QSO:   14276  PH 2021-03-27 1934  WE1SAX           59   0033 VA7RR            59   0596 
QSO:   14280  PH 2021-03-27 1935  WE1SAX           59   0034 E7DX             59   2654 
QSO:   14325  PH 2021-03-27 1945  WE1SAX           59   0035 ND7K             59   1122 
QSO:   14341  PH 2021-03-27 1946  WE1SAX           59   0036 KT7E             59   0464 
QSO:   14346  PH 2021-03-27 1948  WE1SAX           59   0037 NJ6G             59   0548 
QSO:   14349  PH 2021-03-27 1948  WE1SAX           59   0038 YT1X             59   1464 
