START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: F5GGL
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: IN94RS
CLAIMED-SCORE: 14960
NAME: zabalza jean louis
OPERATORS: F5GGL
CREATED-BY: Win-Test 4.34.1
SOAPBOX: TS440 pwr 50W ant om for 80m Linv and MA5V
QSO: 14188 PH 2021-03-27 1555 F5GGL     59  0001 SV2QNP     59   076
QSO: 14188 PH 2021-03-27 1555 F5GGL     59  0002 Z35T       59   933
QSO: 14205 PH 2021-03-27 1723 F5GGL     59  0003 IO9J       59   188
QSO: 14205 PH 2021-03-27 1726 F5GGL     59  0004 EF8K       59   178
QSO: 14293 PH 2021-03-27 1743 F5GGL     59  0005 TM0R       59   837
QSO:  7165 PH 2021-03-27 2216 F5GGL     59  0006 LY7Z       59  1873
QSO:  7165 PH 2021-03-27 2226 F5GGL     59  0007 UY5ZM      59   800
QSO:  7165 PH 2021-03-27 2228 F5GGL     59  0008 OM7RU      59   473
QSO:  7165 PH 2021-03-27 2230 F5GGL     59  0009 VE9CB      59  1453
QSO:  7165 PH 2021-03-27 2233 F5GGL     59  0010 YO8BDW     59   946
QSO:  3708 PH 2021-03-27 2246 F5GGL     59  0011 YT5A       59   600
QSO:  3784 PH 2021-03-27 2250 F5GGL     59  0012 LZ2VU      59   700
QSO:  3784 PH 2021-03-27 2255 F5GGL     59  0013 SO4R       59   554
QSO:  3784 PH 2021-03-27 2258 F5GGL     59  0014 F5LIW      59   714
QSO:  3784 PH 2021-03-27 2301 F5GGL     59  0015 9A3B       59   990
QSO:  3784 PH 2021-03-27 2303 F5GGL     59  0016 EE5T       59   070
QSO:  3784 PH 2021-03-27 2304 F5GGL     59  0017 YL3CW      59   926
QSO:  3784 PH 2021-03-27 2307 F5GGL     59  0018 IR1Q       59   390
QSO:  3784 PH 2021-03-27 2309 F5GGL     59  0019 IZ3NYG     59   551
QSO:  3784 PH 2021-03-27 2311 F5GGL     59  0020 IK3UNA     59  1197
QSO:  3784 PH 2021-03-27 2314 F5GGL     59  0021 PA9M       59   940
QSO:  3784 PH 2021-03-27 2318 F5GGL     59  0022 PB00T      59   906
QSO:  3784 PH 2021-03-27 2321 F5GGL     59  0023 ED4W       59   856
QSO:  3784 PH 2021-03-27 2324 F5GGL     59  0024 OL0W       59   463
QSO:  3784 PH 2021-03-27 2327 F5GGL     59  0025 OM6NM      59   897
QSO:  3784 PH 2021-03-27 2329 F5GGL     59  0026 DH8BQA     59   571
QSO:  1841 PH 2021-03-27 2331 F5GGL     59  0027 OM2XW      59   288
QSO:  3784 PH 2021-03-27 2338 F5GGL     59  0028 S53M       59  1839
QSO:  3784 PH 2021-03-27 2339 F5GGL     59  0029 LZ9W       59  1058
QSO:  3784 PH 2021-03-27 2342 F5GGL     59  0030 CR6K       59  2254
QSO:  3784 PH 2021-03-27 2344 F5GGL     59  0031 IR4K       59  1185
QSO:  3784 PH 2021-03-27 2345 F5GGL     59  0032 HA1TJ      59   801
QSO:  3784 PH 2021-03-27 2348 F5GGL     59  0033 EA3IKA     59   998
QSO:  3784 PH 2021-03-27 2350 F5GGL     59  0034 UT5X       59   956
QSO:  3784 PH 2021-03-27 2352 F5GGL     59  0035 TM0R       59  1279
QSO:  3784 PH 2021-03-27 2353 F5GGL     59  0036 S54ZZ      59  1052
QSO:  3784 PH 2021-03-27 2355 F5GGL     59  0037 G4PIQ      59   308
QSO:  3784 PH 2021-03-27 2356 F5GGL     59  0038 9A50Y      59  1237
QSO:  3784 PH 2021-03-27 2357 F5GGL     59  0039 DK1FW      59   230
QSO:  3784 PH 2021-03-27 2359 F5GGL     59  0040 DK5DQ      59   518
QSO:  3784 PH 2021-03-28 0003 F5GGL     59  0041 LZ5R       59  1835
QSO:  3784 PH 2021-03-28 0004 F5GGL     59  0042 II2S       59   712
QSO:  3784 PH 2021-03-28 0007 F5GGL     59  0043 HB9NE      59  1777
QSO:  3784 PH 2021-03-28 0008 F5GGL     59  0044 RT4F       59   501
QSO:  3784 PH 2021-03-28 0010 F5GGL     59  0045 M1U        59   796
QSO:  3784 PH 2021-03-28 0013 F5GGL     59  0046 DD8SM      59   596
QSO:  3784 PH 2021-03-28 0015 F5GGL     59  0047 9A10FF     59   341
QSO:  3784 PH 2021-03-28 0018 F5GGL     59  0048 LY2O       59   538
QSO:  3784 PH 2021-03-28 0021 F5GGL     59  0049 IQ5PJ      59   344
QSO:  3784 PH 2021-03-28 0023 F5GGL     59  0050 RW2F       59   903
QSO:  7098 PH 2021-03-28 0806 F5GGL     59  0051 YT3D       59  1031
QSO:  7098 PH 2021-03-28 0808 F5GGL     59  0052 OR1Z       59   783
QSO:  7098 PH 2021-03-28 0810 F5GGL     59  0053 DL1CG      59   680
QSO:  7098 PH 2021-03-28 0811 F5GGL     59  0054 OH0V       59  1906
QSO: 14219 PH 2021-03-28 0834 F5GGL     59  0055 UB8A       59  1733
QSO: 14226 PH 2021-03-28 0920 F5GGL     59  0056 SF4D       59   534
QSO: 14226 PH 2021-03-28 0922 F5GGL     59  0057 II8K       59  2826
QSO: 14275 PH 2021-03-28 0938 F5GGL     59  0058 YT1X       59  1786
QSO: 21219 PH 2021-03-28 1011 F5GGL     59  0059 4X7R       59  2263
QSO: 21219 PH 2021-03-28 1321 F5GGL     59  0060 RC7A       59   474
QSO: 21219 PH 2021-03-28 1326 F5GGL     59  0061 FR4NT      59  1608
QSO: 21219 PH 2021-03-28 1345 F5GGL     59  0062 UW2M       59  3823
QSO: 21219 PH 2021-03-28 1346 F5GGL     59  0063 R3RZ       59   641
QSO: 21219 PH 2021-03-28 1349 F5GGL     59  0064 RL4F       59  2393
QSO: 21219 PH 2021-03-28 1356 F5GGL     59  0065 YW4E       59   632
QSO: 21262 PH 2021-03-28 1406 F5GGL     59  0066 4L0G       59  3517
QSO: 21192 PH 2021-03-28 1418 F5GGL     59  0067 TM0R       59  2204
QSO: 21192 PH 2021-03-28 1419 F5GGL     59  0068 R3ZZ       59   618
QSO: 14324 PH 2021-03-28 1519 F5GGL     59  0069 RT3F       59  2563
QSO: 14324 PH 2021-03-28 1520 F5GGL     59  0070 YT0W       59   856
QSO: 14291 PH 2021-03-28 1533 F5GGL     59  0071 OW2KW      59   660
QSO: 14291 PH 2021-03-28 1606 F5GGL     59  0072 ES9C       59  3711
QSO: 14291 PH 2021-03-28 1610 F5GGL     59  0073 EW5A       59  4488
QSO: 14291 PH 2021-03-28 1619 F5GGL     59  0074 UV5U       59  1045
QSO: 14291 PH 2021-03-28 1639 F5GGL     59  0075 HG7T       59  1355
QSO: 14291 PH 2021-03-28 1648 F5GGL     59  0076 SQ9DJD     59   056
QSO:  3799 PH 2021-03-28 2121 F5GGL     59  0077 LX1UN      59   582
