START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: KG6DNY
LOCATION: LAX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: DM04
CLAIMED-SCORE: 270
NAME: Lynn O'Connell
OPERATORS: KG6DNY
CLUB: PASADENA RADIO CLUB
CREATED-BY: N3FJP's CQ WPX Contest Log 4.8
SOAPBOX: Rig is Yaesu FT-7 10 watts SSB Wire antenna thru tuner.
QSO:    7000  PH 2021-03-27 1821  KG6DNY           59   001 ND7K             59   1659   0
QSO:    7000  PH 2021-03-27 1830  KG6DNY           59   002 NR6O             59   1047   0
QSO:   21000  PH 2021-03-27 1859  KG6DNY           59   003 KR4Z             59   270   0
QSO:   21000  PH 2021-03-27 1901  KG6DNY           59   004 KS9R             59   675   0
QSO:   21000  PH 2021-03-27 1958  KG6DNY           59   005 KV4T             59   207   0
QSO:   21000  PH 2021-03-27 2029  KG6DNY           59   006 KD5JRY           59   672   0
QSO:   21000  PH 2021-03-27 2033  KG6DNY           59   007 W6UE             59   150   0
QSO:   21000  PH 2021-03-27 2229  KG6DNY           59   008 N6KN             59   89    0
QSO:   14000  PH 2021-03-28 0029  KG6DNY           59   009 WI0WA            59   1368   0
QSO:   14000  PH 2021-03-28 0327  KG6DNY           59   010 N6LL             59   8     0
QSO:    7000  PH 2021-03-28 0358  KG6DNY           59   011 KA6BIM           59   1249   0
QSO:    7000  PH 2021-03-28 0410  KG6DNY           59   012 WW7E             59   926   0
QSO:   21000  PH 2021-03-28 1957  KG6DNY           59   013 N6LL             59   66    0
QSO:   21000  PH 2021-03-28 2053  KG6DNY           59   014 4A5E             59   472   0
QSO:   21000  PH 2021-03-28 2105  KG6DNY           59   015 WW1X             59   551   0
QSO:   14000  PH 2021-03-28 2317  KG6DNY           59   016 K0TT             59   752   0
QSO:   14000  PH 2021-03-28 2322  KG6DNY           59   017 W0PR             59   1250   0
END-OF-LOG:
