START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: DO3ME
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DO3ME
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO: 21302 PH 2013-03-30 0854 DO3ME         59 RT4W          59 36
QSO: 21325 PH 2013-03-30 0855 DO3ME         59 0002 RF9C          59 0446
QSO: 21380 PH 2013-03-30 0858 DO3ME         59 003 5B4KH         59 0458
QSO: 28528 PH 2013-03-30 0909 DO3ME         59 0004 4Z5IW         59 0181
QSO: 21200 PH 2013-03-30 0916 DO3ME         59 005 4L0A          59 0424
QSO: 21181 PH 2013-03-30 0953 DO3ME         59 005 H27A          59 2073
QSO: 21277 PH 2013-03-30 0957 DO3ME         59 007 EB8AH         59 1451
QSO: 28486 PH 2013-03-30 1001 DO3ME         59 0008 EF1W          59 0289
QSO: 21165 PH 2013-03-30 1047 DO3ME         59 9 RK9SWF        59 448
QSO: 21000 PH 2013-03-30 1050 DO3ME         59 10 JH4UYB        59 582
QSO: 21143 PH 2013-03-30 1052 DO3ME         59 011 9K2HN         59 0490
QSO: 21148 PH 2013-03-30 1053 DO3ME         59 0012 RX4W          59 0274
QSO: 21150 PH 2013-03-30 1054 DO3ME         59 13 RM3Q          59 706
QSO: 21158 PH 2013-03-30 1054 DO3ME         59 14 RT4RO         59 839
QSO: 21438 PH 2013-03-30 1057 DO3ME         59 015 ZZ2T          59 681
QSO: 28377 PH 2013-03-30 1226 DO3ME         59 016 H2T           59 1250
QSO: 21387 PH 2013-03-30 1236 DO3ME         59 0016 JA6LCJ        59 0469
QSO: 21391 PH 2013-03-30 1238 DO3ME         59 17 RK0W          59 317
QSO: 21128 PH 2013-03-30 1407 DO3ME         59 018 P40L          59 1431
QSO: 21000 PH 2013-03-30 1411 DO3ME         59 0019 YC1LA         59 0492
QSO: 21146 PH 2013-03-30 1413 DO3ME         59 040 C4Z           59 896
QSO: 28518 PH 2013-03-30 1417 DO3ME         59 021 EB8AH         59 2223
QSO: 21135 PH 2013-03-30 1612 DO3ME         59 0022 YE1K          59 1018
QSO: 21144 PH 2013-03-30 1614 DO3ME         59 0023 PR5D          59 0323
