START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: 9A9RR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 9A9RR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO: 21292 PH 2013-03-30 1813 9A9RR         59 KK5I          59 398
QSO: 21295 PH 2013-03-30 1814 9A9RR         59 002 4O7ZZ         59 1312
QSO: 21000 PH 2013-03-30 1815 9A9RR         59 0003 CX3AL         59 0296
QSO: 21305 PH 2013-03-30 1816 9A9RR         59 004 OE8Q          59 1040
QSO: 21315 PH 2013-03-30 1819 9A9RR         59 0005 PR7AE         59 0057
QSO: 21000 PH 2013-03-30 1821 9A9RR         59 0007 ZP9MCE        59 0346
QSO: 21316 PH 2013-03-30 1821 9A9RR         59 6 KQ2M          59 1183
QSO: 21327 PH 2013-03-30 1824 9A9RR         59 08 NV9L          59 1286
QSO: 21340 PH 2013-03-30 1824 9A9RR         59 0009 LR3M          59 0750
QSO: 21345 PH 2013-03-30 1825 9A9RR         59 010 DQ8N          59 0881
QSO: 21352 PH 2013-03-30 1830 9A9RR         59 011 CQ9T          59 1980
QSO: 21363 PH 2013-03-30 1833 9A9RR         59 012 5D5A          59 2914
QSO: 21367 PH 2013-03-30 1834 9A9RR         59 0013 CE3CT         59 0841
QSO: 21370 PH 2013-03-30 1837 9A9RR         59 0014 PT2IC         59 0267
QSO: 21000 PH 2013-03-30 1838 9A9RR         59 0015 PY2EL         59 0375
QSO: 21384 PH 2013-03-30 1840 9A9RR         59 016 TM6M          59 0824
QSO: 21385 PH 2013-03-30 1844 9A9RR         59 017 EI4GNB        59 230
QSO: 21385 PH 2013-03-30 1845 9A9RR         59 018 K1LZ          59 1954
QSO: 21000 PH 2013-03-30 1847 9A9RR         59 0019 ZV5D          59 0177
QSO: 21385 PH 2013-03-30 1850 9A9RR         59 0020 G0CER         59 0068
QSO: 21384 PH 2013-03-30 1853 9A9RR         59 021 RT5Z          59 1108
QSO: 21000 PH 2013-03-30 1855 9A9RR         59 0022 PQ5B          59 2101
QSO: 21000 PH 2013-03-30 1858 9A9RR         59 0023 YY4KWB        59 0321
QSO: 21000 PH 2013-03-30 1902 9A9RR         59 24 HD2A          59 1931
QSO: 21373 PH 2013-03-30 1905 9A9RR         59 0025 PY4OG         59 1068
QSO: 21354 PH 2013-03-30 1908 9A9RR         59 026 EB8AH         59 3068
QSO: 21345 PH 2013-03-30 1919 9A9RR         59 0028 M0TQR         59 0097
QSO: 21000 PH 2013-03-30 1923 9A9RR         59 029 PW5G          59 1147
QSO: 21000 PH 2013-03-30 1925 9A9RR         59 0030 HK3JJH        59 0466
QSO: 21300 PH 2013-03-30 1926 9A9RR         59 0031 CX4BW         59 0382
QSO: 21200 PH 2013-03-30 1928 9A9RR         59 032 E77XZ         59 1396
QSO: 21264 PH 2013-03-30 1931 9A9RR         59 033 PW2D          59 0234
QSO: 21000 PH 2013-03-30 1934 9A9RR         59 0034 LR1F          59 0244
QSO: 21224 PH 2013-03-30 1943 9A9RR         59 035 D4C           59 1585
QSO: 21220 PH 2013-03-30 1944 9A9RR         59 036 LV5V          59 0776
QSO: 21218 PH 2013-03-30 1945 9A9RR         59 0037 S53F          59 1071
QSO: 21181 PH 2013-03-30 1949 9A9RR         59 0028 PY2OE         59 1008
QSO: 14180 PH 2013-03-30 1952 9A9RR         59 39 WU3A          59 1077
QSO: 14000 PH 2013-03-30 1953 9A9RR         59 0040 S51CK         59 1226
QSO: 14000 PH 2013-03-30 1957 9A9RR         59 0042 TM7F          59 1335
QSO: 14196 PH 2013-03-30 1957 9A9RR         59 043 YT0Z          59 1397
QSO: 14199 PH 2013-03-30 1959 9A9RR         59 044 NS1L          59 0886
QSO: 14204 PH 2013-03-30 2000 9A9RR         59 0045 KC3R          59 1150
QSO: 14206 PH 2013-03-30 2005 9A9RR         59 046 TG0AA         59 563
QSO: 14208 PH 2013-03-30 2006 9A9RR         59 047 HA8JV         59 1425
QSO: 14216 PH 2013-03-30 2008 9A9RR         59 0048 IR6T          59 1446
QSO: 14217 PH 2013-03-30 2011 9A9RR         59 049 LZ9W          59 1163
QSO: 14000 PH 2013-03-30 2012 9A9RR         59 050 VE2GSO        59 283
QSO: 14225 PH 2013-03-30 2014 9A9RR         59 0051 KJ3X          59 2094
QSO: 14226 PH 2013-03-30 2014 9A9RR         59 052 NV1N          59 0923
QSO: 14000 PH 2013-03-30 2017 9A9RR         59 053 IR6D          59 066
QSO: 14249 PH 2013-03-30 2019 9A9RR         59 054 5D5A          59 3187
QSO: 14258 PH 2013-03-30 2020 9A9RR         59 0055 VE9HF         59 1080
QSO: 14262 PH 2013-03-30 2021 9A9RR         59 56 CF3A          59 1887
QSO: 14266 PH 2013-03-30 2024 9A9RR         59 057 IR4M          59 1295
QSO: 14271 PH 2013-03-30 2027 9A9RR         59 058 E7DX          59 2256
QSO: 14292 PH 2013-03-30 2028 9A9RR         59 059 OL7M          59 1062
QSO: 14243 PH 2013-03-30 2032 9A9RR         59 0060 KS2G          59 0142
QSO: 14243 PH 2013-03-30 2033 9A9RR         59 061 YU1ARC        59 1409
QSO: 14243 PH 2013-03-30 2034 9A9RR         59 0063 LZ4RR         59 1559
QSO: 14243 PH 2013-03-30 2036 9A9RR         59 065 KC8RPV        59 048
QSO: 14003 PH 2013-03-30 2037 9A9RR         59 066 F4DLL         59 0168
QSO: 14000 PH 2013-03-30 2039 9A9RR         59 067 KD4YDD        59 095
QSO: 14243 PH 2013-03-30 2044 9A9RR         59 0069 W3FIZ         59 0224
QSO: 14242 PH 2013-03-30 2055 9A9RR         59 074 NQ4I          59 1152
QSO: 14243 PH 2013-03-30 2113 9A9RR         59 0078 K1TH          59 0038
QSO: 14242 PH 2013-03-30 2114 9A9RR         59 79 VA2AFH        59 196
