START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: JR1MEG/1
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JR1MEG/1
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO: 21000 PH 2013-03-30 0204 JR1MEG/1      59 RA0CGY        59 119
QSO: 21198 PH 2013-03-30 0205 JR1MEG/1      59 0002 KH0/RA0FU     59 0193
QSO: 21000 PH 2013-03-30 0209 JR1MEG/1      59 0004 9M6SDX        59 0149
QSO: 21207 PH 2013-03-30 0210 JR1MEG/1      59 0005 VK4KW         59 0205
QSO: 21000 PH 2013-03-30 0211 JR1MEG/1      59 6 DV1HF         59 103
QSO: 21200 PH 2013-03-30 0213 JR1MEG/1      59 006 JA7NVF        59 0123
QSO: 21000 PH 2013-03-30 0216 JR1MEG/1      59 008 VK6NC         59 0217
QSO: 21000 PH 2013-03-30 0219 JR1MEG/1      59 009 B3C           59 184
QSO: 21254 PH 2013-03-30 0222 JR1MEG/1      59 0010 YE1K          59 0227
QSO: 21000 PH 2013-03-30 0229 JR1MEG/1      59 014 PW5G          59 0367
QSO: 21267 PH 2013-03-30 0231 JR1MEG/1      59 13 HS0ZDG        59 234
QSO: 21000 PH 2013-03-30 0233 JR1MEG/1      59 014 KH2KY         59 250
QSO: 21284 PH 2013-03-30 0237 JR1MEG/1      59 0015 BG4FRZ        59 0049
QSO: 21296 PH 2013-03-30 0237 JR1MEG/1      59 017 KL7RA         59 0250
QSO: 21000 PH 2013-03-30 0238 JR1MEG/1      59 016 BY4IB         59 45
QSO: 21305 PH 2013-03-30 0240 JR1MEG/1      59 0018 DU1EG         59 0099
QSO: 21312 PH 2013-03-30 0242 JR1MEG/1      59 0019 VR2XMT        59 0255
QSO: 21000 PH 2013-03-30 0244 JR1MEG/1      59 0020 BH4SCF        59 0104
QSO: 21336 PH 2013-03-30 0247 JR1MEG/1      59 022 RW0UU         59 133
QSO: 21000 PH 2013-03-30 0254 JR1MEG/1      59 0024 BW2/JP1RIW    59 0214
QSO: 21000 PH 2013-03-30 0255 JR1MEG/1      59 0025 LU9FHF        59 0169
QSO: 21000 PH 2013-03-30 0258 JR1MEG/1      59 26 DX1MK         59 74
QSO: 21301 PH 2013-03-30 0300 JR1MEG/1      59 027 UC0A          59 071
QSO: 21290 PH 2013-03-30 0303 JR1MEG/1      59 0022 BD5HSV        59 0109
QSO: 21272 PH 2013-03-30 0308 JR1MEG/1      59 029 B4S           59 0161
QSO: 21273 PH 2013-03-30 0309 JR1MEG/1      59 0030 BD5FFK        59 0141
QSO: 21268 PH 2013-03-30 0310 JR1MEG/1      59 0031 LR3M          59 0328
QSO: 21263 PH 2013-03-30 0311 JR1MEG/1      59 32 R0DX          59 274
QSO: 21226 PH 2013-03-30 0320 JR1MEG/1      59 0034 CE3CT         59 0453
QSO: 21215 PH 2013-03-30 0326 JR1MEG/1      59 35 RK0W          59 45
QSO: 21000 PH 2013-03-30 0332 JR1MEG/1      59 0036 YB1C          59 0224
QSO: 21210 PH 2013-03-30 0339 JR1MEG/1      59 0030 CV5D          59 0332
QSO: 21219 PH 2013-03-30 0343 JR1MEG/1      59 38 RC9O          59 304
QSO: 21292 PH 2013-03-30 0353 JR1MEG/1      59 039 DZ1B          59 0273
QSO: 21303 PH 2013-03-30 0356 JR1MEG/1      59 0041 KH7Y          59 0141
QSO: 21360 PH 2013-03-30 0359 JR1MEG/1      59 0042 T2TT          59 0227
QSO: 21346 PH 2013-03-30 0402 JR1MEG/1      59 0044 JE1ZWT        59 0071
QSO: 21366 PH 2013-03-30 0402 JR1MEG/1      59 0043 BP0P          59 0179
QSO: 21295 PH 2013-03-30 0406 JR1MEG/1      59 0046 BY5CD         59 0152
QSO: 21297 PH 2013-03-30 0406 JR1MEG/1      59 40 BY4IIG        59 144
