START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: PE1RUS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PE1RUS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO: 14266 PH 2013-03-30 0811 PE1RUS        59 WP2Z          59 1298
QSO: 14337 PH 2013-03-30 0813 PE1RUS        59 0002 ZL4AS         59 0350
QSO: 14128 PH 2013-03-30 0823 PE1RUS        59 3 UT7Y          59 115
QSO: 14311 PH 2013-03-30 0825 PE1RUS        59 0004 4Z5IW         59 0124
QSO: 14000 PH 2013-03-30 0826 PE1RUS        59 5 EY7BJ         59 57
QSO: 14132 PH 2013-03-30 0828 PE1RUS        59 006 CQ9T          59 0566
QSO: 14000 PH 2013-03-30 0829 PE1RUS        59 007 Z39A          59 0114
QSO: 14130 PH 2013-03-30 0831 PE1RUS        59 008 VK6NC         59 0525
QSO: 14136 PH 2013-03-30 0833 PE1RUS        59 009 EA4RCH        59 0204
QSO: 14139 PH 2013-03-30 0834 PE1RUS        59 10 UR7EN         59 361
QSO: 14146 PH 2013-03-30 0836 PE1RUS        59 11 EO7U          59 563
QSO: 14146 PH 2013-03-30 0837 PE1RUS        59 0012 YT5CT         59 0249
QSO: 14302 PH 2013-03-30 0844 PE1RUS        59 0013 SJ2W          59 0250
QSO: 14143 PH 2013-03-30 0845 PE1RUS        59 0014 EF1W          59 0192
QSO: 14216 PH 2013-03-30 0847 PE1RUS        59 0015 LZ4RR         59 0553
QSO: 14250 PH 2013-03-30 0851 PE1RUS        59 0016 OG73X         59 0448
QSO: 14242 PH 2013-03-30 0852 PE1RUS        59 017 ED1R          59 0936
QSO: 14248 PH 2013-03-30 0852 PE1RUS        59 0018 UA1ANA        59 0138
QSO: 14206 PH 2013-03-30 0854 PE1RUS        59 019 TM1T          59 0214
QSO: 14165 PH 2013-03-30 0856 PE1RUS        59 020 3V8BB         59 0611
QSO: 14192 PH 2013-03-30 0858 PE1RUS        59 021 YT4W          59 0356
QSO: 14206 PH 2013-03-30 0859 PE1RUS        59 022 PR5B          59 1259
QSO: 14234 PH 2013-03-30 0901 PE1RUS        59 023 ZL3IO         59 311
QSO: 14235 PH 2013-03-30 0902 PE1RUS        59 0024 RF9C          59 0835
QSO: 14226 PH 2013-03-30 0903 PE1RUS        59 025 RM5A          59 0941
QSO: 14200 PH 2013-03-30 0907 PE1RUS        59 026 LZ9W          59 0408
QSO: 14219 PH 2013-03-30 1650 PE1RUS        59 027 YT0Z          59 1176
QSO: 14000 PH 2013-03-30 1653 PE1RUS        59 028 B3C           59 294
QSO: 14166 PH 2013-03-30 1656 PE1RUS        59 029 B7JA          59 0889
QSO: 14137 PH 2013-03-30 1659 PE1RUS        59 0030 SK2T          59 0801
QSO: 14200 PH 2013-03-30 1700 PE1RUS        59 031 UR5AS         59 854
QSO: 14113 PH 2013-03-30 1701 PE1RUS        59 0032 OH2K          59 0378
QSO: 14108 PH 2013-03-30 1703 PE1RUS        59 0033 DF1IAQ        59 0227
QSO: 14000 PH 2013-03-30 1709 PE1RUS        59 0035 UA9JDP        59 0904
QSO: 14260 PH 2013-03-31 0759 PE1RUS        59 0037 ZL3X          59 0724
QSO: 28000 PH 2013-03-31 0808 PE1RUS        59 0039 4X6DK         59 0025
QSO: 28430 PH 2013-03-31 0810 PE1RUS        59 0038 4X0A          59 0752
QSO: 21223 PH 2013-03-31 0916 PE1RUS        59 0040 SV9GPV        59 2475
QSO: 21409 PH 2013-03-31 0917 PE1RUS        59 41 RV9CBW        59 1064
QSO: 14218 PH 2013-03-31 0921 PE1RUS        59 42 UA5B          59 2451
QSO: 21000 PH 2013-03-31 0937 PE1RUS        59 44 D3AA          59 747
QSO: 21198 PH 2013-03-31 0939 PE1RUS        59 045 P33W          59 5811
QSO: 21182 PH 2013-03-31 0944 PE1RUS        59 046 H2T           59 2517
QSO: 21405 PH 2013-03-31 0945 PE1RUS        59 047 UY7MM         59 2027
QSO: 21234 PH 2013-03-31 0948 PE1RUS        59 0049 LZ2JA         59 0358
QSO: 21000 PH 2013-03-31 0949 PE1RUS        59 0050 PQ5B          59 3280
QSO: 21288 PH 2013-03-31 0953 PE1RUS        59 0051 EO3Q          59 1909
QSO: 28467 PH 2013-03-31 0958 PE1RUS        59 052 9K2HN         59 1180
QSO: 28000 PH 2013-03-31 1000 PE1RUS        59 053 D4C           59 1582
QSO: 21000 PH 2013-03-31 1004 PE1RUS        59 055 A60A          59 1461
QSO: 21328 PH 2013-03-31 1005 PE1RUS        59 056 UI4I          59 326
QSO: 21190 PH 2013-03-31 1016 PE1RUS        59 057 H27A          59 5934
QSO: 21182 PH 2013-03-31 1017 PE1RUS        59 0058 UW7LL         59 2337
QSO: 21000 PH 2013-03-31 1021 PE1RUS        59 059 ED9Z          59 1625
QSO: 21149 PH 2013-03-31 1023 PE1RUS        59 60 R9AE          59 1189
QSO: 21250 PH 2013-03-31 1024 PE1RUS        59 61 RW4W          59 1104
QSO: 21172 PH 2013-03-31 1025 PE1RUS        59 62 RT4RO         59 2564
QSO: 21000 PH 2013-03-31 1234 PE1RUS        59 064 KH2KY         59 863
QSO: 21262 PH 2013-03-31 1248 PE1RUS        59 0066 R100AP        59 0647
QSO: 21437 PH 2013-03-31 1249 PE1RUS        59 067 P40Z          59 3434
QSO: 21000 PH 2013-03-31 1251 PE1RUS        59 070 SY1AEA        59 516
QSO: 21440 PH 2013-03-31 1251 PE1RUS        59 068 VU2NKS        59 669
QSO: 21280 PH 2013-03-31 1253 PE1RUS        59 69 WR3Z          59 2526
QSO: 21000 PH 2013-03-31 1310 PE1RUS        59 071 YP3A          59 626
QSO: 21208 PH 2013-03-31 1313 PE1RUS        59 0072 KD4D          59 2443
QSO: 21292 PH 2013-03-31 1316 PE1RUS        59 0073 XE1OGG        59 0597
QSO: 21287 PH 2013-03-31 1318 PE1RUS        59 074 IT9ZGY        59 1649
QSO: 28480 PH 2013-03-31 1323 PE1RUS        59 075 PX5E          59 2956
QSO:  7047 PH 2013-03-31 1950 PE1RUS        59 0076 4U1ITU        59 1011
QSO:  7199 PH 2013-03-31 1953 PE1RUS        59 77 RT4F          59 4134
QSO:  7000 PH 2013-03-31 1955 PE1RUS        59 078 IZ3SQW        59 1288
QSO:  7178 PH 2013-03-31 1959 PE1RUS        59 079 HA30S         59 1763
QSO:  7176 PH 2013-03-31 2001 PE1RUS        59 080 A71AM         59 1017
QSO:  7174 PH 2013-03-31 2002 PE1RUS        59 081 TM6M          59 1637
QSO:  7121 PH 2013-03-31 2004 PE1RUS        59 082 EE1W          59 1089
QSO:  7133 PH 2013-03-31 2005 PE1RUS        59 83 S56X          59 1451
QSO:  7000 PH 2013-03-31 2007 PE1RUS        59 0084 S57O          59 0775
QSO:  7065 PH 2013-03-31 2008 PE1RUS        59 085 I2WIJ         59 0438
QSO:  7086 PH 2013-03-31 2008 PE1RUS        59 87 LY7A          59 1261
QSO:  7086 PH 2013-03-31 2009 PE1RUS        59 0086 OG73X         59 2465
QSO:  7107 PH 2013-03-31 2012 PE1RUS        59 88 S50A          59 2211
QSO:  7132 PH 2013-03-31 2014 PE1RUS        59 089 EA7RM         59 0577
QSO:  7134 PH 2013-03-31 2015 PE1RUS        59 0090 E79D          59 0573
QSO:  7140 PH 2013-03-31 2016 PE1RUS        59 091 HA8JV         59 2847
