START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: WA1TAC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WA1TAC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO:  7000 PH 2013-03-30 0953 WA1TAC        59 HD2A          59 1262
QSO:  7187 PH 2013-03-30 1004 WA1TAC        59 002 6Y3M          59 502
QSO:  7149 PH 2013-03-30 1035 WA1TAC        59 3 KG9N/C6A      59 393
QSO:  7142 PH 2013-03-30 1039 WA1TAC        59 004 ZL3IO         59 441
QSO:  7000 PH 2013-03-30 1042 WA1TAC        59 0005 YW5DX         59 0325
QSO: 14165 PH 2013-03-30 1154 WA1TAC        59 0006 YT5CT         59 0551
QSO: 14174 PH 2013-03-30 1157 WA1TAC        59 0007 EI2II         59 0398
QSO: 14188 PH 2013-03-30 1200 WA1TAC        59 008 OL5W          59 0445
QSO: 14201 PH 2013-03-30 1203 WA1TAC        59 009 EA1FDI        59 0517
QSO: 14000 PH 2013-03-30 1204 WA1TAC        59 0010 YO4RIU        59 0320
QSO: 14222 PH 2013-03-30 1208 WA1TAC        59 011 DQ4W          59 0115
QSO: 14000 PH 2013-03-30 1210 WA1TAC        59 012 HG4F          59 440
QSO: 14238 PH 2013-03-30 1213 WA1TAC        59 014 TM6M          59 0705
QSO: 14185 PH 2013-03-30 1218 WA1TAC        59 015 YT0Z          59 0838
QSO: 14215 PH 2013-03-30 1221 WA1TAC        59 0016 LZ4RR         59 0954
QSO: 14220 PH 2013-03-30 1224 WA1TAC        59 17 LY7A          59 477
QSO: 14242 PH 2013-03-30 1228 WA1TAC        59 018 CR6K          59 0757
QSO: 14249 PH 2013-03-30 1229 WA1TAC        59 019 HA30S         59 0550
QSO: 14253 PH 2013-03-30 1231 WA1TAC        59 0020 S53M          59 0838
QSO: 14262 PH 2013-03-30 1234 WA1TAC        59 021 ES9C          59 0988
QSO: 14000 PH 2013-03-30 1235 WA1TAC        59 022 GZ5Y          59 146
QSO: 14183 PH 2013-03-30 1245 WA1TAC        59 025 UY7MM         59 965
QSO: 14202 PH 2013-03-30 1248 WA1TAC        59 0026 XE1OGG        59 0241
QSO: 14000 PH 2013-03-30 1249 WA1TAC        59 0027 YW5T          59 0430
QSO: 21210 PH 2013-03-30 1344 WA1TAC        59 0028 DM4X          59 0165
QSO: 21215 PH 2013-03-30 1348 WA1TAC        59 0029 LZ5R          59 0705
QSO: 21216 PH 2013-03-30 1348 WA1TAC        59 0030 LZ2JA         59 0204
QSO: 21232 PH 2013-03-30 1352 WA1TAC        59 031 IQ4FA         59 0342
QSO: 21227 PH 2013-03-30 1353 WA1TAC        59 032 9A33P         59 1617
QSO: 21248 PH 2013-03-30 1356 WA1TAC        59 0033 HA4XH         59 0330
QSO: 21254 PH 2013-03-30 1358 WA1TAC        59 0034 S51A          59 0233
QSO: 21272 PH 2013-03-30 1405 WA1TAC        59 35 S57C          59 551
QSO: 21303 PH 2013-03-30 1410 WA1TAC        59 036 IT9ZGY        59 691
QSO: 21304 PH 2013-03-30 1411 WA1TAC        59 037 OE8Q          59 0641
QSO: 21334 PH 2013-03-30 1423 WA1TAC        59 038 KP2TM         59 1890
QSO: 21200 PH 2013-03-30 1425 WA1TAC        59 039 E77XZ         59 0771
QSO: 21365 PH 2013-03-30 1430 WA1TAC        59 040 5B4KH         59 1051
QSO: 21391 PH 2013-03-30 1433 WA1TAC        59 041 P33W          59 3042
QSO: 21404 PH 2013-03-30 1435 WA1TAC        59 042 OM2VL         59 1433
QSO: 21000 PH 2013-03-30 1714 WA1TAC        59 45 E7TT          59 177
QSO: 21262 PH 2013-03-30 1715 WA1TAC        59 0044 VU2RCT        59 0310
QSO: 21272 PH 2013-03-30 1718 WA1TAC        59 046 3V8BB         59 1720
QSO: 21295 PH 2013-03-30 1721 WA1TAC        59 047 4O7ZZ         59 1210
QSO: 21300 PH 2013-03-30 1722 WA1TAC        59 0048 LX7I          59 1215
QSO: 21303 PH 2013-03-30 1723 WA1TAC        59 049 IT9ZGY        59 1024
QSO: 21306 PH 2013-03-30 1725 WA1TAC        59 050 RT5Z          59 1069
QSO: 21319 PH 2013-03-30 1726 WA1TAC        59 051 EA5DFV        59 0897
QSO: 21352 PH 2013-03-30 1732 WA1TAC        59 052 CQ9T          59 1824
QSO: 21357 PH 2013-03-30 1733 WA1TAC        59 053 DQ8N          59 0831
QSO: 21362 PH 2013-03-30 1735 WA1TAC        59 054 5D5A          59 2729
QSO: 21000 PH 2013-03-30 2015 WA1TAC        59 0055 OA4SS         59 0573
QSO: 21367 PH 2013-03-30 2021 WA1TAC        59 0056 CE3CT         59 0971
QSO: 21000 PH 2013-03-30 2023 WA1TAC        59 57 HD2A          59 2131
QSO: 21225 PH 2013-03-30 2027 WA1TAC        59 0058 PY4OG         59 1109
QSO: 21233 PH 2013-03-30 2029 WA1TAC        59 59 PJ4D          59 545
QSO: 21000 PH 2013-03-30 2030 WA1TAC        59 060 PY1WS         59 137
QSO:  7162 PH 2013-03-30 2250 WA1TAC        59 061 TM6M          59 0933
QSO:  7154 PH 2013-03-30 2254 WA1TAC        59 062 HA30S         59 1215
QSO:  7140 PH 2013-03-30 2256 WA1TAC        59 063 OL7M          59 0700
QSO:  7188 PH 2013-03-30 2303 WA1TAC        59 065 M0VSQ         59 0951
QSO:  7178 PH 2013-03-30 2307 WA1TAC        59 0066 PI4CG         59 0371
QSO:  7135 PH 2013-03-30 2312 WA1TAC        59 067 HK1NA         59 0956
QSO:  7170 PH 2013-03-30 2317 WA1TAC        59 068 LZ9W          59 1314
QSO:  7158 PH 2013-03-30 2319 WA1TAC        59 069 DR1A          59 1463
QSO:  7000 PH 2013-03-31 0120 WA1TAC        59 70 OT5A          59 1183
QSO:  7233 PH 2013-03-31 0128 WA1TAC        59 0071 VE3UTT        59 0984
QSO:  7000 PH 2013-03-31 0129 WA1TAC        59 072 VA3SWG        59 700
QSO:  7000 PH 2013-03-31 0131 WA1TAC        59 0073 VE3RHD        59 0394
QSO:  7050 PH 2013-03-31 0134 WA1TAC        59 074 9A33P         59 3007
QSO:  7189 PH 2013-03-31 0136 WA1TAC        59 0075 LX7I          59 1938
QSO: 14173 PH 2013-03-31 0145 WA1TAC        59 076 KL7RA         59 0690
QSO: 14000 PH 2013-03-31 0155 WA1TAC        59 0077 XE1B          59 1296
QSO: 14000 PH 2013-03-31 0159 WA1TAC        59 0078 UA9JDP        59 1002
QSO: 14222 PH 2013-03-31 0201 WA1TAC        59 79 RC9O          59 2079
QSO: 14000 PH 2013-03-31 0202 WA1TAC        59 0080 9Y4LDK        59 1133
QSO: 14235 PH 2013-03-31 0203 WA1TAC        59 081 RM9I          59 2125
QSO:  7150 PH 2013-03-31 0208 WA1TAC        59 082 RU1A          59 1124
QSO:  7155 PH 2013-03-31 0212 WA1TAC        59 083 5D5A          59 3817
QSO:  7193 PH 2013-03-31 0216 WA1TAC        59 084 CR6K          59 2058
QSO:  7179 PH 2013-03-31 0222 WA1TAC        59 085 E7DX          59 2803
QSO:  7197 PH 2013-03-31 0804 WA1TAC        59 086 EI7M          59 3604
QSO:  7183 PH 2013-03-31 0806 WA1TAC        59 87 WP2Z          59 4391
QSO:  7156 PH 2013-03-31 0808 WA1TAC        59 88 KP2TM         59 4321
QSO:  7000 PH 2013-03-31 0816 WA1TAC        59 0089 YV5EPM        59 0222
QSO:  7152 PH 2013-03-31 0820 WA1TAC        59 0090 PW7T          59 0794
QSO:  7000 PH 2013-03-31 0822 WA1TAC        59 0091 T48K          59 3176
QSO:  7177 PH 2013-03-31 1041 WA1TAC        59 092 P40Z          59 3259
QSO:  7137 PH 2013-03-31 1045 WA1TAC        59 093 WC6H          59 0886
QSO: 14173 PH 2013-03-31 1049 WA1TAC        59 0094 SE0X          59 1761
QSO: 14155 PH 2013-03-31 1050 WA1TAC        59 0095 DF1IAQ        59 0637
QSO: 14195 PH 2013-03-31 1056 WA1TAC        59 096 D4C           59 3304
QSO: 14197 PH 2013-03-31 1102 WA1TAC        59 097 OM2VL         59 2982
QSO: 14204 PH 2013-03-31 1103 WA1TAC        59 098 PD3AHW        59 0150
QSO: 14248 PH 2013-03-31 1107 WA1TAC        59 0099 PZ5RA         59 1116
QSO: 14253 PH 2013-03-31 1110 WA1TAC        59 0100 OH2K          59 0562
QSO: 14000 PH 2013-03-31 1111 WA1TAC        59 0101 OG3P          59 0136
QSO: 28480 PH 2013-03-31 1458 WA1TAC        59 102 PX5E          59 3179
QSO: 28458 PH 2013-03-31 1459 WA1TAC        59 0103 PY5VC         59 0655
QSO: 28466 PH 2013-03-31 1502 WA1TAC        59 105 ZP5MAL        59 444
QSO: 28496 PH 2013-03-31 1503 WA1TAC        59 0106 KP2MM         59 3017
QSO: 28515 PH 2013-03-31 1505 WA1TAC        59 0107 YV5AM         59 0293
QSO: 28418 PH 2013-03-31 1507 WA1TAC        59 0108 8P6NW         59 0368
END-OF-LOG:
