START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: PA2IP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA2IP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO:  7150 PH 2013-03-30 1943 PA2IP         59 70 RT4F          59 2209
QSO:  7128 PH 2013-03-30 1949 PA2IP         59 071 YT4W          59 1081
QSO:  7126 PH 2013-03-30 1950 PA2IP         59 72 S56X          59 833
QSO:  7117 PH 2013-03-30 1951 PA2IP         59 73 S50A          59 1168
QSO:  7114 PH 2013-03-30 1952 PA2IP         59 74 UP0L          59 2163
QSO:  7103 PH 2013-03-30 1954 PA2IP         59 075 RM5A          59 2349
QSO:  7134 PH 2013-03-30 1956 PA2IP         59 76 LY7A          59 830
QSO:  7087 PH 2013-03-30 1959 PA2IP         59 77 LY5O          59 297
QSO:  7081 PH 2013-03-30 2002 PA2IP         59 078 ES9C          59 0923
QSO:  7080 PH 2013-03-30 2003 PA2IP         59 0079 SN2M          59 0521
QSO:  7073 PH 2013-03-30 2005 PA2IP         59 080 OG6N          59 1097
QSO:  7069 PH 2013-03-30 2006 PA2IP         59 081 S59ABC        59 1304
QSO:  7067 PH 2013-03-30 2007 PA2IP         59 082 OM8DD         59 0637
QSO:  7062 PH 2013-03-30 2008 PA2IP         59 0083 RY3D          59 0480
QSO:  7047 PH 2013-03-30 2011 PA2IP         59 86 RA/UY7IQ      59 478
QSO:  7051 PH 2013-03-30 2011 PA2IP         59 0085 S57DX         59 0654
QSO:  7054 PH 2013-03-30 2011 PA2IP         59 084 UP2L          59 2162
QSO:  7000 PH 2013-03-30 2013 PA2IP         59 0087 YT2AAA        59 0336
QSO:  7076 PH 2013-03-30 2023 PA2IP         59 88 RC6U          59 1835
QSO:  7124 PH 2013-03-30 2030 PA2IP         59 089 TM0R          59 1577
QSO:  7144 PH 2013-03-30 2039 PA2IP         59 0091 YT8A          59 1342
QSO:  7000 PH 2013-03-30 2045 PA2IP         59 0092 IK6GPZ        59 0435
QSO:  3711 PH 2013-03-30 2047 PA2IP         59 094 PI4ZI         59 0671
QSO:  3500 PH 2013-03-30 2049 PA2IP         59 99 OT5A          59 659
QSO:  3741 PH 2013-03-30 2052 PA2IP         59 096 SH3Y          59 0524
QSO:  3750 PH 2013-03-30 2054 PA2IP         59 098 EB3CW         59 0641
QSO:  3757 PH 2013-03-30 2058 PA2IP         59 0099 PA9M          59 0535
QSO:  3774 PH 2013-03-30 2059 PA2IP         59 0100 DB2B          59 0693
QSO:  3643 PH 2013-03-30 2103 PA2IP         59 101 DL6NDW        59 0725
QSO:  7174 PH 2013-03-30 2107 PA2IP         59 102 II9P          59 0692
QSO:  7135 PH 2013-03-30 2110 PA2IP         59 103 OL7M          59 0620
QSO:  7098 PH 2013-03-30 2113 PA2IP         59 104 H27A          59 4315
END-OF-LOG:
