START-OF-LOG: 3.0
CALLSIGN: JK1OXU
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 1602
CLUB:
LOCATION: DX
CREATED-BY: WriteLog V10.72C
NAME: Takashi Nukui
OPERATORS:
SOAPBOX: My antenna for 7MHz is a small ferrite rods antenna putting a window side.
SOAPBOX: But I could work with several DX stations. Thank you for picking up my
SOAPBOX: very weak signal. The distance between CW5W and me is almost
SOAPBOX: 20,000km. It was an amazing experiment and experimence for me.
QSO: 14020 CW 2014-05-24 0939 JK1OXU 599 1 PJ2T 599 768
QSO: 14020 CW 2014-05-24 0949 JK1OXU 599 2 VY2TT 599 569
QSO: 14020 CW 2014-05-24 0953 JK1OXU 599 3 ZF1A 599 909
QSO: 7010 CW 2014-05-24 1126 JK1OXU 599 4 WX6Q 599 306
QSO: 7010 CW 2014-05-24 1131 JK1OXU 599 5 K5OT 599 750
QSO: 7010 CW 2014-05-24 1137 JK1OXU 599 6 KH7XX 599 816
QSO: 7010 CW 2014-05-24 1139 JK1OXU 599 7 KQ7W 599 349
QSO: 7010 CW 2014-05-24 1145 JK1OXU 599 8 KW7Y 599 331
QSO: 7010 CW 2014-05-24 1152 JK1OXU 599 9 NA2U 599 510
QSO: 7010 CW 2014-05-24 1202 JK1OXU 599 10 NF6A 599 1016
QSO: 7010 CW 2014-05-24 1214 JK1OXU 599 11 VC7X 599 426
QSO: 7010 CW 2014-05-24 1302 JK1OXU 599 12 RT0F 599 180
QSO: 21020 CW 2014-05-24 1414 JK1OXU 599 13 G6PZ 599 914
QSO: 14020 CW 2014-05-24 2051 JK1OXU 599 14 II9P 599 1169
QSO: 7010 CW 2014-05-25 0852 JK1OXU 599 15 CW5W 599 672
QSO: 7010 CW 2014-05-25 0903 JK1OXU 599 16 KC0F 599 2535
QSO: 7010 CW 2014-05-25 1043 JK1OXU 599 17 KB7Q 599 772
QSO: 7010 CW 2014-05-25 1141 JK1OXU 599 18 VE7GL 599 1927
END-OF-LOG:
