START-OF-LOG: 3.0
CREATED-BY: QARTest 14.12.1
CONTEST: EUDXC
CALLSIGN: IK2RZD/QRP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: CW
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CLAIMED-SCORE: 1488
NAME: Antonio Restelli
SOAPBOX: Molto bene,anche con solo 5 W.mi sono fatto sentire,al prossimo,73Antonio
QSO:  14000 CW 2025-02-01 1350 IK2RZD/QRP    599 IT11   HA7GSZ        599 HU04   
QSO:  14000 CW 2025-02-01 1355 IK2RZD/QRP    599 IT11   SP2QG         599 PL02   
QSO:  14000 CW 2025-02-01 1403 IK2RZD/QRP    599 IT11   F5SGI         599 FR03   
QSO:  14000 CW 2025-02-01 1405 IK2RZD/QRP    599 IT11   CT7BJG        599 PT02   
QSO:  14000 CW 2025-02-01 1412 IK2RZD/QRP    599 IT11   EA2AZ         599 ES15   
QSO:  14000 CW 2025-02-01 1417 IK2RZD/QRP    599 IT11   DL9ZP         599 DE09   
QSO:  14000 CW 2025-02-01 1600 IK2RZD/QRP    599 IT11   HA8IH         599 HU03   
QSO:  14000 CW 2025-02-01 1618 IK2RZD/QRP    599 IT11   SM7IUN        599 SE10   
QSO:  14000 CW 2025-02-01 1622 IK2RZD/QRP    599 IT11   HA8BE         599 HU03   
QSO:  14000 CW 2025-02-01 1625 IK2RZD/QRP    599 IT11   YU1YV         599 28     
END-OF-LOG:
