START-OF-LOG: 3.0
CONTEST: REFCW
CALLSIGN: M1X
CATEGORY-MODE: CW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CLUB: West Kent ARS
NAME: Steve Knell
OPERATORS: G0CKP
X-RADIOS: ELAD FDM-DUO+AMP
X-ANTENNAS: DOUBLET
X-POWER: 200W
QSO: 3521 CW 2020-01-25 0834 M1X           599 1    F5JFU         599 58        
QSO: 3528 CW 2020-01-25 0834 M1X           599 2    F4DXW         599 29        
QSO: 3527 CW 2020-01-25 0835 M1X           599 3    F2NY          599 13        
QSO: 3520 CW 2020-01-25 0835 M1X           599 4    F5KMB         599 60        
QSO: 3539 CW 2020-01-25 0836 M1X           599 5    F6KEH         599 34        
QSO: 3521 CW 2020-01-25 0837 M1X           599 6    F6FTB         599 21        
QSO: 3514 CW 2020-01-25 0838 M1X           599 7    F8DGY         599 77        
QSO: 3513 CW 2020-01-25 0838 M1X           599 8    F5PLC         599 90        
QSO: 3523 CW 2020-01-25 0839 M1X           599 9    F6KNB         599 33        
QSO: 3530 CW 2020-01-25 0840 M1X           599 10   F5PLR         599 64        
QSO: 3519 CW 2020-01-25 0840 M1X           599 11   F6KLO         599 19        
QSO: 3540 CW 2020-01-25 0841 M1X           599 12   F5PHY         599 24        
QSO: 3545 CW 2020-01-25 0842 M1X           599 13   F6CEL         599 02        
QSO: 3547 CW 2020-01-25 0842 M1X           599 14   F6REF         599 00        
QSO: 3537 CW 2020-01-25 0843 M1X           599 15   F5XX          599 81        
QSO: 3531 CW 2020-01-25 0845 M1X           599 16   F6KUQ         599 33        
QSO: 3535 CW 2020-01-25 0846 M1X           599 17   F6DEV         599 09        
QSO: 3546 CW 2020-01-25 0847 M1X           599 18   TM5G          599 44        
QSO: 3524 CW 2020-01-25 0848 M1X           599 19   F8KGW         599 35        
QSO: 3536 CW 2020-01-25 0849 M1X           599 20   F8NJ          599 10        
QSO: 3515 CW 2020-01-25 0850 M1X           599 21   F5VJC         599 50        
QSO: 3517 CW 2020-01-25 0851 M1X           599 22   F6KQL         599 21        
QSO: 3518 CW 2020-01-25 0851 M1X           599 23   F8DFP         599 63        
QSO: 3537 CW 2020-01-25 0852 M1X           599 24   F6FYA         599 37        
QSO: 3543 CW 2020-01-25 0853 M1X           599 25   F6BBQ         599 59        
QSO: 3509 CW 2020-01-25 0855 M1X           599 26   F4HEC         599 37        
QSO: 7017 CW 2020-01-25 0857 M1X           599 27   F6REF         599 00        
QSO: 7018 CW 2020-01-25 0857 M1X           599 28   F5KDK         599 13        
QSO: 7013 CW 2020-01-25 0858 M1X           599 29   F5OYM         599 81        
QSO: 7013 CW 2020-01-25 0859 M1X           599 30   F6DCQ         599 74        
QSO: 7007 CW 2020-01-25 0859 M1X           599 31   F6KDL         599 68        
QSO: 7014 CW 2020-01-25 0900 M1X           599 32   F6HKS         599 81        
QSO: 7024 CW 2020-01-25 0901 M1X           599 33   F6AUS         599 79        
QSO: 7024 CW 2020-01-25 0901 M1X           599 34   F5IN          599 45        
QSO: 7022 CW 2020-01-25 0902 M1X           599 35   F5OWL         599 83        
QSO: 7023 CW 2020-01-25 0904 M1X           599 36   TK4LS         599 2B        
QSO: 7008 CW 2020-01-25 0905 M1X           599 37   F6KJJ         599 38        
QSO: 7015 CW 2020-01-25 0905 M1X           599 38   F5VHY         599 47        
QSO: 7014 CW 2020-01-25 0906 M1X           599 39   F8KCF         599 74        
QSO: 7026 CW 2020-01-25 0906 M1X           599 40   F6KNB         599 33        
QSO: 7029 CW 2020-01-25 0908 M1X           599 41   F8BUO         599 68        
QSO: 7016 CW 2020-01-25 0909 M1X           599 42   F6EJN         599 81        
QSO: 7028 CW 2020-01-25 0910 M1X           599 43   TM13M         599 13        
QSO: 7014 CW 2020-01-25 0912 M1X           599 44   F5VBU         599 66        
QSO: 7012 CW 2020-01-25 0913 M1X           599 45   F5KHP         599 32        
QSO: 7012 CW 2020-01-25 0913 M1X           599 46   TM0DX         599 38        
