START-OF-LOG: 3.0
CONTEST: REF-CW
CALLSIGN: HB9AOF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 48042
CREATED-BY: UcxLog 7.99
NAME: Yves Margot
SOAPBOX: Comme toujours un sympathique contest CW avec la France et sans les
SOAPBOX: "any to any" mais toujours sans le 160m, dommage. A l'annee prochaine.
QSO: 14000 CW 2020-01-25 0847 HB9AOF        599 001    F6REF         599 00
QSO:  3500 CW 2020-01-25 0850 HB9AOF        599 002    F5PLC         599 90
QSO:  3500 CW 2020-01-25 0853 HB9AOF        599 003    F5KKD         599 93
QSO:  3500 CW 2020-01-25 0854 HB9AOF        599 004    F6KNB         599 33
QSO:  3500 CW 2020-01-25 0855 HB9AOF        599 005    F5SKW         599 68
QSO:  3500 CW 2020-01-25 0857 HB9AOF        599 006    F6DEV         599 09
QSO:  3500 CW 2020-01-25 0858 HB9AOF        599 007    F5XX          599 81
QSO:  3500 CW 2020-01-25 0901 HB9AOF        599 008    TM4K          599 03
QSO:  3500 CW 2020-01-25 0903 HB9AOF        599 009    F8DFP         599 63
QSO:  3500 CW 2020-01-25 0907 HB9AOF        599 010    F4HEC         599 37
QSO:  3500 CW 2020-01-25 0908 HB9AOF        599 011    F6FTB         599 21
QSO:  3500 CW 2020-01-25 0910 HB9AOF        599 012    F8FSC         599 39
QSO:  3500 CW 2020-01-25 0911 HB9AOF        599 013    F5MWA         599 83
QSO:  3500 CW 2020-01-25 0912 HB9AOF        599 014    F4HCZ         599 68
QSO:  3500 CW 2020-01-25 0913 HB9AOF        599 015    F5LZN         599 84
QSO:  3500 CW 2020-01-25 0915 HB9AOF        599 016    F6JOU         599 74
QSO:  3500 CW 2020-01-25 0919 HB9AOF        599 017    F8NJ          599 10
QSO:  3500 CW 2020-01-25 0922 HB9AOF        599 018    F8FKK         599 26
QSO:  3500 CW 2020-01-25 0923 HB9AOF        599 019    F5OWL         599 83
QSO:  3500 CW 2020-01-25 0924 HB9AOF        599 020    TM69R         599 69
QSO:  3500 CW 2020-01-25 0924 HB9AOF        599 021    F6ALQ         599 02
QSO:  3500 CW 2020-01-25 0925 HB9AOF        599 022    F4HZQ         599 89
