START-OF-LOG: 3.0
CREATED-BY: DXLog.net v2.5.33
CONTEST: EA-RTTY
CALLSIGN: OK1DOL
CATEGORY: SINGLE-OP ALL HIGH
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-POWER: 
GRID-LOCATOR: JN69OU
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 24824
NAME: Libor Kule
SOAPBOX: FT2000, PA Ameritron AL-811H, 500W, Logper 8 el., dipol
QSO: 14082 RY 2022-04-02 1204 OK1DOL        599 0001 EA5DF         599 V    
QSO: 14098 RY 2022-04-02 1216 OK1DOL        599 0002 IK7RVY        599 0013 
QSO: 14096 RY 2022-04-02 1218 OK1DOL        599 0003 LZ4AA         599 0006 
QSO: 14102 RY 2022-04-02 1220 OK1DOL        599 0004 OH2BBT        599 0013 
QSO: 14100 RY 2022-04-02 1222 OK1DOL        599 0005 RA1ALC        599 0013 
QSO: 14100 RY 2022-04-02 1223 OK1DOL        599 0006 2E0INN        599 0004 
QSO: 14100 RY 2022-04-02 1223 OK1DOL        599 0007 LC7N          599 0009 
QSO: 14100 RY 2022-04-02 1224 OK1DOL        599 0008 UC6N          599 0014 
QSO: 14100 RY 2022-04-02 1226 OK1DOL        599 0009 EA2BNU        599 SS   
QSO: 14100 RY 2022-04-02 1226 OK1DOL        599 0010 EW8G          599 0012 
QSO: 14100 RY 2022-04-02 1227 OK1DOL        599 0011 R3IBT         599 0009 
QSO: 14100 RY 2022-04-02 1228 OK1DOL        599 0012 EA5HJO        599 A    
QSO: 14100 RY 2022-04-02 1229 OK1DOL        599 0013 M4N           599 0022 
QSO: 14100 RY 2022-04-02 1230 OK1DOL        599 0014 SI3A          599 0011 
QSO: 14100 RY 2022-04-02 1234 OK1DOL        599 0015 YT3H          599 0011 
QSO: 14100 RY 2022-04-02 1234 OK1DOL        599 0016 M0TQR         599 0014 
QSO: 14100 RY 2022-04-02 1235 OK1DOL        599 0017 UN7LV         599 0017 
QSO: 14100 RY 2022-04-02 1244 OK1DOL        599 0018 HG5D          599 0045 
QSO: 14105 RY 2022-04-02 1258 OK1DOL        599 0019 OG66X         599 0076 
QSO: 14108 RY 2022-04-02 1259 OK1DOL        599 0020 EA2ESB        599 TE   
QSO: 14109 RY 2022-04-02 1300 OK1DOL        599 0021 YO4NF         599 0045 
QSO: 14108 RY 2022-04-02 1305 OK1DOL        599 0022 EW6DM         599 0037 
QSO: 14103 RY 2022-04-02 1313 OK1DOL        599 0023 KU2M          599 0018 
QSO: 14112 RY 2022-04-02 1315 OK1DOL        599 0024 WQ5OO         599 0068 
QSO: 14085 RY 2022-04-02 1318 OK1DOL        599 0025 YO3RU         599 0073 
QSO: 14087 RY 2022-04-02 1320 OK1DOL        599 0026 JA6GCE        599 0028 
QSO: 14086 RY 2022-04-02 1321 OK1DOL        599 0027 ES4RD         599 0045 
