START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: IK4XQT/4
CLUB: 
CONTEST: EA-RTTY
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 16875
OPERATORS: IK4XQT
NAME: Stefano
SOAPBOX: ic 736 40 w ant.mag.loop baby on balcony of condo!
CREATED-BY: MixW 3.2
QSO: 14080 RY 2022-04-02 1208 IK4XQT/4      599 001    EA2ESB        599 TE
QSO: 14080 RY 2022-04-02 1211 IK4XQT/4      599 002    EA2KU         599 VI
QSO: 14080 RY 2022-04-02 1212 IK4XQT/4      599 003    EA5DF         599 V
QSO: 14079 RY 2022-04-02 1215 IK4XQT/4      599 004    EA3NP         599 B
QSO: 14080 RY 2022-04-02 1216 IK4XQT/4      599 005    LY1R          599 006
QSO: 14081 RY 2022-04-02 1218 IK4XQT/4      599 006    EA1B          599 S
QSO: 14081 RY 2022-04-02 1219 IK4XQT/4      599 007    YQ6A          599 018
QSO: 14081 RY 2022-04-02 1221 IK4XQT/4      599 008    PD9X          599 12
QSO: 14080 RY 2022-04-02 1222 IK4XQT/4      599 009    EI3GC         599 009
QSO: 14081 RY 2022-04-02 1225 IK4XQT/4      599 010    LZ4A          599 016
QSO: 14080 RY 2022-04-02 1227 IK4XQT/4      599 011    YL2CI         599 015
QSO: 14080 RY 2022-04-02 1231 IK4XQT/4      599 012    EA4BAS        599 M
QSO: 14079 RY 2022-04-02 1233 IK4XQT/4      599 013    EA1AP         599 S
QSO: 14080 RY 2022-04-02 1234 IK4XQT/4      599 014    EA1BAF        599 o
QSO: 21080 RY 2022-04-02 1242 IK4XQT/4      599 015    P3X           599 78
QSO: 14080 RY 2022-04-02 1246 IK4XQT/4      599 016    SO0A          599 12
QSO: 14080 RY 2022-04-02 1247 IK4XQT/4      599 017    EF5T          599 MU
QSO: 14081 RY 2022-04-02 1249 IK4XQT/4      599 018    F8BDQ         599 023
QSO: 14080 RY 2022-04-02 1253 IK4XQT/4      599 019    OZ0JD         599 30
QSO: 14079 RY 2022-04-02 1255 IK4XQT/4      599 020    7S5S          599 038
QSO: 14080 RY 2022-04-02 1256 IK4XQT/4      599 021    OZ4NE         599 012
QSO: 14079 RY 2022-04-02 1259 IK4XQT/4      599 022    EA4Z          599 M
QSO: 14080 RY 2022-04-02 1301 IK4XQT/4      599 023    OZ11A         599 069
QSO: 14079 RY 2022-04-02 1303 IK4XQT/4      599 024    OH1AF         599 6
QSO: 21079 RY 2022-04-02 1310 IK4XQT/4      599 025    RC5Z          599 055
QSO: 21080 RY 2022-04-02 1311 IK4XQT/4      599 026    R7MM          599 042
QSO: 21080 RY 2022-04-02 1316 IK4XQT/4      599 027    RT6N          599 006
QSO: 21081 RY 2022-04-02 1320 IK4XQT/4      599 028    RV3ZN         599 012
QSO: 21080 RY 2022-04-02 1321 IK4XQT/4      599 029    UF5A          599 047
QSO: 21080 RY 2022-04-02 1325 IK4XQT/4      599 030    TA4/OH2KW     599 038
QSO: 21080 RY 2022-04-02 1326 IK4XQT/4      599 031    RM3DA         599 16
QSO: 28079 RY 2022-04-02 1334 IK4XQT/4      599 032    IZ4TOA        599 016
QSO: 28079 RY 2022-04-02 1337 IK4XQT/4      599 033    D4L           599 050
QSO: 14080 RY 2022-04-02 1350 IK4XQT/4      599 034    EA1O          599 SG
QSO: 14080 RY 2022-04-02 1351 IK4XQT/4      599 035    SQ8YHF        599 035
QSO: 14080 RY 2022-04-02 1356 IK4XQT/4      599 036    EA2CP         599 BI
QSO: 14080 RY 2022-04-02 1357 IK4XQT/4      599 037    EA5TS         599 V
QSO: 14080 RY 2022-04-02 1359 IK4XQT/4      599 038    MW9W          599 077
QSO: 14079 RY 2022-04-02 1401 IK4XQT/4      599 039    ED1R          599 AV
QSO: 14081 RY 2022-04-02 1402 IK4XQT/4      599 040    EA2XR         599 BI
QSO: 14079 RY 2022-04-02 1406 IK4XQT/4      599 041    LZ1JZ         599 031
QSO: 14080 RY 2022-04-02 1407 IK4XQT/4      599 042    YO9HP         599 072
