START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: IK2HKT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IK2HKT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2020.
QSO: 14125 PH 2020-03-07 1842 IK2HKT        59 500 VY2TT         59 PE
QSO: 14129 PH 2020-03-07 1842 IK2HKT        59 500 VY2ZM         59 PEI
QSO: 14208 PH 2020-03-07 1844 IK2HKT        59 500 K5GN          59 TX
QSO: 14208 PH 2020-03-07 1845 IK2HKT        59 500 KE1IH         59 NY
QSO: 14208 PH 2020-03-07 1845 IK2HKT        59 500 W2RD          59 AZ
QSO: 14208 PH 2020-03-07 1845 IK2HKT        59 500 W3LPL         59 MD
QSO: 14208 PH 2020-03-07 1845 IK2HKT        59 500 W8PR          59 OH
QSO: 14208 PH 2020-03-07 1846 IK2HKT        59 500 K3LR          59 PA
QSO: 14208 PH 2020-03-07 1846 IK2HKT        59 500 K7RL          59 WA
QSO: 14208 PH 2020-03-07 1846 IK2HKT        59 500 NT5V          59 TX
QSO: 14208 PH 2020-03-07 1847 IK2HKT        59 500 K9IMM         59 WI
QSO: 14208 PH 2020-03-07 1847 IK2HKT        59 500 KM4HI         59 FL
QSO: 14208 PH 2020-03-07 1847 IK2HKT        59 500 NN1C          59 MA
QSO: 14208 PH 2020-03-07 1847 IK2HKT        59 500 W1CSM         59 MA
QSO: 14208 PH 2020-03-07 1848 IK2HKT        59 500 K0CF          59 IA
QSO: 14208 PH 2020-03-07 1848 IK2HKT        59 500 KC1BB         59 AZ
QSO: 14208 PH 2020-03-07 1848 IK2HKT        59 500 VA3EC         59 ON
QSO: 14208 PH 2020-03-07 1849 IK2HKT        59 500 WJ2D          59 NC
QSO: 14208 PH 2020-03-07 1849 IK2HKT        59 500 WR2G          59 NJ
QSO: 14208 PH 2020-03-07 1850 IK2HKT        59 500 K5UA          59 LA
QSO: 14208 PH 2020-03-07 1850 IK2HKT        59 500 W1CTN         59 CT
