START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: WQ6X
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
OPERATORS: WQ6X
CLUB: SAN DIEGO CONTEST CLUB
CLAIMED-SCORE: 3075
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
NAME: Ron Fitch
SOAPBOX: this is wq6x's 1st-time running of sac-cw using qrp power.
SOAPBOX: this turned out to be the funnest sac cw gig ever - especially running qrp.
SOAPBOX: it was amazing how often my qrp signal busted thru pileups.
SOAPBOX: i even called cq sac with only one caller.
SOAPBOX: 8-qrp 40-meter qsos to sac is quite an accomplishment from the left coast.
SOAPBOX: find that 20-meters was open to sac from 06:00z to 08:00z was also a treat.
SOAPBOX: the antenna configuration was w 3-el stepp-ir & 2-el shorty-40 - both @55'.
SOAPBOX: look for a write-up on this and other gigs at http://wq6x.blogspot.com
QSO: 21026 CW 2024-09-21 1910 WQ6X          599      1 OG6N          599    421 0
QSO: 21014 CW 2024-09-21 1914 WQ6X          599      2 OG66X         599    543 0
QSO: 21022 CW 2024-09-21 1916 WQ6X          599      3 SC7DX         599    451 0
QSO: 21030 CW 2024-09-21 1920 WQ6X          599      4 OZ1AAR        599    367 0
QSO: 21032 CW 2024-09-21 1922 WQ6X          599      5 TF3W          599    834 0
QSO: 21033 CW 2024-09-21 1925 WQ6X          599      6 OH6CT         599    271 0
QSO: 21034 CW 2024-09-21 1926 WQ6X          599      7 OH4XX         599     71 0
QSO: 21036 CW 2024-09-21 1928 WQ6X          599      8 OG9X          599    531 0
QSO: 21018 CW 2024-09-21 1935 WQ6X          599      9 SM5INC        599    490 0
QSO: 21025 CW 2024-09-21 1940 WQ6X          599     10 OG6N          599    435 0
QSO: 21027 CW 2024-09-21 1941 WQ6X          599     11 OH7K          599    509 0
QSO: 21027 CW 2024-09-21 2032 WQ6X          599     12 OG6W          599    775 0
QSO: 14031 CW 2024-09-21 2341 WQ6X          599     13 OH8L          599   1020 0
QSO: 14012 CW 2024-09-21 2343 WQ6X          599     14 OH8AM         599   1352 0
QSO: 14025 CW 2024-09-21 2346 WQ6X          599     15 OH7K          599    661 0
QSO: 14015 CW 2024-09-22 0000 WQ6X          599     16 OG1F          599   1454 0
QSO: 14018 CW 2024-09-22 0001 WQ6X          599     17 TF3W          599   1199 0
QSO:  7017 CW 2024-09-22 0225 WQ6X          599     18 OG1F          599   1571 0
QSO:  7015 CW 2024-09-22 0338 WQ6X          599     19 SJ2W          599   1593 0
QSO:  7019 CW 2024-09-22 0349 WQ6X          599     20 SK3W          599    509 0
QSO:  7019 CW 2024-09-22 0351 WQ6X          599     21 OG6K          599   1255 0
QSO:  7025 CW 2024-09-22 0354 WQ6X          599     22 LC8G          599   1050 0
QSO:  7007 CW 2024-09-22 0432 WQ6X          599     23 TF3D          599   1261 0
QSO:  7018 CW 2024-09-22 0443 WQ6X          599     24 OZ5W          599    407 0
QSO:  7011 CW 2024-09-22 0524 WQ6X          599     25 TF3W          599   1360 0
QSO: 14004 CW 2024-09-22 0546 WQ6X          599     26 SM6F          599    766 0
QSO: 14008 CW 2024-09-22 0549 WQ6X          599     27 LC5T          599   1151 0
QSO: 14022 CW 2024-09-22 0601 WQ6X          599     28 OG1D          599    793 0
QSO: 14024 CW 2024-09-22 0603 WQ6X          599     29 SE4A          599    848 0
QSO: 14025 CW 2024-09-22 0606 WQ6X          599     30 OH6BA         599    376 0
QSO: 14027 CW 2024-09-22 0610 WQ6X          599     31 SD0W          599    842 0
QSO: 14028 CW 2024-09-22 0615 WQ6X          599     32 SM2U          599    624 0
QSO: 14032 CW 2024-09-22 0616 WQ6X          599     33 SK6X          599    755 0
QSO: 14044 CW 2024-09-22 0618 WQ6X          599     34 SM5EPO        599    698 0
QSO: 14012 CW 2024-09-22 0624 WQ6X          599     35 OG6K          599   1395 0
QSO: 14013 CW 2024-09-22 0625 WQ6X          599     36 OV3X          599    751 0
QSO: 14018 CW 2024-09-22 0627 WQ6X          599     37 SB7S          599   1186 0
QSO: 14021 CW 2024-09-22 0630 WQ6X          599     38 SK3W          599    615 0
QSO: 14028 CW 2024-09-22 0634 WQ6X          599     39 SM6TOL        599    508 0
QSO: 14040 CW 2024-09-22 0636 WQ6X          599     40 OH6OS         599    729 0
QSO: 14009 CW 2024-09-22 0639 WQ6X          599     41 SM5IMO        599   1081 0
QSO: 14010 CW 2024-09-22 0641 WQ6X          599     42 SF0A          599    616 0
QSO: 14030 CW 2024-09-22 0645 WQ6X          599     43 LA9OI         599    525 0
QSO: 14010 CW 2024-09-22 0710 WQ6X          599     44 TF3D          599   1436 0
QSO: 14026 CW 2024-09-22 0718 WQ6X          599     45 OH8X          599    814 0
QSO: 14035 CW 2024-09-22 0721 WQ6X          599     46 SC7DX         599    501 0
QSO: 14042 CW 2024-09-22 0723 WQ6X          599     47 SM7CIL        599    180 0
QSO: 14047 CW 2024-09-22 0726 WQ6X          599     48 SM9F          599    418 0
QSO: 14054 CW 2024-09-22 0731 WQ6X          599     49 OU7M/P        599    120 0
QSO: 14008 CW 2024-09-22 0733 WQ6X          599     50 OH2OA         599    633 0
QSO: 14011 CW 2024-09-22 0735 WQ6X          599     51 SF1Z          599    271 0
QSO: 14012 CW 2024-09-22 0738 WQ6X          599     52 OH3MZ         599    576 0
QSO: 14013 CW 2024-09-22 0739 WQ6X          599     53 LB4UH         599    822 0
QSO: 14020 CW 2024-09-22 0745 WQ6X          599     54 SM6EAN        599    896 0
QSO: 14021 CW 2024-09-22 0749 WQ6X          599     55 LB2WD         599    227 0
QSO: 14022 CW 2024-09-22 0750 WQ6X          599     56 LA5FJA        599    245 0
QSO: 14024 CW 2024-09-22 0751 WQ6X          599     57 LC8G          599   1231 0
QSO: 14025 CW 2024-09-22 0758 WQ6X          599     58 LA0GE         599    526 0
QSO: 14028 CW 2024-09-22 0800 WQ6X          599     59 OZ8PG         599     84 0
QSO: 14031 CW 2024-09-22 0806 WQ6X          599     60 OZ1AAR        599    766 0
END-OF-LOG:
