START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: VK2OXZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-OVERLAY: WIRE-ONLY
OPERATORS: VK2OXZ
CLAIMED-SCORE: 3901
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
NAME: Knud Jørgen Olesen-jensen
SOAPBOX: wire-only
SOAPBOX: great contest, and nice to work many well known om's
QSO: 14011 CW 2024-09-21 1208 VK2OXZ        599      1 OH8X          599     15 0
QSO: 14034 CW 2024-09-21 1216 VK2OXZ        599      2 OH6CT         599     31 0
QSO: 14009 CW 2024-09-21 1349 VK2OXZ        599      3 SJ2W          599    318 0
QSO: 14014 CW 2024-09-21 1353 VK2OXZ        599      4 OZ5W          599     82 0
QSO: 14035 CW 2024-09-21 1358 VK2OXZ        599      5 SK3W          599    108 0
QSO: 21005 CW 2024-09-21 1404 VK2OXZ        599      6 OH2AM         599    234 0
QSO: 21007 CW 2024-09-21 1407 VK2OXZ        599      7 OH8X          599    276 0
QSO: 21045 CW 2024-09-21 1409 VK2OXZ        599      8 OH6CT         599    207 0
QSO: 21040 CW 2024-09-21 1413 VK2OXZ        599      9 OZ5W          599    132 0
QSO: 21023 CW 2024-09-21 1420 VK2OXZ        599     10 OG66X         599    243 0
QSO: 21002 CW 2024-09-21 1422 VK2OXZ        599     11 SJ2W          599    401 0
QSO: 21010 CW 2024-09-21 1428 VK2OXZ        599     12 SC7DX         599    187 0
QSO: 21018 CW 2024-09-21 1434 VK2OXZ        599     13 SM5INC        599    191 0
QSO: 21026 CW 2024-09-21 1451 VK2OXZ        599     14 OH7K          599    252 0
QSO: 14000 CW 2024-09-21 1502 VK2OXZ        599     15 OV3X          599    175 0
QSO: 14010 CW 2024-09-21 1526 VK2OXZ        599     16 SE5E          599    494 0
QSO: 14046 CW 2024-09-21 1532 VK2OXZ        599     17 OZ1IKY        599    293 0
QSO: 14033 CW 2024-09-21 1541 VK2OXZ        599     18 SK0QO         599    340 0
QSO: 14024 CW 2024-09-21 1547 VK2OXZ        599     19 OH7K          599    321 0
QSO: 14005 CW 2024-09-21 1553 VK2OXZ        599     20 OH0Z          599    364 0
QSO: 14006 CW 2024-09-21 1600 VK2OXZ        599     21 OZ0B          599    323 0
QSO: 14011 CW 2024-09-21 1604 VK2OXZ        599     22 SB7S          599    377 0
QSO:  7031 CW 2024-09-21 1615 VK2OXZ        599     23 OH7K          599    115 0
QSO:  7012 CW 2024-09-21 1737 VK2OXZ        599     24 OH2AM         599    804 0
QSO:  7026 CW 2024-09-21 1750 VK2OXZ        599     25 OG1F          599    840 0
QSO:  7007 CW 2024-09-21 1759 VK2OXZ        599     26 OH0Z          599    657 0
QSO:  7017 CW 2024-09-21 1804 VK2OXZ        599     27 OG6K          599    625 0
QSO:  7023 CW 2024-09-21 1823 VK2OXZ        599     28 LN2T          599     44 0
QSO:  7006 CW 2024-09-21 1826 VK2OXZ        599     29 OZ1IKY        599    536 0
QSO:  7010 CW 2024-09-21 1829 VK2OXZ        599     30 SK3W          599    146 0
QSO:  7014 CW 2024-09-21 1834 VK2OXZ        599     31 SJ2W          599    928 0
QSO:  7021 CW 2024-09-21 1840 VK2OXZ        599     32 OG9W          599    599 0
QSO:  7012 CW 2024-09-21 1901 VK2OXZ        599     33 LA6VM         599    209 0
QSO: 14030 CW 2024-09-21 1916 VK2OXZ        599     34 OG5K          599    742 0
QSO: 14034 CW 2024-09-21 1925 VK2OXZ        599     35 OG1F          599   1035 0
QSO: 14016 CW 2024-09-22 0514 VK2OXZ        599     36 SM6LJU        599    742 0
QSO: 14011 CW 2024-09-22 0521 VK2OXZ        599     37 OG6K          599   1328 0
QSO: 14031 CW 2024-09-22 0528 VK2OXZ        599     38 OH4BCS        599    576 0
QSO: 14044 CW 2024-09-22 0530 VK2OXZ        599     39 SM5EPO        599    651 0
QSO: 14032 CW 2024-09-22 0531 VK2OXZ        599     40 OH8L          599   1273 0
QSO: 14028 CW 2024-09-22 0534 VK2OXZ        599     41 SM2U          599    607 0
QSO: 14032 CW 2024-09-22 0536 VK2OXZ        599     42 SE5T          599    681 0
QSO: 14023 CW 2024-09-22 0539 VK2OXZ        599     43 OH3FM         599    940 0
QSO: 14024 CW 2024-09-22 0606 VK2OXZ        599     44 SE4A          599    851 0
QSO: 14022 CW 2024-09-22 0620 VK2OXZ        599     45 OG1D          599    828 0
QSO: 14038 CW 2024-09-22 0623 VK2OXZ        599     46 SM6EAT        599    387 0
QSO: 28013 CW 2024-09-22 0732 VK2OXZ        599     47 OG7A          599    208 0
QSO: 14010 CW 2024-09-22 0749 VK2OXZ        599     48 SF1Z          599    306 0
QSO: 14030 CW 2024-09-22 0804 VK2OXZ        599     49 OH8WR         599    302 0
QSO: 14031 CW 2024-09-22 0809 VK2OXZ        599     50 OZ1AAR        599    269 0
QSO: 14015 CW 2024-09-22 0813 VK2OXZ        599     51 XP2I          599   1040 0
QSO: 14045 CW 2024-09-22 1058 VK2OXZ        599     52 OH0V          599   1569 0
QSO: 21043 CW 2024-09-22 1114 VK2OXZ        599     53 OG6N          599    662 0
QSO: 21015 CW 2024-09-22 1118 VK2OXZ        599     54 OH0Z          599   1817 0
QSO: 21029 CW 2024-09-22 1121 VK2OXZ        599     55 SK3W          599    642 0
QSO: 21030 CW 2024-09-22 1125 VK2OXZ        599     56 OH6RE         599    368 0
QSO: 21039 CW 2024-09-22 1129 VK2OXZ        599     57 OH6OS         599    948 0
QSO: 28039 CW 2024-09-22 1133 VK2OXZ        599     58 OH0V          599   1608 0
QSO: 21007 CW 2024-09-22 1142 VK2OXZ        599     59 OG55W         599    726 0
QSO: 14027 CW 2024-09-22 1148 VK2OXZ        599     60 OG9W          599   1532 0
QSO: 14039 CW 2024-09-22 1152 VK2OXZ        599     61 OH2BKX        599    524 0
END-OF-LOG:
