START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: ON4ZD
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
OPERATORS: ON4ZD
CLUB: CONTEST CLUB BELGIUM
CLAIMED-SCORE: 2200
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
NAME: Leon Donner
SOAPBOX: yaesu ftdx5000mp - 200 watts.
SOAPBOX: antenna beam 3 el; 5 bds sp7gxp - dipole on 40-80m
QSO: 21037 CW 2024-09-21 1438 ON4ZD         599      1 OH5MQ         599     14 0
QSO: 21037 CW 2024-09-21 1440 ON4ZD         599      2 OZ1IVA        599    117 0
QSO: 21037 CW 2024-09-21 1443 ON4ZD         599      3 OH2PM         599    204 0
QSO: 21037 CW 2024-09-21 1444 ON4ZD         599      4 OH7MYK        599      2 0
QSO: 21037 CW 2024-09-21 1445 ON4ZD         599      5 OH6UE         599     14 0
QSO: 21037 CW 2024-09-21 1446 ON4ZD         599      6 OH3NU         599     29 0
QSO: 21037 CW 2024-09-21 1447 ON4ZD         599      7 SM7CIL        599      3 0
QSO: 21037 CW 2024-09-21 1447 ON4ZD         599      8 SK0QO         599    270 0
QSO: 21037 CW 2024-09-21 1449 ON4ZD         599      9 OH7MFO        599     60 0
QSO: 21037 CW 2024-09-21 1450 ON4ZD         599     10 OH3MF         599     34 0
QSO: 21037 CW 2024-09-21 1453 ON4ZD         599     11 OH8TX         599     17 0
QSO: 21037 CW 2024-09-21 1454 ON4ZD         599     12 LA8OM         599    264 0
QSO: 21037 CW 2024-09-21 1454 ON4ZD         599     13 SM0S          599    167 0
QSO: 21037 CW 2024-09-21 1455 ON4ZD         599     14 OH3KAV        599     92 0
QSO: 21037 CW 2024-09-21 1456 ON4ZD         599     15 OG6N          599    239 0
QSO: 21037 CW 2024-09-21 1458 ON4ZD         599     16 OH2BN         599     11 0
QSO: 21037 CW 2024-09-21 1501 ON4ZD         599     17 OH4BCS        599    185 0
QSO: 21037 CW 2024-09-21 1515 ON4ZD         599     18 OG9W          599    302 0
QSO: 21037 CW 2024-09-21 1529 ON4ZD         599     19 OH7HM         599      9 0
QSO: 14039 CW 2024-09-21 1538 ON4ZD         599     20 LA/US1PM      599     30 0
QSO: 14039 CW 2024-09-21 1540 ON4ZD         599     21 SA3MGL        599     16 0
QSO: 14039 CW 2024-09-21 1543 ON4ZD         599     22 SM6EAT        599    174 0
QSO: 14039 CW 2024-09-21 1544 ON4ZD         599     23 OH6OS         599    309 0
QSO: 14039 CW 2024-09-21 1545 ON4ZD         599     24 SD6F          599    177 0
QSO: 14039 CW 2024-09-21 1550 ON4ZD         599     25 OH7MFO        599     85 0
QSO: 14039 CW 2024-09-21 1553 ON4ZD         599     26 OH3MZ         599    156 0
QSO: 14039 CW 2024-09-21 1555 ON4ZD         599     27 OZ1KZX        599     15 0
QSO:  7019 CW 2024-09-21 1813 ON4ZD         599     28 LC8G          599    548 0
QSO:  7019 CW 2024-09-21 1819 ON4ZD         599     29 SE5E          599    854 0
QSO:  7013 CW 2024-09-21 1840 ON4ZD         599     30 OH0M          599   1016 0
QSO:  7017 CW 2024-09-21 1841 ON4ZD         599     31 OZ6SYL        599    276 0
QSO:  7018 CW 2024-09-21 1843 ON4ZD         599     32 OH1X          599    423 0
QSO:  7023 CW 2024-09-21 1845 ON4ZD         599     33 SF0A          599    338 0
QSO:  3539 CW 2024-09-21 2146 ON4ZD         599     34 SC7DX         599    192 0
QSO:  3539 CW 2024-09-21 2147 ON4ZD         599     35 LA9OI         599    395 0
QSO:  3539 CW 2024-09-21 2148 ON4ZD         599     36 OH8L          599    922 0
QSO:  7025 CW 2024-09-22 0634 ON4ZD         599     37 SE4E          599    721 0
QSO: 14027 CW 2024-09-22 0639 ON4ZD         599     38 OH8TX         599     44 0
QSO: 14027 CW 2024-09-22 0640 ON4ZD         599     39 OH2BN         599     26 0
QSO: 14027 CW 2024-09-22 0642 ON4ZD         599     40 SE4E          599    725 0
QSO: 14027 CW 2024-09-22 0643 ON4ZD         599     41 SM3OMO        599    110 0
QSO: 14027 CW 2024-09-22 0644 ON4ZD         599     42 SE0I          599    563 0
QSO:  7017 CW 2024-09-22 0717 ON4ZD         599     43 OZ6TL         599    164 0
QSO:  7017 CW 2024-09-22 0718 ON4ZD         599     44 OZ5W          599    520 0
QSO: 14028 CW 2024-09-22 0727 ON4ZD         599     45 SM7CIL        599    183 0
QSO: 14028 CW 2024-09-22 0919 ON4ZD         599     46 SM6LJU        599    796 0
QSO: 14016 CW 2024-09-22 0934 ON4ZD         599     47 SM5CSS        599   1156 0
QSO: 14021 CW 2024-09-22 0942 ON4ZD         599     48 SM5KQS        599     37 0
QSO: 14021 CW 2024-09-22 0943 ON4ZD         599     49 SM3EAE        599    466 0
QSO: 14021 CW 2024-09-22 0944 ON4ZD         599     50 SM2U          599    669 0
QSO: 14021 CW 2024-09-22 0946 ON4ZD         599     51 LB2WD         599    271 0
QSO: 14021 CW 2024-09-22 0946 ON4ZD         599     52 SC7DX         599    685 0
QSO: 28040 CW 2024-09-22 0957 ON4ZD         599     53 OH0V          599   1494 0
QSO: 28010 CW 2024-09-22 1005 ON4ZD         599     54 XP2I          599   1210 0
QSO: 21030 CW 2024-09-22 1015 ON4ZD         599     55 OG66X         599    865 0
END-OF-LOG:
