START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: OZ3TQ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-OVERLAY: WIRE-ONLY
OPERATORS: OZ3TQ
CLAIMED-SCORE: 94410
CATEGORY-STATION: FIXED
CATEGORY-MODE: CW
NAME: Nicholas Plutte
SOAPBOX: i always enjoy using sd log
SOAPBOX: sac is a wonderful experience - run all the way through
SOAPBOX: once a year!
QSO: 28000 CW 2024-09-21 1207 OZ3TQ         599      1 UP7L          599      9 0
QSO: 21000 CW 2024-09-21 1214 OZ3TQ         599      2 P3X           599     34 0
QSO: 21000 CW 2024-09-21 1214 OZ3TQ         599      3 W1FJ          599      1 0
QSO: 21000 CW 2024-09-21 1217 OZ3TQ         599      4 US3EW         599     12 0
QSO: 21000 CW 2024-09-21 1218 OZ3TQ         599      5 KA1IS         599     24 0
QSO: 21000 CW 2024-09-21 1230 OZ3TQ         599      6 LZ2PS         599     22 0
QSO: 21000 CW 2024-09-21 1231 OZ3TQ         599      7 JA6GCE        599     20 0
QSO: 21000 CW 2024-09-21 1232 OZ3TQ         599      8 YO4NF         599     19 0
QSO: 21000 CW 2024-09-21 1246 OZ3TQ         599      9 IK8UND        599      7 0
QSO: 21000 CW 2024-09-21 1248 OZ3TQ         599     10 LZ1ND         599     70 0
QSO: 21000 CW 2024-09-21 1248 OZ3TQ         599     11 EA4FL         599     38 0
QSO: 21000 CW 2024-09-21 1249 OZ3TQ         599     12 LZ1BP         599     48 0
QSO: 21000 CW 2024-09-21 1249 OZ3TQ         599     13 EA3NO         599     64 0
QSO: 14000 CW 2024-09-21 1257 OZ3TQ         599     14 HB9CIC        599     52 0
QSO: 14000 CW 2024-09-21 1258 OZ3TQ         599     15 HB9ARF        599     57 0
QSO: 14000 CW 2024-09-21 1259 OZ3TQ         599     16 UV1IX         599     53 0
QSO: 14000 CW 2024-09-21 1259 OZ3TQ         599     17 IK2ULV        599      7 0
QSO: 14000 CW 2024-09-21 1300 OZ3TQ         599     18 UT2UB         599     53 0
QSO: 14000 CW 2024-09-21 1300 OZ3TQ         599     19 LZ6E          599     62 0
QSO: 14000 CW 2024-09-21 1301 OZ3TQ         599     20 HA6QU         599     38 0
QSO: 14000 CW 2024-09-21 1302 OZ3TQ         599     21 M4N           599     60 0
QSO: 14000 CW 2024-09-21 1303 OZ3TQ         599     22 UN8PT         599     69 0
QSO: 14000 CW 2024-09-21 1304 OZ3TQ         599     23 M/PA3GCU      599      2 0
QSO: 14000 CW 2024-09-21 1304 OZ3TQ         599     24 OE3OPW        599     15 0
QSO: 14000 CW 2024-09-21 1306 OZ3TQ         599     25 G3PJT         599      3 0
QSO: 14000 CW 2024-09-21 1351 OZ3TQ         599     26 LZ1BP         599    100 0
QSO: 14000 CW 2024-09-21 1351 OZ3TQ         599     27 LZ1ND         599    143 0
QSO: 14000 CW 2024-09-21 1352 OZ3TQ         599     28 HG8W          599     52 0
QSO: 21000 CW 2024-09-21 1355 OZ3TQ         599     29 E77DX         599    154 0
QSO:  7000 CW 2024-09-21 1401 OZ3TQ         599     30 LY2CX         599     25 0
QSO:  7000 CW 2024-09-21 1403 OZ3TQ         599     31 SP2R          599      5 0
QSO:  7000 CW 2024-09-21 1404 OZ3TQ         599     32 SP2KAC        599     12 0
QSO:  7000 CW 2024-09-21 1405 OZ3TQ         599     33 SN2S          599     20 0
QSO:  7000 CW 2024-09-21 1406 OZ3TQ         599     34 YL3GQ         599      9 0
QSO:  7000 CW 2024-09-21 1406 OZ3TQ         599     35 SP9YGD        599     70 0
QSO:  7000 CW 2024-09-21 1407 OZ3TQ         599     36 YL2PJ         599      8 0
QSO:  7000 CW 2024-09-21 1408 OZ3TQ         599     37 SP4TKR        599     13 0
QSO:  7000 CW 2024-09-21 1408 OZ3TQ         599     38 DL0RDG        599     17 0
QSO:  7000 CW 2024-09-21 1409 OZ3TQ         599     39 SP2GMA        599     28 0
QSO:  7000 CW 2024-09-21 1410 OZ3TQ         599     40 DL1DTL        599      2 0
QSO:  7000 CW 2024-09-21 1411 OZ3TQ         599     41 DH7NK         599     17 0
QSO:  7000 CW 2024-09-21 1413 OZ3TQ         599     42 DL0MCM        599      7 0
QSO:  7000 CW 2024-09-21 1421 OZ3TQ         599     43 SP3VT         599      3 0
QSO:  7000 CW 2024-09-21 1421 OZ3TQ         599     44 YL2AG         599     23 0
QSO:  7000 CW 2024-09-21 1422 OZ3TQ         599     45 SP1AEN        599     18 0
QSO:  7000 CW 2024-09-21 1423 OZ3TQ         599     46 ES1TAR        599      0 0
QSO:  7000 CW 2024-09-21 1424 OZ3TQ         599     47 LY6C          599     39 0
QSO:  7000 CW 2024-09-21 1426 OZ3TQ         599     48 IV3EAD        599     57 0
QSO:  7000 CW 2024-09-21 1427 OZ3TQ         599     49 LY2MM         599     16 0
QSO:  7000 CW 2024-09-21 1428 OZ3TQ         599     50 ON4DN         599     92 0
QSO:  7000 CW 2024-09-21 1430 OZ3TQ         599     51 UZ1P          599     18 0
QSO:  7000 CW 2024-09-21 1431 OZ3TQ         599     52 DJ2XY         599     60 0
QSO: 14000 CW 2024-09-21 1433 OZ3TQ         599     53 UP7L          599    148 0
QSO: 14000 CW 2024-09-21 1436 OZ3TQ         599     54 YO5ODT        599     14 0
QSO: 14000 CW 2024-09-21 1436 OZ3TQ         599     55 UT8W          599     40 0
QSO: 14000 CW 2024-09-21 1436 OZ3TQ         599     56 UR7LY         599     66 0
