START-OF-LOG: 3.0
LOCATION: EB
CALLSIGN: K6JEB
CLUB: Northern California Contest Club
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 173261
OPERATORS: K6JEB
SOAPBOX: Had to run my FT-857D into an AL-811H for 400 watts into a
SOAPBOX: Yagi/vertical/wire. Still having an issue with the amp relay (and I've
SOAPBOX: tried everything but replacing the relay).  S-9+ noise levels during
SOAPBOX: the day on 20m and 15 while 10m was productive with stations
SOAPBOX: shoulder-to shoulder well past 29.0MHz.  See you CQWW CW Weekend!
NAME: Jack
CREATED-BY: N1MM Logger V13.12.0
QSO: 14183 PH 2014-10-25 0217 K6JEB         59  3      KH7XX         59  31
QSO: 14287 PH 2014-10-25 0219 K6JEB         59  3      KL7RA         59  01
QSO: 28403 PH 2014-10-25 0229 K6JEB         59  3      JA8RWU        59  25
QSO: 14321 PH 2014-10-25 0237 K6JEB         59  3      8P5A          59  08
QSO: 14267 PH 2014-10-25 0239 K6JEB         59  3      VB7C          59  03
QSO: 14276 PH 2014-10-25 0242 K6JEB         59  3      WS7X          59  04
QSO: 14203 PH 2014-10-25 0252 K6JEB         59  3      T48K          59  08
QSO: 14298 PH 2014-10-25 0259 K6JEB         59  3      PY2PT         59  11
QSO: 14340 PH 2014-10-25 0313 K6JEB         59  3      ZX2B          59  11
QSO: 14330 PH 2014-10-25 0316 K6JEB         59  3      PY2DY         59  11
QSO: 14279 PH 2014-10-25 0327 K6JEB         59  3      PJ2T          59  09
QSO:  7246 PH 2014-10-25 0351 K6JEB         59  3      KL7RA         59  01
QSO: 14304 PH 2014-10-25 0435 K6JEB         59  3      JA7ZFN        59  25
QSO: 14284 PH 2014-10-25 0438 K6JEB         59  3      JA3YBK        59  25
QSO: 14314 PH 2014-10-25 0441 K6JEB         59  3      JA2BNN        59  25
QSO: 14277 PH 2014-10-25 0554 K6JEB         59  3      CE3CT         59  12
QSO: 14347 PH 2014-10-25 0632 K6JEB         59  3      PQ5B          59  11
QSO:  7227 PH 2014-10-25 0652 K6JEB         59  3      CG3AT         59  04
QSO:  3800 PH 2014-10-25 0700 K6JEB         59  3      VE7GL         59  03
QSO:  3757 PH 2014-10-25 0701 K6JEB         59  3      W1AW/7        59  03
QSO: 29103 PH 2014-10-25 1638 K6JEB         59  3      VY2TT         59  05
QSO: 29052 PH 2014-10-25 1642 K6JEB         59  3      N0AT          59  04
QSO: 29038 PH 2014-10-25 1643 K6JEB         59  3      N0IJ          59  04
QSO: 28741 PH 2014-10-25 1843 K6JEB         59  3      VY2ZM         59  05
QSO: 28565 PH 2014-10-25 1855 K6JEB         59  3      EA8YV         59  33
QSO: 28681 PH 2014-10-25 2034 K6JEB         59  3      8P2K          59  08
QSO: 28673 PH 2014-10-25 2034 K6JEB         59  3      P40L          59  09
QSO: 28659 PH 2014-10-25 2035 K6JEB         59  3      VP5DX         59  08
QSO: 28584 PH 2014-10-25 2041 K6JEB         59  3      PY2JNV        59  11
QSO: 28605 PH 2014-10-25 2043 K6JEB         59  3      NH6Y          59  31
QSO: 28633 PH 2014-10-25 2050 K6JEB         59  3      PJ2T          59  09
QSO: 28668 PH 2014-10-25 2053 K6JEB         59  3      KH6CJJ        59  31
QSO: 28612 PH 2014-10-25 2058 K6JEB         59  3      VK9LM         59  30
QSO: 28615 PH 2014-10-25 2059 K6JEB         59  3      VK2GGC        59  30
QSO: 28619 PH 2014-10-25 2100 K6JEB         59  3      JJ1RDX        59  25
QSO: 28652 PH 2014-10-25 2105 K6JEB         59  3      VK4KW         59  30
QSO: 28454 PH 2014-10-25 2110 K6JEB         59  3      VK4QH         59  30
QSO: 28429 PH 2014-10-25 2110 K6JEB         59  3      JA7OWD        59  25
QSO: 28587 PH 2014-10-25 2111 K6JEB         59  3      JM1LPN        59  25
QSO: 28627 PH 2014-10-25 2111 K6JEB         59  3      KH7XX         59  31
QSO: 28441 PH 2014-10-25 2112 K6JEB         59  3      NH6WZ         59  31
QSO: 28317 PH 2014-10-25 2113 K6JEB         59  3      JE1LFX        59  25
QSO: 28386 PH 2014-10-25 2114 K6JEB         59  3      NP3PR         59  08
QSO: 28321 PH 2014-10-25 2115 K6JEB         59  3      JI2ZJS        59  25
QSO: 28350 PH 2014-10-25 2116 K6JEB         59  3      JQ2IQW        59  25
QSO: 28355 PH 2014-10-25 2117 K6JEB         59  3      JJ1LBJ        59  25
QSO: 28368 PH 2014-10-25 2117 K6JEB         59  3      JO1WKO        59  25
QSO: 28398 PH 2014-10-25 2118 K6JEB         59  3      JA3YBK        59  25
QSO: 28531 PH 2014-10-25 2122 K6JEB         59  3      KH6LC         59  31
QSO: 28574 PH 2014-10-25 2123 K6JEB         59  3      JH0JDV        59  25
QSO: 28651 PH 2014-10-25 2131 K6JEB         59  3      ZK3E          59  31
QSO: 28524 PH 2014-10-25 2133 K6JEB         59  3      JH1CDR        59  25
QSO: 28540 PH 2014-10-25 2135 K6JEB         59  3      LR1E          59  13
QSO: 28545 PH 2014-10-25 2138 K6JEB         59  3      YV8ER         59  09
