START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WW DX Contest Log 4.3
CONTEST: CQ-WW-SSB
CALLSIGN: KD9GN
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-TIME: 24-HOURS
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 12191
OPERATORS: KD9GN
NAME: David Lolling
SOAPBOX: Deliberate QRM and ops tuning up on air.  Grow Up!
QSO: 14000 PH 2014-10-25 0105 KD9GN         59  04     VE6AO         59  04     0
QSO: 14000 PH 2014-10-25 0110 KD9GN         59  04     NP2X          59  08     0
QSO: 14000 PH 2014-10-25 0117 KD9GN         59  04     VE5PV         59  04     0
QSO: 14000 PH 2014-10-25 0119 KD9GN         59  04     KL7RA         59  01     0
QSO: 14000 PH 2014-10-25 0126 KD9GN         59  04     T46A          59  08     0
QSO: 14000 PH 2014-10-25 0130 KD9GN         59  04     VE2IM         59  02     0
QSO: 14000 PH 2014-10-25 0132 KD9GN         59  04     VB7C          59  03     0
QSO: 14000 PH 2014-10-25 0150 KD9GN         59  04     EA8CCQ        59  33     0
QSO: 14000 PH 2014-10-25 0155 KD9GN         59  04     RC9O          59  18     0
QSO:  7000 PH 2014-10-25 0243 KD9GN         59  04     N3BUO         59  05     0
QSO:  7000 PH 2014-10-25 0250 KD9GN         59  04     ED7P          59  14     0
QSO:  7000 PH 2014-10-25 0316 KD9GN         59  04     V26B          59  08     0
QSO:  7000 PH 2014-10-25 0322 KD9GN         59  04     II2S          59  15     0
QSO:  7000 PH 2014-10-25 0341 KD9GN         59  04     VE3BZ         59  04     0
QSO:  7000 PH 2014-10-25 0343 KD9GN         59  04     VE3MIS        59  04     0
QSO:  7000 PH 2014-10-25 0414 KD9GN         59  04     I2VRN         59  15     0
QSO:  7000 PH 2014-10-25 0516 KD9GN         59  04     K2XR          59  05     0
QSO: 28000 PH 2014-10-25 1435 KD9GN         59  04     S53EA         59  15     0
QSO: 21000 PH 2014-10-25 1451 KD9GN         59  04     F5UTN         59  14     0
QSO: 21000 PH 2014-10-25 1452 KD9GN         59  04     S54ZZ         59  15     0
QSO: 14000 PH 2014-10-25 1503 KD9GN         59  04     KK7YC         59  03     0
QSO: 14000 PH 2014-10-25 1507 KD9GN         59  04     VE6SV         59  04     0
QSO: 14000 PH 2014-10-25 1508 KD9GN         59  04     WE3C          59  05     0
QSO: 21000 PH 2014-10-25 1608 KD9GN         59  04     S57AW         59  15     0
QSO: 21000 PH 2014-10-25 1613 KD9GN         59  04     N7AT          59  03     0
QSO: 28000 PH 2014-10-25 1627 KD9GN         59  04     T4RK          59  08     0
QSO: 28000 PH 2014-10-25 1632 KD9GN         59  04     VE9DX         59  05     0
QSO: 28000 PH 2014-10-25 1647 KD9GN         59  04     TM6M          59  14     0
QSO: 21000 PH 2014-10-25 1710 KD9GN         59  04     VE5PV         59  04     0
QSO: 21000 PH 2014-10-26 0005 KD9GN         59  04     T46A          59  08     0
QSO: 21000 PH 2014-10-26 0011 KD9GN         59  04     VP5DX         59  08     0
QSO: 14000 PH 2014-10-26 0024 KD9GN         59  04     KP2M          59  08     0
QSO: 14000 PH 2014-10-26 0040 KD9GN         59  04     EC2DX         59  14     0
QSO: 14000 PH 2014-10-26 0047 KD9GN         59  04     CN3A          59  33     0
QSO: 14000 PH 2014-10-26 0056 KD9GN         59  04     SJ1W          59  14     0
QSO: 14000 PH 2014-10-26 0104 KD9GN         59  04     ED9K          59  33     0
QSO: 14000 PH 2014-10-26 0115 KD9GN         59  04     ED1R          59  14     0
QSO: 14000 PH 2014-10-26 0124 KD9GN         59  04     NP2P          59  08     0
QSO: 14000 PH 2014-10-26 0127 KD9GN         59  04     SJ2W          59  14     0
QSO: 14000 PH 2014-10-26 0131 KD9GN         59  04     PJ4X          59  09     0
QSO: 14000 PH 2014-10-26 0136 KD9GN         59  04     VE7GL         59  03     0
QSO: 14000 PH 2014-10-26 0150 KD9GN         59  04     CR5A          59  14     0
QSO:  7000 PH 2014-10-26 0227 KD9GN         59  04     TM6M          59  14     0
QSO:  7000 PH 2014-10-26 0239 KD9GN         59  04     VY2RX         59  05     0
QSO: 14000 PH 2014-10-26 0256 KD9GN         59  04     VE7NY         59  03     0
QSO: 14000 PH 2014-10-26 0300 KD9GN         59  04     CN2AA         59  33     0
QSO: 14000 PH 2014-10-26 0313 KD9GN         59  04     9Y4W          59  09     0
QSO: 14000 PH 2014-10-26 0328 KD9GN         59  04     RW0A          59  18     0
QSO:  7000 PH 2014-10-26 0351 KD9GN         59  04     VE3DC         59  04     0
QSO:  7000 PH 2014-10-26 0404 KD9GN         59  04     VE7GL         59  03     0
QSO:  7000 PH 2014-10-26 0427 KD9GN         59  04     TM7G          59  14     0
QSO:  7000 PH 2014-10-26 0428 KD9GN         59  04     ED1R          59  14     0
QSO:  7000 PH 2014-10-26 0431 KD9GN         59  04     CT3DL         59  33     0
QSO:  7000 PH 2014-10-26 0435 KD9GN         59  04     IR4M          59  15     0
QSO:  7000 PH 2014-10-26 0439 KD9GN         59  04     CR2X          59  14     0
QSO:  7000 PH 2014-10-26 0446 KD9GN         59  04     PI4DX         59  14     0
QSO:  7000 PH 2014-10-26 0448 KD9GN         59  04     EF8S          59  33     0
QSO:  7000 PH 2014-10-26 0459 KD9GN         59  04     OM7M          59  15     0
QSO: 14000 PH 2014-10-26 0512 KD9GN         59  04     SK3W          59  14     0
QSO: 14000 PH 2014-10-26 0514 KD9GN         59  04     EE2K          59  14     0
QSO: 14000 PH 2014-10-26 0518 KD9GN         59  04     CS2P          59  14     0
QSO: 14000 PH 2014-10-26 0523 KD9GN         59  04     TG9ANF        59  07     0
QSO: 14000 PH 2014-10-26 0543 KD9GN         59  04     TO5A          59  08     0
QSO: 14000 PH 2014-10-26 0546 KD9GN         59  04     HG7T          59  15     0
QSO: 14000 PH 2014-10-26 0548 KD9GN         59  04     CS2C          59  14     0
QSO: 21000 PH 2014-10-26 1430 KD9GN         59  04     TG9IIN        59  07     0
QSO: 21000 PH 2014-10-26 1435 KD9GN         59  04     IK2YCW        59  15     0
QSO: 28000 PH 2014-10-26 1441 KD9GN         59  04     YN5Z          59  07     0
QSO: 28000 PH 2014-10-26 1502 KD9GN         59  04     DL5RBW        59  14     0
QSO: 21000 PH 2014-10-26 1550 KD9GN         59  04     TI5M          59  07     0
END-OF-LOG:
