START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WW-SSB
CALLSIGN: VI3RVAC
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-STATION: FIXED
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-BAND: ALL
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 22041
CLUB: VK CONTEST CLUB
OPERATORS: VK3BQ VK3PH
NAME: Eastern and Mountain District Radio Club
CREATED-BY: VK3AVV VK Contest Log (Ver 3.10)
SOAPBOX: VI3RVAC is a special event callsign to celebrate the 100th Anniversary
SOAPBOX: of the Royal Victorian Aeronautical (flying) Club.
SOAPBOX:
SOAPBOX:
SOAPBOX:
SOAPBOX:
SOAPBOX:
QSO: 28512 PH 2014-10-25 0042 VI3RVAC       59  30     K7RI          59  03     0
QSO: 28522 PH 2014-10-25 0053 VI3RVAC       59  30     N7AT          59  03     0
QSO: 28527 PH 2014-10-25 0058 VI3RVAC       59  30     VK3TJ         59  30     0
QSO: 28527 PH 2014-10-25 0101 VI3RVAC       59  30     VK3PMM        59  30     0
QSO: 28527 PH 2014-10-25 0110 VI3RVAC       59  30     VK3DGN        59  30     0
QSO: 28527 PH 2014-10-25 0110 VI3RVAC       59  30     N6JV          59  03     0
QSO: 28527 PH 2014-10-25 0111 VI3RVAC       59  30     K5DS          59  03     0
QSO: 28527 PH 2014-10-25 0111 VI3RVAC       59  30     W7OM          59  03     0
QSO: 28527 PH 2014-10-25 0112 VI3RVAC       59  30     VE7FCO        59  03     0
QSO: 28527 PH 2014-10-25 0112 VI3RVAC       59  30     W6TK          59  03     0
QSO: 28527 PH 2014-10-25 0113 VI3RVAC       59  30     VK3KE         59  30     0
QSO: 28527 PH 2014-10-25 0113 VI3RVAC       59  30     K6LL          59  03     0
QSO: 28527 PH 2014-10-25 0114 VI3RVAC       59  30     VK4FFAB       59  30     0
QSO: 28527 PH 2014-10-25 0115 VI3RVAC       59  30     WA5DTK        59  03     0
QSO: 28527 PH 2014-10-25 0116 VI3RVAC       59  30     K6AIA         59  03     0
QSO: 28527 PH 2014-10-25 0118 VI3RVAC       59  30     W5GN          59  04     0
QSO: 28527 PH 2014-10-25 0119 VI3RVAC       59  30     W9OAB         59  04     0
QSO: 14211 PH 2014-10-26 0911 VI3RVAC       59  30     K4VV          59  05     0
QSO: 14182 PH 2014-10-26 0914 VI3RVAC       59  30     OE6Z          59  15     0
QSO: 14153 PH 2014-10-26 0915 VI3RVAC       59  30     WE3C          59  05     0
QSO: 14245 PH 2014-10-26 0919 VI3RVAC       59  30     KJ4MCZ        59  04     0
QSO: 14151 PH 2014-10-26 0922 VI3RVAC       59  30     K3LR          59  05     0
QSO: 14271 PH 2014-10-26 0926 VI3RVAC       59  30     F0HK          59  14     0
QSO: 14260 PH 2014-10-26 0930 VI3RVAC       59  30     ES5G          59  15     0
QSO: 14217 PH 2014-10-26 0935 VI3RVAC       59  30     PA0AA         59  14     0
QSO: 21311 PH 2014-10-26 0938 VI3RVAC       59  30     PQ5B          59  11     0
QSO: 21368 PH 2014-10-26 0940 VI3RVAC       59  30     ZM1A          59  32     0
QSO: 21304 PH 2014-10-26 0943 VI3RVAC       59  30     VR2XAN        59  24     0
QSO: 21291 PH 2014-10-26 0945 VI3RVAC       59  30     BI4SSB        59  24     0
QSO: 14225 PH 2014-10-26 0946 VI3RVAC       59  30     NR3X          59  05     0
QSO: 14295 PH 2014-10-26 0946 VI3RVAC       59  30     3G1B          59  12     0
QSO:  7138 PH 2014-10-26 0953 VI3RVAC       59  30     K7RL          59  03     0
QSO:  7171 PH 2014-10-26 0955 VI3RVAC       59  30     VK2GGC        59  30     0
QSO:  7157 PH 2014-10-26 0956 VI3RVAC       59  30     CG3AT         59  04     0
QSO:  7165 PH 2014-10-26 0958 VI3RVAC       59  30     KH7XX         59  30     0
QSO:  7159 PH 2014-10-26 1000 VI3RVAC       59  30     W4AAA         59  05     0
QSO: 14232 PH 2014-10-26 1003 VI3RVAC       59  30     WH2DX         59  27     0
QSO: 14264 PH 2014-10-26 1009 VI3RVAC       59  30     RK0UT         59  18     0
QSO: 21318 PH 2014-10-26 1014 VI3RVAC       59  30     OH8L          59  15     0
QSO: 14253 PH 2014-10-26 1019 VI3RVAC       59  30     W9PA          59  04     0
QSO: 14253 PH 2014-10-26 1020 VI3RVAC       59  30     W3KB          59  05     0
QSO: 14253 PH 2014-10-26 1021 VI3RVAC       59  30     W4TUN         59  05     0
QSO: 14253 PH 2014-10-26 1022 VI3RVAC       59  30     W4AKL         59  05     0
QSO: 14253 PH 2014-10-26 1023 VI3RVAC       59  30     JA1LNZ        59  25     0
QSO: 14253 PH 2014-10-26 1023 VI3RVAC       59  30     N4TZ          59  04     0
QSO: 14253 PH 2014-10-26 1023 VI3RVAC       59  30     W3MF          59  05     0
QSO: 14253 PH 2014-10-26 1023 VI3RVAC       59  30     K4FS          59  05     0
QSO: 14253 PH 2014-10-26 1024 VI3RVAC       59  30     K8YYY         59  05     0
QSO: 14253 PH 2014-10-26 1024 VI3RVAC       59  30     W2RD          59  05     0
QSO: 14253 PH 2014-10-26 1024 VI3RVAC       59  30     W9JOE         59  04     0
QSO: 14253 PH 2014-10-26 1025 VI3RVAC       59  30     W9JJB         59  04     0
QSO: 14253 PH 2014-10-26 1026 VI3RVAC       59  30     W3OA          59  05     0
QSO: 14253 PH 2014-10-26 1026 VI3RVAC       59  30     N2SQW         59  05     0
QSO: 14253 PH 2014-10-26 1027 VI3RVAC       59  30     N4ZC          59  05     0
QSO: 14253 PH 2014-10-26 1028 VI3RVAC       59  30     N8DEA         59  04     0
QSO: 14253 PH 2014-10-26 1028 VI3RVAC       59  30     N3BUD         59  05     0
QSO: 14253 PH 2014-10-26 1029 VI3RVAC       59  30     W1OW          59  05     0
QSO:  7149 PH 2014-10-26 1032 VI3RVAC       59  30     VK2PR         59  30     0
QSO:  7181 PH 2014-10-26 1036 VI3RVAC       59  30     VK9LM         59  30     0
QSO:  7155 PH 2014-10-26 1038 VI3RVAC       59  30     K0RF          59  04     0
QSO:  7156 PH 2014-10-26 1042 VI3RVAC       59  30     AH0K          59  27     0
QSO:  7141 PH 2014-10-26 1043 VI3RVAC       59  30     K3LR          59  05     0
QSO: 21309 PH 2014-10-26 1048 VI3RVAC       59  30     JS3CTQ        59  25     0
QSO: 21316 PH 2014-10-26 1049 VI3RVAC       59  30     BY5CD         59  24     0
QSO: 14253 PH 2014-10-26 1054 VI3RVAC       59  30     JA7NVF        59  30     0
QSO: 14280 PH 2014-10-26 1058 VI3RVAC       59  30     DY1UGZ        59  27     0
QSO: 14277 PH 2014-10-26 1058 VI3RVAC       59  30     JI2ZJS        59  25     0
QSO: 14264 PH 2014-10-26 1100 VI3RVAC       59  30     KH7XX         59  31     0
QSO: 14250 PH 2014-10-26 1101 VI3RVAC       59  30     E51CG         59  30     0
