START-OF-LOG: 3.0
CALLSIGN: F4ETG
LOCATION: FRANCE
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 460010
CREATED-BY: RUMped Ver. 3.2.10  by Tom, DL2RUM
NAME: Olivier Marchal
OPERATORS: F4ETG
SOAPBOX: What a blast ! Year after year, thanks to all!
QSO:  7000 PH 2014-10-25 0406 F4ETG         59      14 GM5X          59      14 0
QSO:  7000 PH 2014-10-25 0407 F4ETG         59      14 IS0GRB        59      15 0
QSO:  7000 PH 2014-10-25 0421 F4ETG         59      14 EU6ML         59      16 0
QSO:  7000 PH 2014-10-25 0423 F4ETG         59      14 EE6E          59      14 0
QSO:  7000 PH 2014-10-25 0424 F4ETG         59      14 EU1A          59      16 0
QSO:  7000 PH 2014-10-25 0434 F4ETG         59      14 SP8K          59      15 0
QSO:  7000 PH 2014-10-25 0442 F4ETG         59      14 UW7LL         59      16 0
QSO:  7000 PH 2014-10-25 0444 F4ETG         59      14 ED5O          59      14 0
QSO:  7000 PH 2014-10-25 0457 F4ETG         59      14 HA8JV         59      15 0
QSO:  7000 PH 2014-10-25 0458 F4ETG         59      14 HA8RM         59      15 0
QSO:  7000 PH 2014-10-25 0502 F4ETG         59      14 RC7KY         59      16 0
QSO:  7000 PH 2014-10-25 0512 F4ETG         59      14 LY4A          59      15 0
QSO: 14000 PH 2014-10-25 0518 F4ETG         59      14 SZ3P          59      20 0
QSO: 14000 PH 2014-10-25 0519 F4ETG         59      14 H2T           59      20 0
QSO: 14000 PH 2014-10-25 0520 F4ETG         59      14 RL3BZ         59      16 0
QSO: 14000 PH 2014-10-25 0524 F4ETG         59      14 UR6EA         59      16 0
QSO: 14000 PH 2014-10-25 0526 F4ETG         59      14 LZ9W          59      20 0
QSO: 14000 PH 2014-10-25 0532 F4ETG         59      14 SZ1A          59      20 0
QSO: 14000 PH 2014-10-25 0534 F4ETG         59      14 UT1AA         59      16 0
QSO: 14000 PH 2014-10-25 0535 F4ETG         59      14 RA3Y          59      16 0
QSO: 14000 PH 2014-10-25 0539 F4ETG         59      14 UW7E          59      16 0
QSO: 14000 PH 2014-10-25 0544 F4ETG         59      14 LZ5R          59      20 0
QSO: 14000 PH 2014-10-25 0548 F4ETG         59      14 9K9Z          59      21 0
QSO: 14000 PH 2014-10-25 0549 F4ETG         59      14 HG7T          59      15 0
QSO: 14000 PH 2014-10-25 0549 F4ETG         59      14 YT3M          59      15 0
QSO: 14000 PH 2014-10-25 0550 F4ETG         59      14 EW6GF         59      16 0
QSO: 14000 PH 2014-10-25 0551 F4ETG         59      14 RT4F          59      16 0
QSO: 14000 PH 2014-10-25 0551 F4ETG         59      14 EU6AF         59      16 0
QSO: 14000 PH 2014-10-25 0554 F4ETG         59      14 4L8A          59      21 0
QSO: 14000 PH 2014-10-25 0559 F4ETG         59      14 UA1AQA        59      16 0
QSO: 14000 PH 2014-10-25 0603 F4ETG         59      14 YR8D          59      20 0
QSO: 14000 PH 2014-10-25 0605 F4ETG         59      14 RX1CQ         59      16 0
QSO: 14000 PH 2014-10-25 0606 F4ETG         59      14 UP9L          59      17 0
QSO: 14000 PH 2014-10-25 0607 F4ETG         59      14 IT9LED        59      15 0
QSO: 14000 PH 2014-10-25 0608 F4ETG         59      14 9A8M          59      15 0
QSO: 14000 PH 2014-10-25 0611 F4ETG         59      14 YT1A          59      15 0
QSO: 14000 PH 2014-10-25 0613 F4ETG         59      14 IZ8EPX        59      15 0
QSO: 14000 PH 2014-10-25 0614 F4ETG         59      14 II9K          59      15 0
QSO: 14000 PH 2014-10-25 0615 F4ETG         59      14 YL2BJ         59      15 0
QSO: 14000 PH 2014-10-25 0617 F4ETG         59      14 RG4F          59      16 0
QSO: 14000 PH 2014-10-25 0620 F4ETG         59      14 R1AK          59      16 0
QSO: 14000 PH 2014-10-25 0621 F4ETG         59      14 YL2CI         59      15 0
QSO: 14000 PH 2014-10-25 0622 F4ETG         59      14 UY1IP         59      16 0
QSO: 14000 PH 2014-10-25 0624 F4ETG         59      14 ES1O          59      15 0
QSO: 14000 PH 2014-10-25 0625 F4ETG         59      14 UW5Y          59      16 0
QSO: 14000 PH 2014-10-25 0626 F4ETG         59      14 SI9AM         59      14 0
QSO: 14000 PH 2014-10-25 0627 F4ETG         59      14 OH1F          59      15 0
QSO: 14000 PH 2014-10-25 0627 F4ETG         59      14 LY7A          59      15 0
QSO: 14000 PH 2014-10-25 0627 F4ETG         59      14 LY6A          59      15 0
QSO: 14000 PH 2014-10-25 0629 F4ETG         59      14 J43TR         59      20 0
QSO: 14000 PH 2014-10-25 0631 F4ETG         59      14 OM7RU         59      15 0
QSO: 14000 PH 2014-10-25 0631 F4ETG         59      14 SQ7NSN        59      15 0
QSO: 14000 PH 2014-10-25 0632 F4ETG         59      14 IO9Y          59      33 0
QSO: 14000 PH 2014-10-25 0632 F4ETG         59      14 RW1A          59      16 0
QSO: 14000 PH 2014-10-25 0633 F4ETG         59      14 SP8R          59      15 0
QSO: 14000 PH 2014-10-25 0636 F4ETG         59      14 UA5B          59      16 0
QSO: 14000 PH 2014-10-25 0636 F4ETG         59      14 OG2A          59      15 0
QSO: 21000 PH 2014-10-25 0638 F4ETG         59      14 LZ2UW         59      20 0
QSO: 21000 PH 2014-10-25 0638 F4ETG         59      14 UX4E          59      16 0
QSO: 21000 PH 2014-10-25 0641 F4ETG         59      14 ZA/F4GFE      59      15 0
QSO: 21000 PH 2014-10-25 0643 F4ETG         59      14 SX9C          59      20 0
QSO: 21000 PH 2014-10-25 0644 F4ETG         59      14 9K2HN         59      21 0
QSO: 21000 PH 2014-10-25 0647 F4ETG         59      14 II9P          59      15 0
QSO: 21000 PH 2014-10-25 0651 F4ETG         59      14 RA9AU         59      17 0
QSO: 21000 PH 2014-10-25 0652 F4ETG         59      14 4L0A          59      21 0
QSO: 21000 PH 2014-10-25 0654 F4ETG         59      14 SX3B          59      20 0
QSO: 21000 PH 2014-10-25 0654 F4ETG         59      14 Z35T          59      15 0
QSO: 21000 PH 2014-10-25 0657 F4ETG         59      14 UZ4I          59      16 0
QSO: 21000 PH 2014-10-25 0658 F4ETG         59      14 A71CO         59      21 0
QSO: 21000 PH 2014-10-25 0659 F4ETG         59      14 UZ5U          59      16 0
QSO: 21000 PH 2014-10-25 0700 F4ETG         59      14 RT5Z          59      16 0
QSO: 21000 PH 2014-10-25 0703 F4ETG         59      14 J42T          59      20 0
QSO: 21000 PH 2014-10-25 0706 F4ETG         59      14 RC9O          59      18 0
QSO: 21000 PH 2014-10-25 0706 F4ETG         59      14 RW4W          59      16 0
QSO: 21000 PH 2014-10-25 0707 F4ETG         59      14 UW5Q          59      16 0
QSO: 21000 PH 2014-10-25 0708 F4ETG         59      14 J43TR         59      20 0
QSO: 21000 PH 2014-10-25 0710 F4ETG         59      14 IZ8EPX        59      15 0
QSO: 21000 PH 2014-10-25 0710 F4ETG         59      14 RU9CC         59      17 0
QSO: 21000 PH 2014-10-25 0711 F4ETG         59      14 RL3BZ         59      16 0
QSO: 21000 PH 2014-10-25 0712 F4ETG         59      14 EV1R          59      16 0
QSO: 21000 PH 2014-10-25 0712 F4ETG         59      14 UW7LL         59      16 0
QSO: 21000 PH 2014-10-25 0715 F4ETG         59      14 RM3F          59      16 0
QSO: 28000 PH 2014-10-25 0723 F4ETG         59      14 TC2BC         59      20 0
QSO: 28000 PH 2014-10-25 0723 F4ETG         59      14 9K2HN         59      21 0
QSO: 28000 PH 2014-10-25 0725 F4ETG         59      14 UB7K          59      16 0
QSO: 28000 PH 2014-10-25 0725 F4ETG         59      14 EY8MM         59      17 0
QSO: 28000 PH 2014-10-25 0726 F4ETG         59      14 P3F           59      20 0
QSO: 28000 PH 2014-10-25 0730 F4ETG         59      14 A65BP         59      21 0
QSO: 28000 PH 2014-10-25 0733 F4ETG         59      14 P33W          59      20 0
QSO: 28000 PH 2014-10-25 0734 F4ETG         59      14 RL3BZ         59      16 0
QSO: 28000 PH 2014-10-25 0737 F4ETG         59      14 SV1JG         59      20 0
QSO: 28000 PH 2014-10-25 0737 F4ETG         59      14 A71CO         59      21 0
QSO: 28000 PH 2014-10-25 0739 F4ETG         59      14 EA8AH         59      33 0
QSO: 28000 PH 2014-10-25 0739 F4ETG         59      14 R3BA          59      16 0
QSO: 28000 PH 2014-10-25 0742 F4ETG         59      14 RC3W          59      16 0
QSO: 28000 PH 2014-10-25 0744 F4ETG         59      14 UK9AA         59      17 0
QSO: 28000 PH 2014-10-25 0745 F4ETG         59      14 A61ZX         59      21 0
QSO: 28000 PH 2014-10-25 0746 F4ETG         59      14 UA5B          59      16 0
QSO: 28000 PH 2014-10-25 0750 F4ETG         59      14 RA0R          59      19 0
QSO: 28000 PH 2014-10-25 0752 F4ETG         59      14 LZ1NG         59      20 0
QSO: 28000 PH 2014-10-25 0754 F4ETG         59      14 5B4ALX        59      20 0
QSO: 28000 PH 2014-10-25 0755 F4ETG         59      14 UT8IO         59      16 0
QSO: 28000 PH 2014-10-25 0756 F4ETG         59      14 UV5U          59      16 0
QSO: 28000 PH 2014-10-25 0758 F4ETG         59      14 EA8YV         59      33 0
QSO: 28000 PH 2014-10-25 0759 F4ETG         59      14 SZ1A          59      20 0
QSO: 28000 PH 2014-10-25 0803 F4ETG         59      14 UA9XL         59      17 0
QSO: 28000 PH 2014-10-25 0804 F4ETG         59      14 JA6GCE        59      25 0
QSO: 28000 PH 2014-10-25 0806 F4ETG         59      14 R4RT          59      16 0
QSO: 28000 PH 2014-10-25 0807 F4ETG         59      14 EA8MT         59      33 0
QSO: 28000 PH 2014-10-25 0807 F4ETG         59      14 SV8/HA5OV     59      20 0
QSO: 28000 PH 2014-10-25 0811 F4ETG         59      14 R9UAG         59      18 0
QSO: 28000 PH 2014-10-25 0813 F4ETG         59      14 ER1BF         59      16 0
QSO: 28000 PH 2014-10-25 0814 F4ETG         59      14 RA3NC         59      16 0
QSO: 28000 PH 2014-10-25 0817 F4ETG         59      14 EA8CNR        59      33 0
QSO: 28000 PH 2014-10-25 0818 F4ETG         59      14 JH4UYB        59      25 0
QSO: 28000 PH 2014-10-25 0820 F4ETG         59      14 UT7EZZ        59      16 0
QSO: 28000 PH 2014-10-25 0821 F4ETG         59      14 UW7LL         59      16 0
QSO: 28000 PH 2014-10-25 0823 F4ETG         59      14 R7AW          59      16 0
QSO: 28000 PH 2014-10-25 0823 F4ETG         59      14 EF8U          59      33 0
QSO: 28000 PH 2014-10-25 0828 F4ETG         59      14 UW7E          59      16 0
QSO: 28000 PH 2014-10-25 0829 F4ETG         59      14 LZ5R          59      20 0
QSO: 28000 PH 2014-10-25 0830 F4ETG         59      14 4L0A          59      21 0
QSO: 28000 PH 2014-10-25 0836 F4ETG         59      14 H2T           59      20 0
QSO: 28000 PH 2014-10-25 0837 F4ETG         59      14 YO9HP         59      20 0
QSO: 28000 PH 2014-10-25 0839 F4ETG         59      14 TC7V          59      20 0
QSO: 28000 PH 2014-10-25 0842 F4ETG         59      14 EA8/LY2IJ     59      33 0
QSO: 28000 PH 2014-10-25 0842 F4ETG         59      14 RA3EA         59      16 0
QSO: 21000 PH 2014-10-25 0845 F4ETG         59      14 IZ8HUJ        59      15 0
QSO: 21000 PH 2014-10-25 0845 F4ETG         59      14 UA9XL         59      17 0
QSO: 21000 PH 2014-10-25 0847 F4ETG         59      14 UT7EZZ        59      16 0
QSO: 21000 PH 2014-10-25 0849 F4ETG         59      14 SP4DZT        59      15 0
QSO: 21000 PH 2014-10-25 0849 F4ETG         59      14 UW5ZM         59      16 0
QSO: 21000 PH 2014-10-25 0850 F4ETG         59      14 UW2M          59      16 0
QSO: 21000 PH 2014-10-25 0851 F4ETG         59      14 SN8B          59      15 0
QSO: 21000 PH 2014-10-25 0916 F4ETG         59      14 LZ9W          59      20 0
QSO: 21000 PH 2014-10-25 0919 F4ETG         59      14 LY7A          59      15 0
QSO: 21000 PH 2014-10-25 0920 F4ETG         59      14 YT5A          59      15 0
QSO: 21000 PH 2014-10-25 0920 F4ETG         59      14 UW8SM         59      16 0
QSO: 21000 PH 2014-10-25 0923 F4ETG         59      14 SI9AM         59      14 0
QSO: 21000 PH 2014-10-25 0924 F4ETG         59      14 4O3A          59      15 0
QSO: 21000 PH 2014-10-25 0924 F4ETG         59      14 CR6T          59      14 0
QSO: 21000 PH 2014-10-25 0926 F4ETG         59      14 DH8BQA        59      14 0
QSO: 21000 PH 2014-10-25 0928 F4ETG         59      14 SN2B          59      15 0
