START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.14.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: SK3W
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 15698833
OPERATORS: ON3DI SA5BCG SA5BJM SM0MDG SM0MLZ SM0SHG SM3SGP SM5AJV SM5EPO SM5IMO SM5PHU
NAME: Fernebo Contest Team - Gunnar Widell
SOAPBOX:
QSO: 28490 PH 2014-10-25 0000 SK3W          59  14     GW9T          59  14     0
QSO: 28490 PH 2014-10-25 0000 SK3W          59  14     GI0UVD        59  14     0
QSO: 14250 PH 2014-10-25 0000 SK3W          59  14     RZ3Z          59  16     0
QSO: 28490 PH 2014-10-25 0000 SK3W          59  14     M6T           59  14     0
QSO: 14250 PH 2014-10-25 0001 SK3W          59  14     OK6Y          59  15     0
QSO: 21259 PH 2014-10-25 0001 SK3W          59  14     PA3GJN        59  14     0
QSO: 14250 PH 2014-10-25 0001 SK3W          59  14     UA4M          59  16     0
QSO: 21259 PH 2014-10-25 0001 SK3W          59  14     W7WW          59  03     0
QSO: 14250 PH 2014-10-25 0001 SK3W          59  14     UI5F          59  16     0
QSO: 21259 PH 2014-10-25 0002 SK3W          59  14     9A5W          59  15     0
QSO: 28490 PH 2014-10-25 0002 SK3W          59  14     G4GGZ         59  14     0
QSO:  7155 PH 2014-10-25 0002 SK3W          59  14     A71CO         59  21     0
QSO: 14250 PH 2014-10-25 0002 SK3W          59  14     M6MFL         59  14     0
QSO:  3746 PH 2014-10-25 0003 SK3W          59  14     YT4A          59  15     0
QSO: 28490 PH 2014-10-25 0003 SK3W          59  14     MM0TFU        59  14     0
QSO:  3743 PH 2014-10-25 0003 SK3W          59  14     RU9CZD        59  17     0
QSO:  3737 PH 2014-10-25 0003 SK3W          59  14     PI4M          59  14     0
QSO: 28490 PH 2014-10-25 0003 SK3W          59  14     OH0V          59  15     0
QSO: 28490 PH 2014-10-25 0004 SK3W          59  14     MI0RRE        59  14     0
QSO: 28490 PH 2014-10-25 0004 SK3W          59  14     M0MCX         59  14     0
QSO:  3735 PH 2014-10-25 0004 SK3W          59  14     LY7A          59  15     0
QSO:  3735 PH 2014-10-25 0004 SK3W          59  14     DL0CS         59  14     0
QSO: 28490 PH 2014-10-25 0005 SK3W          59  14     G4UQB         59  14     0
QSO:  3735 PH 2014-10-25 0005 SK3W          59  14     DJ6QT         59  14     0
QSO: 14250 PH 2014-10-25 0005 SK3W          59  14     G8JYV         59  14     0
QSO: 21284 PH 2014-10-25 0005 SK3W          59  14     ON4MW         59  14     0
QSO: 14250 PH 2014-10-25 0005 SK3W          59  14     DL6NDW        59  14     0
QSO:  3735 PH 2014-10-25 0006 SK3W          59  14     LY2W          59  15     0
QSO: 14250 PH 2014-10-25 0006 SK3W          59  14     HA4UC         59  15     0
QSO: 14250 PH 2014-10-25 0006 SK3W          59  14     S50G          59  15     0
QSO: 21284 PH 2014-10-25 0007 SK3W          59  14     MI0LJM        59  14     0
