START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: LY7A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12113640
OPERATORS: LYR346 LY1DI LY1FK LY1FU LY1SR LY2DX LY2J LY2K LY2KJ LY2LL LY3BB
OPERATORS: LY3DA LY3HD LY3RQ LY3UT LY4G LY4Z LY9A
CLUB: Kaunas University of Technology Radio Club
NAME: KTU RC HQ
SOAPBOX:
QSO:  1800 PH 2014-10-25 0008 LY7A          59  15     Z37M          59  15     1
QSO:  3500 PH 2014-10-25 0008 LY7A          59  15     DL1A          59  14     1
QSO:  7000 PH 2014-10-25 0008 LY7A          59  15     G2F           59  14     1
QSO:  3500 PH 2014-10-25 0008 LY7A          59  15     S50XX         59  15     1
QSO: 14174 PH 2014-10-25 0009 LY7A          59  15     RW1A          59  16     1
QSO:  7000 PH 2014-10-25 0009 LY7A          59  15     TC0F          59  20     1
QSO: 14174 PH 2014-10-25 0009 LY7A          59  15     W3UA          59  5      1
QSO:  3500 PH 2014-10-25 0009 LY7A          59  15     OT5A          59  14     1
QSO:  3500 PH 2014-10-25 0009 LY7A          59  15     S53EA         59  15     1
QSO:  3500 PH 2014-10-25 0009 LY7A          59  15     YP7A          59  20     1
QSO:  1800 PH 2014-10-25 0009 LY7A          59  15     MM3LLU        59  14     1
QSO: 21000 PH 2014-10-25 0010 LY7A          59  15     W7VJ          59  3      1
QSO:  7000 PH 2014-10-25 0010 LY7A          59  15     CT1FHL        59  14     1
QSO: 14174 PH 2014-10-25 0010 LY7A          59  15     OZ7X          59  14     1
QSO:  3500 PH 2014-10-25 0010 LY7A          59  15     DQ5X          59  14     1
QSO:  7000 PH 2014-10-25 0010 LY7A          59  15     CT3DL         59  33     1
QSO:  3500 PH 2014-10-25 0010 LY7A          59  15     IB9T          59  15     1
QSO: 14174 PH 2014-10-25 0010 LY7A          59  15     OH0Z          59  15     1
QSO:  7000 PH 2014-10-25 0011 LY7A          59  15     J42T          59  20     1
QSO:  1800 PH 2014-10-25 0011 LY7A          59  15     DK1NO         59  14     1
QSO:  1800 PH 2014-10-25 0011 LY7A          59  15     UT5UGR        59  16     1
QSO:  3500 PH 2014-10-25 0011 LY7A          59  15     PA8F          59  14     1
