START-OF-LOG: 3.0
CONTEST: EA-PSK63
CALLSIGN: UA4NX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 29120
LOCATION: UA
CREATED-BY: UR5EQF log v.3.31-60
NAME: Eduard
SOAPBOX: ICOM IC-718 50w  ANT 80m DIPOL, 40-10m - GP
QSO: 21075 PM 2015-03-14 1616 UA4NX         599 001    EA5FQ         599 V
QSO: 21074 PM 2015-03-14 1618 UA4NX         599 002    YO7CVL        599 004
QSO: 21073 PM 2015-03-14 1620 UA4NX         599 003    EA1AHY        599 S
QSO: 21071 PM 2015-03-14 1624 UA4NX         599 004    EA3XP         599 B
QSO: 21072 PM 2015-03-14 1635 UA4NX         599 005    EA1CUI        599 O
QSO: 21072 PM 2015-03-14 1638 UA4NX         599 006    EA6BH         599 IB
QSO: 14073 PM 2015-03-14 1648 UA4NX         599 007    A71MM         599 023
QSO: 14072 PM 2015-03-14 1650 UA4NX         599 008    A92AA         599 032
QSO: 14071 PM 2015-03-14 1652 UA4NX         599 009    A61DJ         599 025
QSO: 14073 PM 2015-03-14 1653 UA4NX         599 010    E21YDP        599 004
QSO: 14080 PM 2015-03-14 1658 UA4NX         599 011    IW3FVZ        599 028
QSO: 14081 PM 2015-03-14 1659 UA4NX         599 012    DQ70ELBE      599 035
QSO: 14071 PM 2015-03-14 1702 UA4NX         599 013    IZ8JFL/1      599 032
QSO: 21071 PM 2015-03-14 1706 UA4NX         599 014    EA6ALW        599 IB
QSO: 21074 PM 2015-03-14 1710 UA4NX         599 015    LZ1QV         599 013
QSO: 21073 PM 2015-03-14 1712 UA4NX         599 016    LZ137LO       599 057
QSO: 21074 PM 2015-03-14 1713 UA4NX         599 017    EC7RC         599 AL
QSO: 21075 PM 2015-03-14 1716 UA4NX         599 018    EB5CUZ        599 CS
QSO: 21074 PM 2015-03-14 1717 UA4NX         599 019    9A5K          599 051
