START-OF-LOG: 3.0
CONTEST: EA-PSK63
CALLSIGN: EU6AA
CLAIMED-SCORE: 14141
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CREATED-BY: UR5EQF log v.3.31-47
NAME: Victor Kostyuk
SOAPBOX: TRX: FT-840, Pwr - 100W,  Ant: Delata Loop 168m
QSO: 14000 PM 2015-03-14 1707 EU6AA         599 001    EE7Y          599 H
QSO: 14000 PM 2015-03-14 1708 EU6AA         599 002    UA6XES        599 033
QSO: 14000 PM 2015-03-14 1711 EU6AA         599 003    PD0RXP        599 046
QSO: 14000 PM 2015-03-14 1711 EU6AA         599 004    S50P          599 039
QSO: 14000 PM 2015-03-14 1712 EU6AA         599 005    A61DJ         599 044
QSO: 14000 PM 2015-03-14 1713 EU6AA         599 006    IW3FVZ        599 041
QSO: 14000 PM 2015-03-14 1714 EU6AA         599 007    SV2FLQ/A      599 016
QSO: 14000 PM 2015-03-14 1716 EU6AA         599 008    PA3EYC        599 012
QSO: 14000 PM 2015-03-14 1717 EU6AA         599 009    G4OGB         599 034
QSO: 14000 PM 2015-03-14 1718 EU6AA         599 010    YU7AOP        599 045
QSO: 14000 PM 2015-03-14 1719 EU6AA         599 011    PD70BZH       599 014
QSO: 14000 PM 2015-03-14 1720 EU6AA         599 012    G3LHJ         599 066
QSO: 14000 PM 2015-03-14 1721 EU6AA         599 013    S57YK         599 036
QSO: 14000 PM 2015-03-14 1722 EU6AA         599 014    TA1BX         599 027
QSO: 14000 PM 2015-03-14 1743 EU6AA         599 015    4L1BR         599 001
QSO: 14000 PM 2015-03-14 1744 EU6AA         599 016    EA7GV         599 GR
QSO: 14000 PM 2015-03-14 1744 EU6AA         599 017    DQ70ELBE      599 057
QSO: 14000 PM 2015-03-14 1747 EU6AA         599 018    SV1KWA        599 025
QSO: 14000 PM 2015-03-14 1749 EU6AA         599 019    ES4RD         599 105
QSO: 14000 PM 2015-03-14 1750 EU6AA         599 020    DL2AL         599 051
QSO: 14000 PM 2015-03-14 1751 EU6AA         599 021    SP4TXI        599 084
QSO: 14000 PM 2015-03-14 1752 EU6AA         599 022    PA4B          599 027
QSO:  7000 PM 2015-03-14 1754 EU6AA         599 023    YT5W          599 037
QSO:  7000 PM 2015-03-14 1755 EU6AA         599 024    UA3PI         599 061
QSO:  7000 PM 2015-03-14 1755 EU6AA         599 025    YL5X          599 090
QSO:  7000 PM 2015-03-14 1757 EU6AA         599 026    OH3FM         599 079
QSO:  7000 PM 2015-03-14 1758 EU6AA         599 027    YL2NN         599 075
QSO:  7000 PM 2015-03-14 1759 EU6AA         599 028    UT5PY         599 047
QSO:  7000 PM 2015-03-14 1801 EU6AA         599 029    OH2NT         599 020
QSO:  7000 PM 2015-03-14 1803 EU6AA         599 030    IK5FKF        599 085
QSO:  3500 PM 2015-03-15 0416 EU6AA         599 031    US1VS         599 166
QSO:  3500 PM 2015-03-15 0417 EU6AA         599 032    YU7AOP        599 104
QSO:  3500 PM 2015-03-15 0418 EU6AA         599 033    SV2FLQ/A      599 211
QSO:  3500 PM 2015-03-15 0419 EU6AA         599 034    LY2BAA        599 066
QSO:  7000 PM 2015-03-15 0422 EU6AA         599 035    UY5IC         599 100
QSO:  7000 PM 2015-03-15 0423 EU6AA         599 036    EA2RCF        599 VI
QSO:  7000 PM 2015-03-15 0424 EU6AA         599 037    HA1AD         599 080
QSO:  7000 PM 2015-03-15 0425 EU6AA         599 038    PI4CG         599 412
QSO:  7000 PM 2015-03-15 0426 EU6AA         599 039    ED1B          599 O
QSO:  7000 PM 2015-03-15 0427 EU6AA         599 040    R4CO          599 046
QSO:  7000 PM 2015-03-15 0428 EU6AA         599 041    UX7QV         599 306
QSO:  7000 PM 2015-03-15 0429 EU6AA         599 042    RN4HFJ        599 194
QSO:  7000 PM 2015-03-15 0431 EU6AA         599 043    OM7AG         599 007
QSO:  7000 PM 2015-03-15 0433 EU6AA         599 044    UR5IHD        599 025
QSO:  7000 PM 2015-03-15 0434 EU6AA         599 045    LZ2DF         599 096
QSO:  7000 PM 2015-03-15 0435 EU6AA         599 046    UT3QD         599 067
QSO:  7000 PM 2015-03-15 0436 EU6AA         599 047    RA4AC         599 065
QSO:  7000 PM 2015-03-15 0438 EU6AA         599 048    YO9GSB        599 115
QSO:  7000 PM 2015-03-15 0440 EU6AA         599 049    R6LAQ         599 100
QSO: 14000 PM 2015-03-15 0442 EU6AA         599 050    RK9AN         599 148
QSO:  3500 PM 2015-03-15 0447 EU6AA         599 051    RA1ALC        599 386
QSO:  7000 PM 2015-03-15 0450 EU6AA         599 052    RM7K          599 RK12
QSO:  7000 PM 2015-03-15 0451 EU6AA         599 053    UR3AHF        599 134
QSO:  7000 PM 2015-03-15 0452 EU6AA         599 054    UT5ERV        599 016
QSO:  7000 PM 2015-03-15 0542 EU6AA         599 055    R3IK          599 067
QSO:  7000 PM 2015-03-15 0543 EU6AA         599 056    YO2LDU        599 112
QSO:  7000 PM 2015-03-15 0544 EU6AA         599 057    RD3FV         599 054
QSO:  7000 PM 2015-03-15 0544 EU6AA         599 058    SP5UUD        599 233
QSO:  7000 PM 2015-03-15 0546 EU6AA         599 059    UT2GA         599 230
QSO:  7000 PM 2015-03-15 0546 EU6AA         599 060    S57DX         599 137
