START-OF-LOG: 3.0
CONTEST: EA-PSK63
CREATED-BY: MixW
CALLSIGN: OM7OM
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: BPSK63
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
OPERATORS: OM7OM
CLAIMED-SCORE: 13328
NAME: Milan Pauco
SOAPBOX: YAESU FT-897 - power 100 watts, ant. Delta Loop
QSO: 14074 PM 2015-03-14 1621 OM7OM         599 001    IN3BFW        599 013
QSO: 14072 PM 2015-03-14 1623 OM7OM         599 002    YL5X          599 022
QSO: 14075 PM 2015-03-14 1625 OM7OM         599 003    IW3GST        599 010
QSO: 14075 PM 2015-03-14 1630 OM7OM         599 004    UZ5U          599 022
QSO: 14075 PM 2015-03-14 1631 OM7OM         599 005    PA4PS         599 009
QSO: 21075 PM 2015-03-14 1639 OM7OM         599 006    EB5CUZ        599 CS
QSO: 21075 PM 2015-03-14 1639 OM7OM         599 007    EE5H          599 V
QSO: 21073 PM 2015-03-14 1641 OM7OM         599 008    M0SHK         599 014
QSO: 21072 PM 2015-03-14 1644 OM7OM         599 009    EA2DDE        599 NA
QSO:  7045 PM 2015-03-14 1647 OM7OM         599 010    R7KO          599 022
QSO:  7045 PM 2015-03-14 1648 OM7OM         599 011    EC7AT         599 AL
QSO:  7041 PM 2015-03-14 1651 OM7OM         599 012    S50P          599 022
QSO:  7042 PM 2015-03-14 1654 OM7OM         599 013    OK2UHP        599 016
QSO:  7044 PM 2015-03-14 1656 OM7OM         599 014    UT5PY         599 023
QSO:  7045 PM 2015-03-14 1657 OM7OM         599 015    PG5V          599 018
QSO:  7045 PM 2015-03-14 1658 OM7OM         599 016    IQ1BVG/2      599 020
QSO:  7040 PM 2015-03-14 1700 OM7OM         599 017    EA3GBA        599 B
QSO: 14080 PM 2015-03-14 1701 OM7OM         599 018    IW3FVZ        599 032
QSO: 14079 PM 2015-03-14 1703 OM7OM         599 019    RD3ZQ         599 036
QSO: 14080 PM 2015-03-14 1704 OM7OM         599 020    EA4FJX        599 M
QSO: 14075 PM 2015-03-14 1705 OM7OM         599 021    PD0RXP        599 042
QSO: 14074 PM 2015-03-14 1706 OM7OM         599 022    EE7Y          599 H
QSO: 14074 PM 2015-03-14 1707 OM7OM         599 023    OH3OJ         599 037
QSO: 14077 PM 2015-03-14 1711 OM7OM         599 024    ED4R          599 M
QSO: 14079 PM 2015-03-14 1712 OM7OM         599 025    SV2FLQ/A      599 014
QSO: 14075 PM 2015-03-14 1714 OM7OM         599 026    EA1IPH        599 BU
QSO: 14075 PM 2015-03-14 1715 OM7OM         599 027    PA3EYC        599 011
QSO: 21072 PM 2015-03-14 1718 OM7OM         599 028    EA4GJJ        599 GU
QSO: 21073 PM 2015-03-14 1719 OM7OM         599 029    EA2EA         599 SS
QSO: 21076 PM 2015-03-14 1722 OM7OM         599 030    EA5FQ         599 V
QSO: 21072 PM 2015-03-14 1724 OM7OM         599 031    EC5JC         599 A
QSO: 21072 PM 2015-03-14 1724 OM7OM         599 032    EA5IDH        599 A
QSO: 21072 PM 2015-03-14 1727 OM7OM         599 033    EA2RCF        599 VI
QSO: 21071 PM 2015-03-14 1730 OM7OM         599 034    EA3XP         599 B
QSO:  3583 PM 2015-03-14 1735 OM7OM         599 035    OK2UYU        599 004
QSO: 14071 PM 2015-03-14 1737 OM7OM         599 036    IQ2CJ         599 022
QSO: 14075 PM 2015-03-14 1741 OM7OM         599 037    EA1IFU        599 C
QSO: 14076 PM 2015-03-14 1741 OM7OM         599 038    EB1EB         599 S
QSO: 14079 PM 2015-03-14 1742 OM7OM         599 039    A61DJ         599 058
QSO: 14080 PM 2015-03-14 1746 OM7OM         599 040    RX6BS         599 045
QSO: 14080 PM 2015-03-14 1747 OM7OM         599 041    SP9EZM        599 052
QSO: 14081 PM 2015-03-14 1748 OM7OM         599 042    PA4B          599 023
QSO: 14082 PM 2015-03-14 1749 OM7OM         599 043    EB1BCG        599 SO
QSO: 14070 PM 2015-03-14 1837 OM7OM         599 044    CU5AQ         599 051
QSO: 14075 PM 2015-03-14 1840 OM7OM         599 045    EA1IFU        599 C
QSO: 28121 PM 2015-03-15 0931 OM7OM         599 046    EC7AT         599 AL
QSO: 21074 PM 2015-03-15 0933 OM7OM         599 047    ED3D          599 GI
QSO: 21074 PM 2015-03-15 0934 OM7OM         599 048    EC1DBO        599 PO
QSO: 21074 PM 2015-03-15 0935 OM7OM         599 049    ED1B          599 O
QSO: 21070 PM 2015-03-15 0936 OM7OM         599 050    EF5T          599 MU
QSO: 21070 PM 2015-03-15 0937 OM7OM         599 051    EA4DVE        599 M
QSO: 21071 PM 2015-03-15 0938 OM7OM         599 052    EA5DCL        599 MU
QSO: 21071 PM 2015-03-15 0939 OM7OM         599 053    R7AB          599 321
QSO: 21074 PM 2015-03-15 0957 OM7OM         599 054    R8XF          599 169
QSO: 21074 PM 2015-03-15 0957 OM7OM         599 055    EA4ZK         599 M
QSO: 21072 PM 2015-03-15 1001 OM7OM         599 056    EA7ESH        599 CA
QSO: 21073 PM 2015-03-15 1003 OM7OM         599 057    R7AB          599 340
QSO: 21075 PM 2015-03-15 1004 OM7OM         599 058    EA1AY         599 C
QSO: 21075 PM 2015-03-15 1005 OM7OM         599 059    UA1ZGK        599 036
QSO: 21076 PM 2015-03-15 1005 OM7OM         599 060    EA2DNR        599 BI
QSO: 21079 PM 2015-03-15 1007 OM7OM         599 061    UA4FX         599 122
QSO: 28123 PM 2015-03-15 1008 OM7OM         599 062    EA1MI         599 SG
QSO: 28124 PM 2015-03-15 1009 OM7OM         599 063    EA4FJX        599 M
QSO: 28121 PM 2015-03-15 1010 OM7OM         599 064    EA4DVE        599 M
QSO: 28124 PM 2015-03-15 1013 OM7OM         599 065    EA4CRP        599 BA
QSO: 21071 PM 2015-03-15 1017 OM7OM         599 066    EA4JJ         599 008
QSO: 21071 PM 2015-03-15 1017 OM7OM         599 067    EA5ERA        599 V
QSO: 21072 PM 2015-03-15 1018 OM7OM         599 068    EE4K          599 M
QSO: 21074 PM 2015-03-15 1020 OM7OM         599 069    RA0JBL        599 131
QSO: 21075 PM 2015-03-15 1022 OM7OM         599 070    RN4HFJ        599 354
QSO: 21072 PM 2015-03-15 1251 OM7OM         599 071    EA1CUI        599 O
QSO: 21072 PM 2015-03-15 1251 OM7OM         599 072    RQ0C/4        599 088
QSO: 28121 PM 2015-03-15 1257 OM7OM         599 073    ED1B          599 O
QSO: 28121 PM 2015-03-15 1259 OM7OM         599 074    EA1CYH        599 AV
QSO: 21074 PM 2015-03-15 1302 OM7OM         599 075    4Z4DX         599 161
QSO: 21074 PM 2015-03-15 1303 OM7OM         599 076    EA1HRR        599 S
QSO: 21072 PM 2015-03-15 1307 OM7OM         599 077    EA5HCJ        599 MU
QSO: 21072 PM 2015-03-15 1309 OM7OM         599 078    EA7ITM        599 J
QSO: 21072 PM 2015-03-15 1310 OM7OM         599 079    UA9FGJ        599 096
QSO:  7042 PM 2015-03-15 1315 OM7OM         599 080    OK1ACF        599 064
QSO:  7042 PM 2015-03-15 1317 OM7OM         599 081    DL1SWB        599 030
QSO:  7042 PM 2015-03-15 1317 OM7OM         599 082    SP3NYR        599 095
QSO:  7042 PM 2015-03-15 1318 OM7OM         599 083    SP4BPH        599 126
QSO: 14074 PM 2015-03-15 1350 OM7OM         599 084    RU3XB         599 196
QSO: 14074 PM 2015-03-15 1350 OM7OM         599 085    SB0A          599 202
QSO: 14074 PM 2015-03-15 1351 OM7OM         599 086    IK2WFN        599 072
QSO: 14074 PM 2015-03-15 1351 OM7OM         599 087    RV3VL         599 066
QSO: 14074 PM 2015-03-15 1354 OM7OM         599 088    PC3M          599 025
QSO: 14074 PM 2015-03-15 1355 OM7OM         599 089    F1OET         599 017
QSO: 14074 PM 2015-03-15 1356 OM7OM         599 090    F1IWH         599 185
QSO: 14074 PM 2015-03-15 1356 OM7OM         599 091    YL3FW         599 210
QSO: 14074 PM 2015-03-15 1357 OM7OM         599 092    UT2GA         599 427
QSO: 14074 PM 2015-03-15 1357 OM7OM         599 093    F5TRB         599 043
QSO: 14074 PM 2015-03-15 1358 OM7OM         599 094    PA3CVI        599 080
QSO: 14074 PM 2015-03-15 1358 OM7OM         599 095    EW6DM         599 211
QSO: 14074 PM 2015-03-15 1400 OM7OM         599 096    G0HDV         599 285
QSO: 14074 PM 2015-03-15 1400 OM7OM         599 097    OH2ET         599 169
QSO: 14074 PM 2015-03-15 1401 OM7OM         599 098    DK8ZZ         599 077
QSO: 14074 PM 2015-03-15 1401 OM7OM         599 099    PE2K          599 180
QSO: 14074 PM 2015-03-15 1402 OM7OM         599 100    PB7Z          599 448
QSO: 14074 PM 2015-03-15 1402 OM7OM         599 101    UX5IQ         599 231
QSO: 14074 PM 2015-03-15 1403 OM7OM         599 102    RW0BT         599 148
QSO: 14074 PM 2015-03-15 1404 OM7OM         599 103    OZ5AGJ        599 125
QSO: 14074 PM 2015-03-15 1404 OM7OM         599 104    RU6BI         599 113
QSO: 14074 PM 2015-03-15 1405 OM7OM         599 105    OZ4ZT         599 042
QSO: 14074 PM 2015-03-15 1405 OM7OM         599 106    EW6FX         599 040
QSO: 21074 PM 2015-03-15 1412 OM7OM         599 107    G4EBY         599 182
QSO:  7044 PM 2015-03-15 1416 OM7OM         599 108    9A6SJZ        599 098
QSO:  7044 PM 2015-03-15 1418 OM7OM         599 109    SP5NHK        599 273
QSO:  7044 PM 2015-03-15 1419 OM7OM         599 110    SP6GBP        599 177
QSO:  7044 PM 2015-03-15 1419 OM7OM         599 111    PE2K          599 187
QSO:  7044 PM 2015-03-15 1420 OM7OM         599 112    SQ9ETN        599 139
QSO:  7044 PM 2015-03-15 1422 OM7OM         599 113    DK8ZZ         599 096
QSO: 14073 PM 2015-03-15 1424 OM7OM         599 114    M0TQR         599 225
QSO: 14073 PM 2015-03-15 1425 OM7OM         599 115    RA1ALC        599 680
END-OF-LOG:
