START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: JH7UJU
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 5871
OPERATORS: Nobuhiro Nishiuchi
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Nobuhiro Nishiuchi
SOAPBOX: I enjoyed the contest.
SOAPBOX: RIG:YAESU FT817ND. ANT:6mH DP,7mH GP. I was operated output power 5Watt.
QSO: 28000 CW 2011-11-27 0250 JH7UJU        599 25     WL7E          599 01     0
QSO: 28000 CW 2011-11-27 0257 JH7UJU        599 25     AH0S/KH2      599 27     0
QSO: 21000 CW 2011-11-27 0306 JH7UJU        599 25     KL7RA         599 01     0
QSO: 21000 CW 2011-11-27 0309 JH7UJU        599 25     B1Z           599 24     0
QSO: 21000 CW 2011-11-27 0313 JH7UJU        599 25     RZ0SR         599 18     0
QSO: 21000 CW 2011-11-27 0316 JH7UJU        599 25     BD4SS         599 24     0
QSO: 21000 CW 2011-11-27 0318 JH7UJU        599 25     BA4VE         599 24     0
QSO: 21000 CW 2011-11-27 0323 JH7UJU        599 25     XV9DX         599 26     0
QSO: 21000 CW 2011-11-27 0338 JH7UJU        599 25     RW0A          599 18     0
QSO: 21000 CW 2011-11-27 0341 JH7UJU        599 25     AH7C          599 31     0
QSO: 14000 CW 2011-11-27 0347 JH7UJU        599 25     N6WM          599 03     0
QSO: 14000 CW 2011-11-27 0349 JH7UJU        599 25     DS3HWS        599 25     0
QSO: 14000 CW 2011-11-27 0404 JH7UJU        599 25     AH0BT         599 27     0
QSO: 28000 CW 2011-11-27 0421 JH7UJU        599 25     AH0BT         599 27     0
QSO: 14000 CW 2011-11-27 0435 JH7UJU        599 25     UA0ZAM        599 19     0
QSO: 14000 CW 2011-11-27 0437 JH7UJU        599 25     AH0S/KH2      599 27     0
QSO: 14000 CW 2011-11-27 0439 JH7UJU        599 25     NH2T          599 27     0
QSO: 14000 CW 2011-11-27 0440 JH7UJU        599 25     KH6LC         599 27     0
QSO: 14000 CW 2011-11-27 0446 JH7UJU        599 25     RT0Q          599 19     0
QSO: 28000 CW 2011-11-27 0519 JH7UJU        599 25     BM100         599 24     0
QSO: 28000 CW 2011-11-27 0524 JH7UJU        599 25     NH2T          599 27     0
QSO: 14000 CW 2011-11-27 0539 JH7UJU        599 25     RW0A          599 18     0
QSO: 21000 CW 2011-11-27 0549 JH7UJU        599 25     AH0BT         599 27     0
QSO: 21000 CW 2011-11-27 0631 JH7UJU        599 25     BD4KRB        599 24     0
QSO: 21000 CW 2011-11-27 0634 JH7UJU        599 25     E73W          599 15     0
QSO: 21000 CW 2011-11-27 0640 JH7UJU        599 25     VK4KW         599 30     0
QSO: 21000 CW 2011-11-27 0648 JH7UJU        599 25     IR4X          599 15     0
QSO: 21000 CW 2011-11-27 0653 JH7UJU        599 25     ZM4T          599 32     0
QSO: 21000 CW 2011-11-27 0654 JH7UJU        599 25     ZM1A          599 32     0
QSO: 21000 CW 2011-11-27 0658 JH7UJU        599 25     BY5CD         599 24     0
QSO: 21000 CW 2011-11-27 0701 JH7UJU        599 25     R9FM          599 18     0
QSO: 21000 CW 2011-11-27 0709 JH7UJU        599 25     AH2R          599 27     0
QSO: 28000 CW 2011-11-27 0721 JH7UJU        599 25     LZ2DF         599 20     0
QSO: 21000 CW 2011-11-27 0811 JH7UJU        599 25     RT4RO         599 16     0
QSO:  7000 CW 2011-11-27 0831 JH7UJU        599 25     W6YI          599 03     0
QSO:  7000 CW 2011-11-27 0930 JH7UJU        599 25     RA/KE5JA      599 19     0
QSO:  7000 CW 2011-11-27 1124 JH7UJU        599 25     K5GO          599 04     0
QSO:  7000 CW 2011-11-27 1129 JH7UJU        599 25     W7VJ          599 03     0
QSO:  7000 CW 2011-11-27 1136 JH7UJU        599 25     UB0A          599 18     0
QSO:  7000 CW 2011-11-27 1411 JH7UJU        599 25     W7IJ          599 03     0
QSO:  7000 CW 2011-11-27 1511 JH7UJU        599 25     NH2T          599 27     0
QSO:  3500 CW 2011-11-27 1526 JH7UJU        599 25     RU0FM         599 19     0
QSO: 21000 CW 2011-11-27 2201 JH7UJU        599 25     NH2T          599 27     0
QSO: 28000 CW 2011-11-27 2210 JH7UJU        599 25     K6XT          599 04     0
QSO:  7000 CW 2011-11-27 2248 JH7UJU        599 25     SN7Q          599 15     0
END-OF-LOG:
