START-OF-LOG: 3.0
CALLSIGN: SN6T
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 37696
CLUB: SP DX Club
CONTEST: CQ-WW-CW
CREATED-BY: WriteLog V10.71C
NAME: Tomasz Niewodniczanski
OPERATORS: SP6T
SOAPBOX: 14 - 28: 5 el Yagi's (mono), 2 el Quad
SOAPBOX: 7: 2 el Yagi
SOAPBOX: 3,5: 1 el Q,
SOAPBOX: 1,8: inv V
SOAPBOX: trx K3 + PA 1 k
QSO:  1810 CW 2011-11-26 0335 SN6T          599     15 OK1RK         599     15
QSO:  1811 CW 2011-11-26 0337 SN6T          599     15 DL1ET         599     14
QSO:  1812 CW 2011-11-26 0338 SN6T          599     15 WF2W          599      5
QSO:  1812 CW 2011-11-26 0339 SN6T          599     15 LN8W          599     14
QSO:  1813 CW 2011-11-26 0340 SN6T          599     15 OE4A          599     15
QSO:  1814 CW 2011-11-26 0341 SN6T          599     15 EA1EVR        599     14
QSO:  1814 CW 2011-11-26 0342 SN6T          599     15 S53O          599     15
QSO:  1815 CW 2011-11-26 0344 SN6T          599     15 VE1OP         599      5
QSO:  1815 CW 2011-11-26 0346 SN6T          599     15 EA6SX         599     14
QSO:  1816 CW 2011-11-26 0349 SN6T          599     15 OH3OJ         599     15
QSO:  1817 CW 2011-11-26 0350 SN6T          599     15 9A1A          599     15
QSO:  1818 CW 2011-11-26 0352 SN6T          599     15 SK3W          599     14
QSO:  1821 CW 2011-11-26 0356 SN6T          599     15 ON4WW         599     14
QSO:  1823 CW 2011-11-26 0401 SN6T          599     15 UA1OMS        599     16
QSO:  1825 CW 2011-11-26 0419 SN6T          599     15 YL2SM         599     15
QSO:  1827 CW 2011-11-26 0420 SN6T          599     15 PA0O          599     14
QSO:  1827 CW 2011-11-26 0421 SN6T          599     15 SN7Q          599     15
QSO:  1830 CW 2011-11-26 0423 SN6T          599     15 LZ9W          599     20
QSO:  1837 CW 2011-11-26 0434 SN6T          599     15 CS2W          599     14
QSO:  1838 CW 2011-11-26 0435 SN6T          599     15 E77CFG        599     15
QSO:  1839 CW 2011-11-26 0435 SN6T          599     15 OZ5E          599     14
QSO:  1846 CW 2011-11-26 0438 SN6T          599     15 F6DDR         599     14
QSO:  1847 CW 2011-11-26 0439 SN6T          599     15 UY0ZG         599     16
QSO:  1852 CW 2011-11-26 0440 SN6T          599     15 OM7RU         599     15
QSO:  3500 CW 2011-11-26 0443 SN6T          599     15 TC2X          599     20
QSO:  3571 CW 2011-11-26 0448 SN6T          599     15 KB1H          599      5
QSO:  3549 CW 2011-11-26 0502 SN6T          599     15 VP2V/N3DXX    599      8
QSO:  3542 CW 2011-11-26 0511 SN6T          599     15 PJ2T          599      9
QSO:  7022 CW 2011-11-26 0517 SN6T          599     15 C5A           599     35
QSO:  7007 CW 2011-11-26 0524 SN6T          599     15 K5GO          599      4
QSO:  7008 CW 2011-11-26 0526 SN6T          599     15 VP5CW         599      8
QSO:  7079 CW 2011-11-26 0528 SN6T          599     15 VP9/N3AD      599      5
QSO:  7064 CW 2011-11-26 0538 SN6T          599     15 9L0W          599     35
QSO:  7031 CW 2011-11-26 0545 SN6T          599     15 EL2A          599     35
QSO:  7052 CW 2011-11-26 0548 SN6T          599     15 P40L          599      9
QSO:  7076 CW 2011-11-26 0551 SN6T          599     15 6Y3M          599      8
QSO:  7054 CW 2011-11-26 0552 SN6T          599     15 J6M           599      8
QSO:  7084 CW 2011-11-26 0553 SN6T          599     15 8P5A          599      8
QSO:  7023 CW 2011-11-26 0558 SN6T          599     15 KP2M          599      8
QSO:  7072 CW 2011-11-26 0613 SN6T          599     15 TI5A          599      7
QSO:  7026 CW 2011-11-26 0615 SN6T          599     15 PJ4LS         599      9
QSO:  7090 CW 2011-11-26 0618 SN6T          599     15 VE6WZ         599      4
QSO:  7071 CW 2011-11-26 0621 SN6T          599     15 VP2V/N3DXX    599      8
QSO:  7046 CW 2011-11-26 0628 SN6T          599     15 CX9AU         599     13
QSO:  7080 CW 2011-11-26 0646 SN6T          599     15 PJ7I          599      8
QSO:  7069 CW 2011-11-26 0647 SN6T          599     15 PZ5T          599      9
QSO:  7022 CW 2011-11-26 0707 SN6T          599     15 CN2R          599     33
QSO:  7044 CW 2011-11-26 0709 SN6T          599     15 ZF1A          599      8
QSO:  7060 CW 2011-11-26 0713 SN6T          599     15 XE1MM         599      6
QSO:  7039 CW 2011-11-26 0732 SN6T          599     15 HQ9R          599      7
QSO: 14079 CW 2011-11-26 0740 SN6T          599     15 J28AA         599     37
