START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.179
CALLSIGN: UA0SBQ
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 168336
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: ONE
OPERATORS: UA0SBQ
CLUB: RU-QRP CLUB
LOCATION: DX
NAME: VICTOR ANDRUSSHENKO
SOAPBOX: VERY GOOD PROPAGATION ON TEN METERS!
SOAPBOX: RIG(s): FT-817 POWER 5W; ANTENNA(s):   40/80/160M INVERTED VEE;  10/15/20M SPIDER.
QSO: 21038 CW 2011-11-26 0409 UA0SBQ        599 18     4Z5LA         599 20
QSO: 21034 CW 2011-11-26 0412 UA0SBQ        599 18     UV0I          599 16
QSO: 21043 CW 2011-11-26 0413 UA0SBQ        599 18     UN6G          599 17
QSO: 21063 CW 2011-11-26 0416 UA0SBQ        599 18     RY9C          599 17
QSO: 21021 CW 2011-11-26 0417 UA0SBQ        599 18     RD4CAQ        599 16
QSO: 21012 CW 2011-11-26 0418 UA0SBQ        599 18     RL9I          599 18
QSO: 21064 CW 2011-11-26 0419 UA0SBQ        599 18     RA3EG         599 16
QSO: 21029 CW 2011-11-26 0421 UA0SBQ        599 18     EY8MM         599 17
QSO: 21084 CW 2011-11-26 0422 UA0SBQ        599 18     JH8SLS        599 25
QSO: 21043 CW 2011-11-26 0423 UA0SBQ        599 18     UN4PG         599 17
QSO: 21049 CW 2011-11-26 0426 UA0SBQ        599 18     JJ4CDW        599 25
QSO: 21037 CW 2011-11-26 0429 UA0SBQ        599 18     JA6ZPR        599 25
QSO: 21013 CW 2011-11-26 0431 UA0SBQ        599 18     RA3SI         599 16
QSO: 14026 CW 2011-11-26 0437 UA0SBQ        599 18     UP2L          599 17
QSO: 14038 CW 2011-11-26 0442 UA0SBQ        599 18     5B/G4IRN      599 20
QSO: 14040 CW 2011-11-26 0444 UA0SBQ        599 18     RM3M          599 16
QSO: 14042 CW 2011-11-26 0445 UA0SBQ        599 18     UA3KA         599 16
QSO: 14048 CW 2011-11-26 0447 UA0SBQ        599 18     RT8O          599 18
QSO: 14051 CW 2011-11-26 0448 UA0SBQ        599 18     UN7FW         599 17
QSO: 14060 CW 2011-11-26 0450 UA0SBQ        599 18     UN7LAN        599 17
QSO: 14063 CW 2011-11-26 0452 UA0SBQ        599 18     US8IGL        599 16
QSO: 14053 CW 2011-11-26 0454 UA0SBQ        599 18     R4WAA         599 16
QSO: 14044 CW 2011-11-26 0455 UA0SBQ        599 18     LY7A          599 15
QSO: 14050 CW 2011-11-26 0503 UA0SBQ        599 18     EW8OM         599 16
QSO: 14039 CW 2011-11-26 0505 UA0SBQ        599 18     UU7J          599 16
QSO: 14024 CW 2011-11-26 0506 UA0SBQ        599 18     UA4CNZ        599 16
QSO: 14022 CW 2011-11-26 0508 UA0SBQ        599 18     YL3FT         599 15
QSO: 14013 CW 2011-11-26 0510 UA0SBQ        599 18     RW0CWA        599 19
QSO: 14012 CW 2011-11-26 0513 UA0SBQ        599 18     OL9Z          599 15
QSO: 14006 CW 2011-11-26 0516 UA0SBQ        599 18     RD9CX         599 17
QSO: 14001 CW 2011-11-26 0517 UA0SBQ        599 18     UP4L          599 17
QSO: 14012 CW 2011-11-26 0520 UA0SBQ        599 18     LZ9W          599 20
QSO: 14020 CW 2011-11-26 0522 UA0SBQ        599 18     RL3T          599 16
QSO: 14020 CW 2011-11-26 0523 UA0SBQ        599 18     RT5Z          599 16
QSO: 14022 CW 2011-11-26 0526 UA0SBQ        599 18     YT1T          599 15
QSO: 14024 CW 2011-11-26 0527 UA0SBQ        599 18     RT6A          599 16
QSO: 14061 CW 2011-11-26 0530 UA0SBQ        599 18     UN6LN         599 17
QSO: 14052 CW 2011-11-26 0536 UA0SBQ        599 18     EW8EW         599 16
QSO: 14050 CW 2011-11-26 0541 UA0SBQ        599 18     US8UA         599 16
QSO: 14051 CW 2011-11-26 0544 UA0SBQ        599 18     EU1FC         599 16
QSO: 28022 CW 2011-11-26 0546 UA0SBQ        599 18     UA9JLL        599 17
QSO: 28047 CW 2011-11-26 0548 UA0SBQ        599 18     UN1F          599 17
QSO: 28077 CW 2011-11-26 0551 UA0SBQ        599 18     6M0HZ         599 25
QSO: 28087 CW 2011-11-26 0555 UA0SBQ        599 18     JR4CAU        599 25
QSO: 28060 CW 2011-11-26 0559 UA0SBQ        599 18     BY4IO         599 24
QSO: 28057 CW 2011-11-26 0600 UA0SBQ        599 18     JH4UYB        599 25
QSO: 28009 CW 2011-11-26 0603 UA0SBQ        599 18     UN9GD         599 17
QSO: 28014 CW 2011-11-26 0606 UA0SBQ        599 18     AH0BT         599 27
QSO: 28015 CW 2011-11-26 0608 UA0SBQ        599 18     UW1M          599 16
QSO: 28017 CW 2011-11-26 0611 UA0SBQ        599 18     B1Z           599 24
QSO: 28028 CW 2011-11-26 0613 UA0SBQ        599 18     RG6G          599 16
QSO: 28032 CW 2011-11-26 0614 UA0SBQ        599 18     UZ2M          599 16
QSO: 28031 CW 2011-11-26 0616 UA0SBQ        599 18     HA3FTA        599 15
QSO: 28028 CW 2011-11-26 0618 UA0SBQ        599 18     RT4RO         599 16
QSO: 28047 CW 2011-11-26 0621 UA0SBQ        599 18     LY2OU         599 15
QSO: 28053 CW 2011-11-26 0622 UA0SBQ        599 18     9A1AA         599 15
QSO: 28054 CW 2011-11-26 0624 UA0SBQ        599 18     4X2M          599 20
QSO: 28055 CW 2011-11-26 0628 UA0SBQ        599 18     LZ9A          599 20
QSO: 28059 CW 2011-11-26 0631 UA0SBQ        599 18     JA6WIF        599 25
QSO: 28068 CW 2011-11-26 0634 UA0SBQ        599 18     JH0INP        599 25
QSO: 28097 CW 2011-11-26 0637 UA0SBQ        599 18     JH6WHN        599 25
QSO: 28098 CW 2011-11-26 0639 UA0SBQ        599 18     RW6AH         599 16
QSO: 28098 CW 2011-11-26 0640 UA0SBQ        599 18     UW8SM         599 16
QSO: 28091 CW 2011-11-26 0642 UA0SBQ        599 18     UR8RF         599 16
QSO: 28089 CW 2011-11-26 0643 UA0SBQ        599 18     LZ9V          599 20
QSO: 28088 CW 2011-11-26 0644 UA0SBQ        599 18     UT5ID         599 16
QSO: 28087 CW 2011-11-26 0646 UA0SBQ        599 18     UP4L          599 17
QSO: 28083 CW 2011-11-26 0647 UA0SBQ        599 18     RZ3DJ         599 16
QSO: 28079 CW 2011-11-26 0649 UA0SBQ        599 18     UA4PT         599 16
QSO: 28078 CW 2011-11-26 0650 UA0SBQ        599 18     UR3HC         599 16
QSO: 28077 CW 2011-11-26 0651 UA0SBQ        599 18     RZ4AG         599 16
QSO: 28067 CW 2011-11-26 0656 UA0SBQ        599 18     R7HF          599 16
QSO: 28061 CW 2011-11-26 0658 UA0SBQ        599 18     LY5R          599 15
QSO: 28051 CW 2011-11-26 0701 UA0SBQ        599 18     LZ7J          599 20
QSO: 28044 CW 2011-11-26 0703 UA0SBQ        599 18     HG0R          599 15
QSO: 28044 CW 2011-11-26 0705 UA0SBQ        599 18     UP0L          599 17
QSO: 28043 CW 2011-11-26 0708 UA0SBQ        599 18     HB9AFI        599 14
QSO: 28037 CW 2011-11-26 0710 UA0SBQ        599 18     OL3Z          599 15
QSO: 28036 CW 2011-11-26 0711 UA0SBQ        599 18     IK0YVV        599 15
QSO: 28033 CW 2011-11-26 0714 UA0SBQ        599 18     HA1A          599 15
QSO: 28021 CW 2011-11-26 0715 UA0SBQ        599 18     LY7A          599 15
QSO: 28021 CW 2011-11-26 0716 UA0SBQ        599 18     SK3W          599 14
QSO: 28020 CW 2011-11-26 0717 UA0SBQ        599 18     UA4CC         599 16
QSO: 28006 CW 2011-11-26 0722 UA0SBQ        599 18     RU1A          599 16
QSO: 28006 CW 2011-11-26 0723 UA0SBQ        599 18     OG5B          599 15
QSO: 28005 CW 2011-11-26 0730 UA0SBQ        599 18     SV1JG         599 20
QSO: 28007 CW 2011-11-26 0735 UA0SBQ        599 18     DR1A          599 14
QSO: 28008 CW 2011-11-26 0737 UA0SBQ        599 18     S50G          599 15
QSO: 28008 CW 2011-11-26 0738 UA0SBQ        599 18     RM5A          599 16
QSO: 28014 CW 2011-11-26 0739 UA0SBQ        599 18     LZ9W          599 20
QSO: 28014 CW 2011-11-26 0740 UA0SBQ        599 18     9A3IH         599 15
QSO: 28016 CW 2011-11-26 0743 UA0SBQ        599 18     HG7T          599 15
QSO: 28015 CW 2011-11-26 0744 UA0SBQ        599 18     RF4C          599 16
QSO: 28011 CW 2011-11-26 0747 UA0SBQ        599 18     LZ2DF         599 20
QSO: 28010 CW 2011-11-26 0749 UA0SBQ        599 18     RT4F          599 16
QSO: 28019 CW 2011-11-26 0752 UA0SBQ        599 18     RA1AL         599 16
QSO: 28019 CW 2011-11-26 0754 UA0SBQ        599 18     DF0HQ         599 14
QSO: 28022 CW 2011-11-26 0756 UA0SBQ        599 18     SO8A          599 15
QSO: 28022 CW 2011-11-26 0757 UA0SBQ        599 18     IO3P          599 15
QSO: 28023 CW 2011-11-26 0758 UA0SBQ        599 18     DL3YM         599 14
QSO: 28040 CW 2011-11-26 0803 UA0SBQ        599 18     DF9ZP         599 14
QSO: 28041 CW 2011-11-26 0805 UA0SBQ        599 18     OE4VIE        599 15
QSO: 28118 CW 2011-11-26 0813 UA0SBQ        599 18     OH1LWZ/M      599 15
QSO: 28110 CW 2011-11-26 0816 UA0SBQ        599 18     UN7ECA        599 17
QSO: 28098 CW 2011-11-26 0819 UA0SBQ        599 18     RK3SWB        599 16
QSO: 28096 CW 2011-11-26 0821 UA0SBQ        599 18     UN2E          599 17
QSO: 28081 CW 2011-11-26 0825 UA0SBQ        599 18     I3VJW         599 15
QSO: 28078 CW 2011-11-26 0827 UA0SBQ        599 18     UN8GU         599 17
QSO: 28079 CW 2011-11-26 0828 UA0SBQ        599 18     ER1LW         599 16
QSO: 28078 CW 2011-11-26 0831 UA0SBQ        599 18     A65CA         599 21
QSO: 28077 CW 2011-11-26 0832 UA0SBQ        599 18     RU5TT         599 16
QSO: 28073 CW 2011-11-26 0835 UA0SBQ        599 18     BA8AG         599 24
QSO: 28072 CW 2011-11-26 0837 UA0SBQ        599 18     II2S          599 15
QSO: 28066 CW 2011-11-26 0839 UA0SBQ        599 18     OE3K          599 15
QSO: 28062 CW 2011-11-26 0840 UA0SBQ        599 18     LY2W          599 15
QSO: 28043 CW 2011-11-26 0845 UA0SBQ        599 18     4O3A          599 15
QSO: 28042 CW 2011-11-26 0846 UA0SBQ        599 18     EV1R          599 16
QSO: 28040 CW 2011-11-26 0848 UA0SBQ        599 18     OH8X          599 15
QSO: 28034 CW 2011-11-26 0851 UA0SBQ        599 18     E77A          599 15
QSO: 28033 CW 2011-11-26 0853 UA0SBQ        599 18     F6KNB         599 14
QSO: 28033 CW 2011-11-26 0854 UA0SBQ        599 18     S59ABC        599 15
