START-OF-LOG: 3.0
CALLSIGN: KC6X
CLUB: Southern California Contest Club
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 1539132
OPERATORS: KC6X
NAME: Will Wolfshohl
SOAPBOX: Sunspots made for difficult choices. Sometimes 4 bands were
SOAPBOX: open at once. My highest CQWW score ever! I worked my first DX
SOAPBOX: on 160 ever using my 43' vertical and several new band/countries
SOAPBOX: on 10/40/80. Now if I can get them confirmed. Hihi.
CREATED-BY: N1MM Logger V11.11.3
LOCATION: LAX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 28038 CW 2011-11-26 0000 KC6X          599 3      JE1SGH        599 25
QSO: 28042 CW 2011-11-26 0001 KC6X          599 3      JA1PNA        599 25
QSO: 28043 CW 2011-11-26 0002 KC6X          599 3      KH7M          599 31
QSO: 28044 CW 2011-11-26 0003 KC6X          599 3      JF1SQC        599 25
QSO: 28046 CW 2011-11-26 0003 KC6X          599 3      PY2NDX        599 11
QSO: 28047 CW 2011-11-26 0004 KC6X          599 3      JR3NZC        599 25
QSO: 28047 CW 2011-11-26 0004 KC6X          599 3      JN1NOP        599 25
QSO: 28048 CW 2011-11-26 0005 KC6X          599 3      JS3CTQ        599 25
QSO: 28051 CW 2011-11-26 0006 KC6X          599 3      JF1NHD        599 25
QSO: 28052 CW 2011-11-26 0006 KC6X          599 3      JA5FDJ        599 25
QSO: 28055 CW 2011-11-26 0007 KC6X          599 3      ZW5B          599 11
QSO: 28058 CW 2011-11-26 0008 KC6X          599 3      JE1LFX        599 25
QSO: 28060 CW 2011-11-26 0009 KC6X          599 3      JA1BJI        599 25
QSO: 28063 CW 2011-11-26 0010 KC6X          599 3      JH1EAQ        599 25
QSO: 28065 CW 2011-11-26 0011 KC6X          599 3      6M0HZ         599 25
QSO: 28066 CW 2011-11-26 0011 KC6X          599 3      JG1AVO        599 25
QSO: 28070 CW 2011-11-26 0013 KC6X          599 3      LU5FR         599 13
QSO: 28073 CW 2011-11-26 0013 KC6X          599 3      JF9JTS        599 25
QSO: 28075 CW 2011-11-26 0014 KC6X          599 3      JR3QHQ        599 25
QSO: 28079 CW 2011-11-26 0016 KC6X          599 3      JG7HRZ        599 25
QSO: 28082 CW 2011-11-26 0018 KC6X          599 3      JA3EGE        599 25
QSO: 28082 CW 2011-11-26 0019 KC6X          599 3      JL1ARF        599 25
QSO: 28082 CW 2011-11-26 0020 KC6X          599 3      JA1IZ         599 25
QSO: 28082 CW 2011-11-26 0022 KC6X          599 3      JA6KTY        599 25
QSO: 28082 CW 2011-11-26 0024 KC6X          599 3      VK6XX         599 29
QSO: 28082 CW 2011-11-26 0024 KC6X          599 3      JH3PRR        599 25
QSO: 28082 CW 2011-11-26 0025 KC6X          599 3      JA6BIF        599 25
QSO: 28006 CW 2011-11-26 0029 KC6X          599 3      PY5ZHP        599 11
QSO: 28008 CW 2011-11-26 0029 KC6X          599 3      JA6WFM        599 25
QSO: 28009 CW 2011-11-26 0031 KC6X          599 3      HL2DC         599 25
QSO: 28015 CW 2011-11-26 0039 KC6X          599 3      BD4CQ         599 24
QSO: 28019 CW 2011-11-26 0040 KC6X          599 3      VK2AYD        599 30
QSO: 28020 CW 2011-11-26 0042 KC6X          599 3      BY5AC         599 24
QSO: 28021 CW 2011-11-26 0043 KC6X          599 3      XE2GG         599 06
QSO: 28023 CW 2011-11-26 0044 KC6X          599 3      B4R           599 24
QSO: 28026 CW 2011-11-26 0045 KC6X          599 3      VK4KW         599 30
QSO: 28027 CW 2011-11-26 0045 KC6X          599 3      VE7GL         599 03
QSO: 28032 CW 2011-11-26 0048 KC6X          599 3      JH3AIU        599 25
QSO: 28033 CW 2011-11-26 0048 KC6X          599 3      ZL3TE         599 32
QSO: 28037 CW 2011-11-26 0051 KC6X          599 3      AH0KT         599 27
QSO: 28056 CW 2011-11-26 0100 KC6X          599 3      JH4UYB        599 25
QSO: 21001 CW 2011-11-26 0104 KC6X          599 3      BW100         599 24
