START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.229 [RUS]
CALLSIGN: UT2UB
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 996810
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CLUB: Bleck Sea Contest Club
NAME: Andrej Lyakin
LOCATION: DX
CATEGORY-TRANSMITTER: ONE
QSO:  3509 CW 2011-11-26 0425 UT2UB         599 16     4L5O          599 21
QSO:  3511 CW 2011-11-26 0426 UT2UB         599 16     W2PV          599 5
QSO:  3511 CW 2011-11-26 0426 UT2UB         599 16     K5ZD          599 5
QSO:  3512 CW 2011-11-26 0430 UT2UB         599 16     CF3A          599 4
QSO:  3514 CW 2011-11-26 0432 UT2UB         599 16     LZ1195R       599 20
QSO:  3521 CW 2011-11-26 0433 UT2UB         599 16     W2RE          599 5
QSO:  3521 CW 2011-11-26 0434 UT2UB         599 16     F6CEL         599 14
QSO:  3519 CW 2011-11-26 0435 UT2UB         599 16     N4PN          599 5
QSO:  3525 CW 2011-11-26 0439 UT2UB         599 16     EF8S          599 33
QSO:  3526 CW 2011-11-26 0439 UT2UB         599 16     IR4M          599 15
QSO:  3526 CW 2011-11-26 0440 UT2UB         599 16     YT3T          599 15
QSO:  3527 CW 2011-11-26 0440 UT2UB         599 16     DL1A          599 14
QSO:  3528 CW 2011-11-26 0441 UT2UB         599 16     OK2D          599 15
QSO:  3531 CW 2011-11-26 0443 UT2UB         599 16     9A1A          599 15
QSO:  3535 CW 2011-11-26 0444 UT2UB         599 16     SK3W          599 14
QSO:  3542 CW 2011-11-26 0449 UT2UB         599 16     EF8M          599 33
QSO:  3541 CW 2011-11-26 0450 UT2UB         599 16     SN3R          599 15
QSO:  3537 CW 2011-11-26 0450 UT2UB         599 16     OH8X          599 15
QSO:  3551 CW 2011-11-26 0452 UT2UB         599 16     OZ5E          599 14
QSO:  3555 CW 2011-11-26 0453 UT2UB         599 16     IR4X          599 15
QSO:  3558 CW 2011-11-26 0454 UT2UB         599 16     YP0W          599 20
QSO:  3563 CW 2011-11-26 0455 UT2UB         599 16     YT6T          599 15
QSO:  3565 CW 2011-11-26 0456 UT2UB         599 16     OK2CMW        599 15
QSO:  3566 CW 2011-11-26 0457 UT2UB         599 16     PA5KT         599 14
QSO:  3569 CW 2011-11-26 0459 UT2UB         599 16     LY4T          599 15
QSO:  3587 CW 2011-11-26 0500 UT2UB         599 16     RQ3M          599 16
QSO:  3578 CW 2011-11-26 0502 UT2UB         599 16     EA6SX         599 14
QSO:  7037 CW 2011-11-26 0504 UT2UB         599 16     KU2M          599 5
